Recording date:	2018/08/08
Recording time:	14:22:47
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	969.2165	572.0111	0	956.7737	591.3568	0	962.9951	581.6839	
16.7	957.8592	606.2465	0	955.0855	595.9935	0	956.4723	601.1200	
33.4	967.2574	579.6219	0	969.6672	581.4736	0	968.4623	580.5478	
50.0	973.0946	584.4010	0	962.1766	587.9697	0	967.6356	586.1854	
66.6	956.6129	592.5389	0	946.8995	591.8006	0	951.7562	592.1698	
83.4	966.1847	589.9243	0	965.3813	599.6657	0	965.7830	594.7950	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	960.0097	589.6225	0	948.5919	609.4796	0	954.3008	599.5510	
16.6	961.5155	594.7900	0	957.4865	617.2940	0	959.5010	606.0420	
33.4	957.3052	604.9708	0	958.2905	600.2882	0	957.7978	602.6295	
50.0	959.2920	602.6270	0	966.7634	592.9295	0	963.0277	597.7783	
66.6	972.7152	597.3312	0	965.4868	602.6532	0	969.1010	599.9922	
83.2	961.0771	586.0861	0	957.6956	613.6016	0	959.3863	599.8438	
100.0	977.9059	589.6297	0	954.3787	598.7652	0	966.1423	594.1974	
116.6	964.5246	604.5578	0	952.0275	602.3718	0	958.2760	603.4648	
133.2	964.2092	598.3062	0	947.1703	591.7132	0	955.6897	595.0097	
149.9	937.1949	613.3247	0	961.9353	607.4677	0	949.5651	610.3962	
166.6	960.3165	594.2761	0	963.4801	606.8761	0	961.8983	600.5761	
183.2	974.9900	574.7744	0	943.8851	611.3019	0	959.4376	593.0381	
199.8	954.6793	607.5910	0	953.9413	596.1141	0	954.3103	601.8526	
216.5	961.9525	601.9894	0	961.9968	608.8400	0	961.9746	605.4147	
233.2	952.0403	585.3435	0	951.0909	591.5591	0	951.5656	588.4513	
249.8	937.3962	611.0877	0	955.3132	608.1442	0	946.3547	609.6159	
266.5	963.1312	615.1231	0	960.8315	612.7777	0	961.9814	613.9504	
283.1	974.3827	590.5668	0	948.1717	609.2714	0	961.2772	599.9191	
299.8	957.6017	596.1729	0	949.1900	615.0159	0	953.3959	605.5944	
316.5	964.8856	592.6855	0	959.1340	599.9386	0	962.0098	596.3121	
333.1	966.2191	583.5261	0	953.5471	604.6136	0	959.8831	594.0698	
349.7	953.4411	615.4281	0	961.4626	612.4487	0	957.4519	613.9384	
366.4	968.4557	606.9278	0	960.5955	598.6960	0	964.5256	602.8119	
383.1	958.2875	627.7744	0	964.4831	612.7910	0	961.3853	620.2827	
399.7	964.2683	615.9112	0	948.0006	608.1017	0	956.1344	612.0064	
416.3	959.6629	617.3964	0	959.5114	613.4985	0	959.5872	615.4474	
433.1	972.1223	589.5105	0	958.4919	605.8981	0	965.3071	597.7043	
449.7	967.3342	585.7632	0	952.6874	605.3594	0	960.0108	595.5613	
466.3	977.8419	586.1634	0	969.4000	608.1334	0	973.6210	597.1484	
482.9	968.4800	586.1425	0	941.6827	622.2137	0	955.0813	604.1781	
499.7	965.9292	595.3568	0	955.7303	608.3954	0	960.8298	601.8761	
516.3	972.1262	577.3350	0	947.0004	619.7614	0	959.5633	598.5482	
532.9	954.6598	615.9079	0	948.9635	610.2966	0	951.8117	613.1022	
549.5	949.9613	612.2961	0	951.2076	601.7423	0	950.5844	607.0192	
566.3	964.7673	594.2664	0	945.4736	625.4244	0	955.1204	609.8454	
582.9	950.0717	618.1441	0	956.9502	601.0747	0	953.5110	609.6094	
599.5	939.9097	597.3416	0	958.1875	591.0057	0	949.0486	594.1737	
616.2	959.2574	586.6920	0	956.0974	594.4415	0	957.6774	590.5667	
632.9	961.1150	607.8507	0	966.8619	608.4800	0	963.9885	608.1653	
649.5	976.3165	619.9952	0	954.4157	622.4352	0	965.3661	621.2152	
666.1	960.5075	598.0336	0	959.7985	607.7591	0	960.1530	602.8963	
682.8	972.6672	595.7464	0	950.4605	633.8055	0	961.5638	614.7759	
699.4	957.3781	614.2726	0	957.4235	632.1252	0	957.4008	623.1989	
716.1	966.5855	594.8342	0	960.9705	601.5354	0	963.7780	598.1848	
732.8	943.5465	608.1730	0	962.0020	605.8224	0	952.7742	606.9977	
749.4	975.0325	612.3341	0	955.7501	612.0539	0	965.3913	612.1940	
766.1	952.1332	606.3673	0	967.8400	614.7750	0	959.9866	610.5711	
782.7	966.9367	603.7646	0	953.6703	605.9644	0	960.3035	604.8645	
799.4	973.6558	599.0849	0	955.5939	597.4791	0	964.6249	598.2820	
816.0	954.7969	614.3941	0	967.8730	609.1008	0	961.3349	611.7475	
832.7	988.4132	601.1394	0	955.3024	615.3962	0	971.8578	608.2678	
849.4	958.6614	612.7163	0	963.1091	609.0793	0	960.8853	610.8978	
866.0	958.8254	603.0729	0	968.6722	617.7300	0	963.7488	610.4014	
882.6	962.3864	609.4909	0	959.7874	613.8447	0	961.0869	611.6678	
899.4	947.1848	612.5500	0	974.6433	627.3645	0	960.9140	619.9573	
916.0	964.3885	620.4608	0	958.7891	623.2793	0	961.5888	621.8700	
932.6	960.8172	618.8310	0	968.2106	618.7802	0	964.5139	618.8056	
949.2	960.6575	594.8327	0	962.8614	612.9040	0	961.7595	603.8683	
966.0	951.6880	600.5069	0	976.2947	614.8126	0	963.9913	607.6598	
982.6	958.2455	605.0470	0	967.9306	600.6243	0	963.0880	602.8357	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	963.1031	592.3962	0	963.6552	589.7219	0	963.3792	591.0590	
