Recording date:	2018/04/11
Recording time:	17:19:44
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	963.7563	613.9948	0	961.1410	597.2749	0	962.4487	605.6349	
16.6	957.4248	617.6150	0	961.6004	596.8665	0	959.5126	607.2407	
33.2	954.6403	614.2813	0	959.8979	596.6935	0	957.2691	605.4874	
50.0	952.4969	623.9868	0	965.3640	592.9285	0	958.9304	608.4577	
66.6	950.4075	613.0627	0	947.7106	603.6226	0	949.0590	608.3426	
83.2	949.8954	611.1047	0	952.3131	603.2792	0	951.1042	607.1920	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	944.8504	609.3674	0	959.3487	602.7518	0	952.0995	606.0596	
16.6	944.4361	607.1223	0	952.4178	595.3661	0	948.4269	601.2442	
33.4	951.2202	607.8995	0	957.4440	590.2957	0	954.3321	599.0976	
50.0	945.8224	611.5996	0	959.7891	584.4487	0	952.8058	598.0241	
66.6	949.3590	602.5889	0	967.5052	591.5236	0	958.4321	597.0562	
83.2	957.0130	596.2289	0	964.7180	600.9638	0	960.8655	598.5963	
100.0	952.9795	612.4184	0	956.7198	590.6855	0	954.8497	601.5519	
116.6	945.2926	597.5328	0	960.9191	600.6273	0	953.1058	599.0801	
133.2	945.4561	603.6376	0	952.9628	603.2405	0	949.2094	603.4391	
149.9	941.9448	604.9945	0	958.1018	600.3479	0	950.0233	602.6712	
166.6	939.4360	606.2331	0	957.8220	602.9498	0	948.6290	604.5915	
183.2	939.5942	610.1255	0	956.8782	596.2249	0	948.2362	603.1752	
199.8	936.0638	614.1369	0	953.9568	603.3677	0	945.0103	608.7523	
216.5	937.2719	620.0256	0	955.2199	603.5832	0	946.2459	611.8044	
233.2	940.2014	600.9929	0	963.8246	596.2676	0	952.0130	598.6302	
249.8	943.0767	614.5969	0	954.9236	597.5295	0	949.0001	606.0632	
266.5	941.0918	621.9421	0	954.8185	599.2432	0	947.9552	610.5927	
283.1	952.5758	601.9178	0	958.4997	596.8702	0	955.5377	599.3940	
299.8	937.2780	608.1738	0	961.4974	592.9738	0	949.3877	600.5738	
316.5	947.3742	607.4890	0	966.7707	596.0731	0	957.0725	601.7810	
333.1	931.5311	619.5764	0	958.6325	609.2001	0	945.0818	614.3883	
349.7	941.5915	612.4203	0	953.2660	598.5457	0	947.4288	605.4830	
366.5	942.4560	607.2462	0	947.2904	601.6837	0	944.8732	604.4649	
383.1	958.9419	610.4250	0	961.4110	599.6495	0	960.1765	605.0372	
399.7	947.3705	617.5728	0	960.8984	594.5245	0	954.1345	606.0487	
416.3	942.1628	612.6854	0	962.1892	602.6711	0	952.1760	607.6782	
433.1	946.3181	616.9571	0	952.7452	610.5555	0	949.5317	613.7563	
449.7	950.0671	611.0655	0	961.3514	604.6139	0	955.7093	607.8397	
466.3	954.4127	604.1660	0	953.2752	604.4907	0	953.8440	604.3283	
482.9	985.1773	569.4036	0	1006.0627	588.0409	0	995.6200	578.7222	
499.7	1095.4968	542.9046	0	1090.7530	552.7543	0	1093.1249	547.8295	
516.3	1120.6549	533.8430	0	1118.0740	540.2967	0	1119.3644	537.0699	
532.9	1132.6910	534.2000	0	1119.9677	531.8678	0	1126.3294	533.0339	
549.5	1115.8167	537.0653	0	1122.1362	529.9358	0	1118.9765	533.5006	
566.3	1124.6946	539.0586	0	1126.3184	534.4634	0	1125.5065	536.7610	
582.9	1109.9466	536.4201	0	1134.0482	539.5195	0	1121.9974	537.9698	
