Recording date:	2018/09/22
Recording time:	11:31:16
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	804.8121	560.8313	0	821.0084	546.2872	0	812.9103	553.5593	
16.6	816.6000	569.1879	0	817.1291	547.0200	0	816.8646	558.1039	
33.2	803.2956	567.4248	0	827.6267	547.5071	0	815.4612	557.4660	
49.9	862.2141	581.8107	0	897.9568	575.9256	0	880.0855	578.8682	
66.6	953.2078	607.3742	0	968.3684	603.9062	0	960.7881	605.6402	
83.2	960.8056	609.6174	0	972.4801	587.8783	0	966.6429	598.7478	
99.9	960.3130	608.8577	0	969.9896	602.9584	0	965.1513	605.9081	
116.5	961.7456	617.6100	0	975.7063	597.0584	0	968.7259	607.3342	
133.2	954.3785	605.3638	0	980.1771	600.7707	0	967.2778	603.0673	
149.9	964.8521	610.6281	0	980.7146	602.9995	0	972.7834	606.8138	
166.5	959.2138	606.2886	0	968.3828	608.2458	0	963.7983	607.2672	
183.1	960.2168	606.1723	0	975.7465	604.8499	0	967.9817	605.5111	
199.8	960.5619	605.1380	0	972.7452	597.4011	0	966.6536	601.2695	
216.5	964.1310	606.8731	0	974.3569	599.2847	0	969.2439	603.0789	
233.1	952.1392	616.1398	0	975.0118	607.5172	0	963.5755	611.8285	
249.7	950.7282	611.5250	0	973.2755	610.2889	0	962.0018	610.9069	
266.5	963.9036	608.0492	0	973.7388	593.7682	0	968.8212	600.9087	
283.1	976.2374	613.1872	0	984.1753	599.9295	0	980.2063	606.5583	
299.7	970.5239	604.9033	0	972.2558	601.0052	0	971.3899	602.9543	
316.3	958.3871	601.9942	0	975.7939	598.3307	0	967.0905	600.1625	
333.1	967.4528	603.1240	0	974.9298	600.3526	0	971.1913	601.7383	
349.7	962.1483	609.6400	0	974.7263	595.3932	0	968.4373	602.5166	
366.3	959.6802	603.3752	0	974.5316	594.4331	0	967.1059	598.9042	
382.9	976.6120	597.1875	0	972.7779	592.7844	0	974.6949	594.9860	
399.7	960.4973	607.8994	0	976.2290	597.1121	0	968.3631	602.5058	
416.3	972.4788	604.7077	0	970.5201	598.6662	0	971.4994	601.6870	
432.9	984.4110	605.8093	0	984.6870	606.4242	0	984.5490	606.1167	
