Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,287,596
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1264,882
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1438,398
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1144,75
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,324,611
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,72,234
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1118,440
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1153,48
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1645,814
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,323,1061
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1422,862
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1546,144
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,298,154
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,718,994
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1602,853
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1694,37
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1428,936
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,241,478
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1300,206
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,527,951
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,805,162
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,23,21
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1686,1003
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1177,503
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1176,455
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1051,59
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,634,730
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,714,540
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1406,505
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,400,615
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,808,73
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1617,565
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,787,945
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,346,817
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,648,616
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1378,360
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,599,294
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,595,644
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,899,699
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1193,57
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1614,522
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1403,468
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,494,666
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1288,971
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,1,1374,875
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,1386,595
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,422,395
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,1205,853
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,1198,378
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,148,513
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,1143,206
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,1520,206
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,67,1007
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,1121,374
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,672,374
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,855,255
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,468,412
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,323,75
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,1343,904
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,713,394
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,928,684
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,664,882
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,367,634
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,1553,108
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,922,873
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,1210,337
abu,1,0,0.1,1.0,1533752614.894112,1533752615.876577,45,38,1,True,8,8,2,859,603
