Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1309,113
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1470,1006
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,544,791
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,872,1031
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,839,1048
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,618,911
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1117,353
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,463,451
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,291,616
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,943,476
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1564,997
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,127,528
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,193,19
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1543,381
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1132,280
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1389,348
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,853,544
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,252,225
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1037,494
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,276,309
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,308,229
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1657,445
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,118,341
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1285,467
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1396,438
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,437,238
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,795,143
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,437,861
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1504,290
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,397,379
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,113,708
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1106,967
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1119,837
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,365,797
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,766,439
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1563,557
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1461,773
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,23,761
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1217,1003
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1410,1050
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,288,465
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1251,1034
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1376,115
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,953,82
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,996,479
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1334,851
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,227,623
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,433,1030
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,750,572
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,111,1014
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1006,373
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,592,631
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,1619,828
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,555,980
alx,1,0,0.1,1.0,1523481635.3029,1523481636.214466,55,50,2,False,8,8,1,568,442
