Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,1636,389
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,530,54
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,1173,948
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,1671,764
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,1276,547
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,1273,385
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,119,1017
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,1302,1051
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,156,456
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,336,546
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,775,116
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,907,146
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,1565,650
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,1295,804
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,846,794
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,583,783
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,724,976
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,566,815
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,368,688
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,401,238
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,806,822
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,507,826
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,1529,987
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,937,220
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,1,1610,150
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,777,500
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,717,858
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,1385,95
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,1323,539
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,499,958
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,1128,993
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,393,811
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,1415,762
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,1560,650
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,58,834
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,371,842
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,1136,1042
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,1299,693
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,1584,324
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,348,822
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,929,780
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,1352,684
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,19,195
asd,1,0,1.0,1.0,1537630305.881109,1537630307.766173,25,19,1,True,8,8,2,499,524
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1392,774
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1298,352
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,175,1043
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,506,748
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1265,385
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,801,252
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,905,913
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1574,676
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1101,1038
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1488,554
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1000,609
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1215,283
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,72,938
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1208,253
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,863,257
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,80,483
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,654,432
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,448,105
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1481,460
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,615,643
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1164,57
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1617,535
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1064,470
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,797,642
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,571,76
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,722,192
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,729,451
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1091,101
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,443,282
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1694,97
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,104,608
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,924,226
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,334,743
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,825,266
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,942,549
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1601,793
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,148,376
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1061,269
asd,1,1,1.0,1.0,1537630313.629296,1537630315.523188,64,57,1,True,8,8,1,1689,574
