Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,887,266
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,1462,104
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,1121,37
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,683,57
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,255,193
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,769,498
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,484,673
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,672,741
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,68,816
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,741,734
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,208,174
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,559,697
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,321,600
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,1285,380
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,1241,246
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,1596,280
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,1467,704
bon,1,0,0.1,0.1,1537627114.545916,1537627115.502746,33,45,2,True,8,8,1,973,887
