Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,400,834
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,487,1042
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,153,156
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1011,665
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1665,783
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,794,798
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,569,990
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,54,174
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,530,527
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,711,266
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1243,165
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,517,298
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,586,172
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,145,266
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1494,257
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1589,487
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1338,967
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1053,455
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1204,289
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1309,553
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,355,549
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,219,280
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,234,1031
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1442,287
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,540,587
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1109,115
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,830,1054
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1070,322
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,603,561
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1167,259
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,672,945
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1251,209
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1299,1012
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,176,509
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,720,433
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1295,134
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1455,250
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1458,596
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,1,1698,418
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1403,903
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1015,584
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1475,976
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1315,369
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1644,920
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,984,1052
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,879,455
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,645,838
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,138,674
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,314,741
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1628,374
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,254,501
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,416,394
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,454,1053
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,667,574
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,327,465
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1481,224
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,580,187
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1063,421
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,875,361
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,119,108
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1237,899
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,334,897
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,126,169
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,147,313
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,412,603
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1574,316
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1351,310
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,752,931
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,449,736
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,258,865
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,300,942
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1009,514
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,278,274
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1697,853
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1288,631
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,45,459
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1518,93
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,778,423
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1002,832
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,170,631
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,347,130
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1381,499
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,292,1013
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1407,204
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1317,642
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1232,139
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1533,727
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,1194,101
iop,1,0,0.1,0.1,1531259397.729289,1531259398.702443,39,50,2,True,8,8,2,366,887
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,525,1002
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,1640,893
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,337,941
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,496,589
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,434,264
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,310,147
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,1276,540
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,1034,797
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,1683,565
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,750,173
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,577,68
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,1665,353
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,1568,1026
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,1023,907
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,1608,641
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,1405,114
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,1064,54
iop,1,1,0.1,0.1,1531259402.891139,1531259403.860525,78,77,2,False,8,8,1,229,319
