Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,922,716
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,287,1002
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1317,343
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,707,706
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1142,283
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1307,683
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,307,360
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,391,942
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,253,630
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,329,180
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1004,813
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,114,985
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,315,726
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,590,335
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1569,545
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1218,106
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1523,694
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,141,991
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1494,682
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,283,153
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1346,712
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,302,917
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,170,385
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1026,569
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1517,998
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1188,127
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,425,265
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,297,430
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1104,774
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1212,161
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,712,540
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1221,775
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1115,689
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,337,647
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,732,750
lnd,2,0,0.1,0.1,1531855413.86363,1531855414.85663,85,60,1,True,8,8,1,1159,891
