Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,661,109
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,215,497
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,394,502
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1170,28
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,378,577
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1482,375
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,842,146
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1498,186
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,594,226
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,302,581
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,448,812
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,963,318
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1554,103
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,546,623
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,98,520
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,842,639
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1127,807
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1255,875
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1704,1060
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,429,120
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,103,822
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,443,747
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,915,179
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1483,990
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,183,631
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1304,454
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,259,888
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1440,290
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1680,24
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1708,299
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,924,865
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,35,662
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1443,611
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1002,587
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1100,96
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1582,329
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,127,776
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1279,74
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,786,772
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,359,98
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,306,184
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,963,137
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1150,94
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,445,400
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1510,821
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,882,494
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1498,59
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1372,22
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,480,537
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,142,738
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,857,567
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1526,1010
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1689,555
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1489,909
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,486,305
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,318,970
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,794,1038
lng,1,0,0.1,1.0,1523647264.735668,1523647265.649392,74,79,2,True,8,8,1,1483,504
