Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,647,447
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1019,534
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1392,380
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1571,894
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1033,606
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1437,1041
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1325,536
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,453,199
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,328,803
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,721,758
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1140,580
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1536,709
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,309,119
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1430,283
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1424,972
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1286,680
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1150,641
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,561,574
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,19,1003
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,826,407
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,286,982
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,631,872
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,303,745
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,382,284
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,315,518
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1237,646
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,358,928
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1506,385
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1425,661
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1101,828
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1477,225
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,282,386
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1674,935
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,483,1048
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1568,587
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,800,362
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,655,343
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,493,130
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,987,730
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,736,617
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1112,210
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1326,1016
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1610,515
ls,1,0,1.0,1.0,1523483165.009984,1523483166.825712,67,58,1,True,8,8,1,1176,936
