Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1241,1035
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,732,552
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,659,251
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,597,927
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1341,18
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,643,331
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,285,543
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,599,83
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,131,998
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1434,968
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,664,972
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,75,723
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1632,1031
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,319,554
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1504,844
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,997,58
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,876,602
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1081,711
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1042,853
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1596,284
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1623,847
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1104,922
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,258,581
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1306,696
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,381,544
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1599,386
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1298,385
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1391,493
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1339,386
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,540,225
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1274,1051
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,889,25
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1080,481
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1000,741
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1694,610
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1471,747
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,602,953
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,1676,210
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,1,350,629
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,439,252
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,567,647
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,569,699
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1707,368
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1374,648
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,309,610
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,147,541
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1473,445
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,536,160
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,55,348
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1546,827
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1472,47
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,354,880
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,843,582
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1410,122
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,270,835
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,299,722
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,947,1001
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,618,23
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,640,204
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,927,1018
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,611,778
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1232,137
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,539,804
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1282,911
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1176,1048
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,269,76
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,529,259
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,967,378
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,249,929
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,990,184
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,623,245
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,104,213
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1021,191
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1060,291
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,941,170
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1282,668
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1664,624
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,923,1050
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,866,174
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,698,107
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1318,661
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,341,445
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,909,436
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1314,443
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1212,391
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,118,836
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,174,963
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,892,233
mgn,1,0,0.1,0.1,1523652886.136532,1523652887.036063,39,50,2,True,8,8,2,1422,249
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,36,285
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,164,865
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1079,719
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1610,847
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,969,981
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,751,1042
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1424,948
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,115,1053
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1504,648
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1032,879
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1409,42
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,747,150
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,841,643
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,864,151
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,804,549
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,95,960
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1107,987
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,255,404
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1004,1034
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1697,984
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,607,275
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,577,213
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,982,845
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1282,538
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1232,431
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1291,303
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,140,897
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1502,490
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,127,688
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1594,902
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1430,783
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1595,141
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,28,1022
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,855,899
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1339,392
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1051,743
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,838,1021
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,978,446
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,489,447
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,1079,360
mgn,1,1,0.1,0.1,1523652890.735303,1523652891.652699,56,42,1,True,8,8,1,643,621
