Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1314,527
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,159,590
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,449,31
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1310,132
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,506,920
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1116,49
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1607,952
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,296,53
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1410,859
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1570,405
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,611,258
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1396,172
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1617,114
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1532,456
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1149,763
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,943,392
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1405,387
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,766,216
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,98,230
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,418,219
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,600,788
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1338,434
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,396,922
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1512,275
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1334,1023
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,563,215
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1191,61
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,59,742
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,144,123
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1671,489
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,273,931
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,1384,65
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,132,493
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,255,553
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,350,374
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,747,333
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,756,796
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,650,234
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,519,26
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,100,552
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,1,572,554
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1546,651
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,461,982
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1663,292
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,335,109
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1602,804
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1250,246
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,654,352
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1651,32
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,837,57
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,834,721
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,407,269
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1581,268
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,647,388
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,509,862
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,204,170
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1291,1013
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,731,468
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,625,932
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1400,503
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,543,403
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,301,155
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1599,1012
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,859,182
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,21,604
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,624,538
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1673,1033
poi,1,0,0.1,1.0,1529699232.653658,1529699233.620627,41,27,1,True,8,8,2,1686,957
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,874,779
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,260,153
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,640,518
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,699,144
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,1321,41
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,1122,324
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,656,328
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,1398,738
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,863,266
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,956,985
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,696,508
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,700,1060
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,952,816
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,1286,118
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,406,124
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,984,272
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,1622,243
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,1215,437
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,789,733
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,877,743
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,822,162
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,1,418,334
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,2,476,1061
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,2,1446,929
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,2,1653,459
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,2,417,284
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,2,549,494
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,2,1629,872
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,2,913,945
poi,1,1,0.1,1.0,1529699238.178842,1529699239.13668,22,18,1,True,8,8,2,1591,419
