Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,1301,503
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,479,1042
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,610,311
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,599,926
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,1625,91
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,306,174
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,571,785
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,1606,813
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,675,269
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,1592,309
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,1461,476
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,264,466
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,455,861
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,147,1024
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,1397,825
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,1333,396
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,415,733
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,1518,683
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,1,135,866
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,1689,550
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,1622,842
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,205,918
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,458,196
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,642,127
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,394,587
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,1208,802
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,991,740
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,68,344
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,512,1058
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,71,956
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,501,975
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,716,829
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,346,176
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,746,318
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,513,419
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,244,588
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,1099,279
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,895,752
rup,1,0,0.1,0.1,1532462649.483263,1532462650.447106,19,20,2,True,8,8,2,1272,922
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,291,171
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1286,869
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1012,585
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,663,982
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1707,1035
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1037,716
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,52,717
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,731,789
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1201,123
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,780,832
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1064,765
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1159,544
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,642,481
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,297,504
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,317,697
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1029,111
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1147,233
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1182,382
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,773,727
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,698,137
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1542,977
rup,1,1,0.1,0.1,1532462657.097114,1532462658.07422,57,58,2,True,8,8,1,1144,622
