Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,192,760
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,499,277
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1580,1058
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1031,65
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,757,311
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,476,208
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,812,933
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,825,788
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,428,1006
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,404,58
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1041,964
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,285,499
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1604,1020
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,321,448
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1673,725
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,620,872
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1102,661
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,280,657
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,317,518
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,129,777
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,470,638
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,124,377
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1347,603
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,283,987
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,252,34
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,20,832
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,62,716
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,442,522
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1454,19
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1049,619
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,124,163
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,226,643
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,26,629
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,722,888
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,903,1003
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,94,907
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,788,82
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,628,943
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,176,363
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1468,259
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,960,333
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,990,90
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1235,121
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,789,366
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1000,254
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,986,1038
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1545,518
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,675,189
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,643,500
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,925,168
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1660,66
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1552,406
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,517,653
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,819,690
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,233,332
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1562,812
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1092,1051
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,864,389
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,395,392
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,211,856
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,294,419
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,906,724
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1043,756
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,556,101
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,807,983
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1330,142
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1657,511
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,253,806
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1156,716
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1137,664
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1280,819
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1661,273
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,1169,766
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,110,270
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,1,198,187
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1531,41
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,414,922
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1108,20
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1610,618
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,606,164
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1648,340
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1074,859
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1021,256
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1620,233
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,612,899
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,862,471
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,456,534
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,621,476
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,384,78
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,716,1019
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1702,1043
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,312,310
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,292,234
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,839,268
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,747,692
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,547,163
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,566,1005
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,656,375
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,739,64
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1222,201
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1353,395
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,791,649
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1297,916
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,705,806
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1558,940
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,346,340
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1087,765
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,863,900
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,426,549
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,229,454
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1360,742
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,121,352
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,150,731
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1479,127
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,959,220
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,474,211
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,41,416
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1369,44
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1299,193
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1465,720
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1328,521
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,936,980
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1077,725
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,945,264
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,844,624
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,252,616
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,801,229
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1537,785
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,363,1061
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,402,643
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1470,857
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,707,507
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,63,1017
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1229,327
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,440,722
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1576,691
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,1510,1005
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,418,883
spa,1,0,1.0,1.0,1531257699.450632,1531257701.350593,75,64,2,False,8,8,2,536,254
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,564,627
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,473,845
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,475,276
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,1614,472
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,1197,682
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,492,677
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,85,932
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,879,482
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,1446,766
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,627,857
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,1285,380
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,317,105
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,1555,644
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,1,133,316
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1121,66
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1644,584
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,308,158
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1403,341
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1341,822
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1093,56
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1025,470
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,359,168
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1257,981
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1228,97
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,615,397
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1353,693
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1122,671
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1257,579
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,981,931
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1217,1012
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1670,564
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1009,286
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1398,835
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1562,861
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,1253,425
spa,1,1,1.0,1.0,1531257708.428703,1531257710.291827,14,22,2,True,8,8,2,541,764
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,694,1057
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,862,843
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,171,150
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,416,114
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,467,370
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,1592,923
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,997,954
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,1564,132
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,760,473
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,305,1005
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,438,200
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,1053,27
spa,1,2,1.0,1.0,1531257716.814859,1531257718.690579,64,75,2,True,8,8,1,995,645
