Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,895,544
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,543,1035
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,83,269
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,251,126
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,1250,984
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,330,504
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,1085,327
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,314,352
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,786,997
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,640,332
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,969,512
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,907,1006
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,1332,394
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,1457,111
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,68,788
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,737,688
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,901,954
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,86,666
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,527,623
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,1494,194
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,39,913
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,622,82
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,1402,1054
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,403,149
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,1342,972
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,995,975
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,22,648
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,792,1053
tru,1,0,0.1,1.0,1531422540.409992,1531422541.379009,51,44,2,False,8,8,1,795,337
