Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1478,572
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,948,151
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,450,145
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,445,868
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1188,238
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,523,646
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1206,666
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,232,684
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,595,921
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,491,363
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,591,369
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1150,1051
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1664,931
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1547,482
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,397,382
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,844,969
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,321,903
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1164,162
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,183,478
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1052,770
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1370,512
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,681,870
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,834,86
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,457,904
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,872,618
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,392,110
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,249,611
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,694,213
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,981,784
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1367,1001
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1351,239
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,163,228
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,438,608
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,712,622
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,604,978
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,206,884
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,704,923
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1454,276
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,72,234
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,355,120
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,859,844
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1646,564
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1685,344
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,396,988
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,307,1019
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,461,724
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,705,880
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,41,801
wbu,1,0,1.0,0.1,1531946557.061632,1531946558.945358,86,65,1,True,8,8,1,1136,305
