Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1000,61
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1271,522
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1317,174
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,69,690
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,873,803
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,435,656
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,936,359
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,227,114
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,351,489
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1008,20
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,993,99
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,615,437
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1349,313
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1063,1036
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,667,283
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,601,836
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,195,1011
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,751,981
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1260,931
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,470,227
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1171,137
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,205,50
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1094,464
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,520,600
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,240,487
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,973,709
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1523,119
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1265,460
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1662,292
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,681,1053
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1166,213
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1013,445
wip,1,0,1.0,1.0,1533756195.086157,1533756196.949527,46,61,2,True,8,8,1,1381,940
