Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,519,502
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,340,659
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,673,448
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,23,1039
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,620,765
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1467,31
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,575,907
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1415,645
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,611,546
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1116,750
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1098,869
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1697,782
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,372,210
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,290,251
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,809,644
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,321,127
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,570,514
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,680,906
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,517,47
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1028,161
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,991,142
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,242,810
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,838,921
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,568,874
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,631,879
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1671,474
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1284,368
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1046,431
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,375,457
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,51,672
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,114,626
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,315,732
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1594,655
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1155,990
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1595,479
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,746,978
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,922,540
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,748,765
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,212,528
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,246,203
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,860,279
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,249,723
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,890,263
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,941,796
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,693,631
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,776,102
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1457,682
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1493,465
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,532,1011
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1007,532
yaj,2,0,0.1,0.1,1528918931.506205,1528918932.504718,88,83,2,False,8,8,1,1098,919
