Recording date:	2018/04/13
Recording time:	13:19:16
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	973.8404	618.0099	0	972.7289	625.5492	0	973.2847	621.7796	
16.7	954.9140	622.1754	0	961.1089	618.8498	0	958.0114	620.5126	
33.4	962.9767	615.2695	0	972.3228	618.4657	0	967.6497	616.8676	
50.0	966.9971	618.2348	0	972.6735	602.6683	0	969.8353	610.4515	
66.6	963.3336	612.4040	0	973.0311	615.4905	0	968.1824	613.9473	
83.4	963.9038	602.7301	0	960.1281	609.6252	0	962.0160	606.1776	
100.0	964.4413	603.3499	0	966.6051	608.9859	0	965.5232	606.1679	
116.6	974.3042	612.0403	0	959.1499	606.9741	0	966.7270	609.5072	
133.2	966.4049	612.2294	0	975.8887	623.8025	0	971.1468	618.0159	
150.0	968.0627	608.7228	0	966.5003	609.6197	0	967.2815	609.1712	
166.6	974.2237	615.6689	0	963.5329	615.3572	0	968.8783	615.5131	
183.2	969.2432	623.6445	0	967.5760	610.9987	0	968.4096	617.3216	
199.8	974.4330	612.0350	0	970.4105	610.1125	0	972.4217	611.0738	
216.6	971.2725	605.8678	0	960.2947	616.3253	0	965.7836	611.0965	
233.2	975.1703	614.3540	0	960.8669	617.1158	0	968.0186	615.7349	
249.8	970.9198	625.7312	0	963.8525	611.1162	0	967.3862	618.4237	
266.5	976.1364	618.7492	0	961.9681	614.4675	0	969.0522	616.6084	
283.2	976.3728	615.6200	0	965.1604	613.4741	0	970.7666	614.5471	
299.8	978.2135	621.9295	0	969.6596	621.1939	0	973.9365	621.5617	
316.4	974.5427	623.9053	0	976.0797	618.4966	0	975.3112	621.2009	
333.1	964.7159	617.9537	0	973.6703	624.3818	0	969.1931	621.1678	
349.8	972.2596	618.1565	0	959.9643	624.3270	0	966.1120	621.2417	
366.4	968.3315	613.6446	0	965.8864	606.4642	0	967.1090	610.0544	
383.1	975.3774	620.9797	0	963.7174	622.5548	0	969.5474	621.7673	
399.7	943.4033	613.0922	0	942.4748	600.1698	0	942.9391	606.6310	
416.4	846.2810	534.1889	0	848.0602	548.9076	0	847.1706	541.5482	
433.1	802.4933	472.4201	0	809.8391	462.4368	0	806.1662	467.4284	
449.7	812.9852	459.2133	0	809.8419	457.6582	0	811.4136	458.4358	
466.3	810.4706	460.0876	0	812.1333	456.1979	0	811.3019	458.1428	
482.9	817.8859	473.9576	0	808.5347	466.6765	0	813.2103	470.3170	
499.7	823.6927	462.4998	0	810.4344	464.6274	0	817.0635	463.5636	
516.3	815.8428	472.1420	0	802.1186	464.3079	0	808.9807	468.2249	
532.9	793.8938	475.6300	0	803.5957	462.8238	0	798.7448	469.2269	
549.7	811.2473	466.2126	0	800.2571	479.8606	0	805.7522	473.0366	
566.3	805.4049	475.3859	0	796.1350	466.8320	0	800.7700	471.1089	
582.9	806.7533	460.5773	0	794.9864	475.3328	0	800.8699	467.9551	
599.5	809.9938	472.0219	0	797.7697	477.2631	0	803.8817	474.6425	
616.3	805.7921	468.9347	0	798.8983	473.6074	0	802.3452	471.2710	
632.9	807.5712	466.4642	0	795.9452	477.5022	0	801.7582	471.9832	
649.5	803.2615	463.7625	0	795.5423	471.3665	0	799.4019	467.5645	
666.1	797.6897	475.3750	0	798.6495	478.0647	0	798.1696	476.7199	
682.9	810.2546	478.0248	0	792.9941	475.4099	0	801.6244	476.7174	
699.5	809.8643	470.4629	0	800.5555	474.3440	0	805.2099	472.4035	
716.1	805.8106	479.2752	0	801.3926	467.4679	0	803.6016	473.3716	
732.8	856.6410	476.8212	0	876.7469	487.7177	0	866.6939	482.2694	
749.4	1080.9207	560.8356	0	1102.3115	574.2923	0	1091.6161	567.5639	
766.1	1219.8394	632.7948	0	1253.9341	643.5479	0	1236.8868	638.1713	
782.7	1228.7448	679.7927	0	1239.8774	690.2730	0	1234.3111	685.0329	
799.4	1219.8152	692.0561	0	1228.1823	688.0078	0	1223.9988	690.0319	
816.0	1222.4826	677.8436	0	1227.6677	682.5146	0	1225.0751	680.1791	
832.7	1226.3969	683.2502	0	1223.5763	685.2436	0	1224.9866	684.2469	
849.4	1217.0865	672.3508	0	1232.9500	697.1998	0	1225.0183	684.7753	
866.0	1221.9670	671.2900	0	1212.5552	696.3647	0	1217.2611	683.8274	
882.7	1219.6687	674.8235	0	1219.7972	695.1437	0	1219.7330	684.9836	
899.4	1228.8670	699.7047	0	1226.6509	693.3461	0	1227.7590	696.5254	
916.0	1227.2410	695.9074	0	1228.5284	693.1983	0	1227.8847	694.5529	
932.6	1235.1367	712.4187	0	1234.4458	695.0853	0	1234.7913	703.7520	
949.2	1227.6602	699.7491	0	1230.2025	685.6133	0	1228.9313	692.6812	
966.0	1174.4078	629.2168	0	1184.9622	623.5499	0	1179.6850	626.3833	
982.6	1146.9124	550.8546	0	1163.8531	559.5406	0	1155.3827	555.1976	
999.2	1153.0488	534.4849	0	1145.9849	525.9191	0	1149.5168	530.2020	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	960.4401	586.5944	0	960.4930	595.4754	0	960.4666	591.0349	
16.7	954.2923	583.8171	0	955.9322	593.0269	0	955.1122	588.4220	
33.4	955.3834	588.6293	0	967.6675	602.3879	0	961.5255	595.5086	
50.0	965.0333	589.4967	0	966.5642	595.3427	0	965.7988	592.4197	
66.7	964.4483	597.3595	0	971.8711	591.7449	0	968.1597	594.5522	
83.4	967.5939	587.8178	0	961.2031	605.3434	0	964.3985	596.5806	
100.0	966.4030	591.2957	0	967.3437	595.2841	0	966.8733	593.2899	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	973.3058	617.2239	0	957.5641	607.2815	0	965.4350	612.2527	
16.7	963.4637	613.6431	0	960.9237	617.9264	0	962.1937	615.7847	
33.4	970.4855	607.3566	0	956.8392	608.2724	0	963.6623	607.8145	
50.0	962.0377	618.1355	0	962.0344	617.3088	0	962.0360	617.7222	
66.6	967.5468	616.5044	0	950.5973	615.0099	0	959.0721	615.7572	
83.4	957.1185	618.9541	0	959.0048	613.8930	0	958.0617	616.4236	
100.0	965.3510	614.7280	0	954.4448	616.7164	0	959.8979	615.7222	
116.6	978.4963	608.4113	0	971.7842	614.2154	0	975.1402	611.3133	
133.2	980.5993	612.6238	0	968.3201	610.6957	0	974.4597	611.6597	
150.0	978.7361	617.8481	0	967.9234	608.6250	0	973.3298	613.2366	
166.6	977.6922	611.6489	0	962.6477	615.0515	0	970.1699	613.3502	
183.2	965.9116	609.3331	0	960.7070	604.1308	0	963.3093	606.7320	
199.8	963.8241	615.4228	0	963.3528	610.6664	0	963.5884	613.0446	
216.6	970.0650	611.7099	0	963.4096	609.8893	0	966.7373	610.7996	
233.2	978.7057	603.8177	0	967.2013	605.4017	0	972.9535	604.6097	
249.8	962.8697	571.9921	0	967.9260	587.1588	0	965.3979	579.5754	
266.5	964.2120	569.1109	0	954.5982	568.4295	0	959.4051	568.7702	
283.2	959.1344	546.9322	0	954.7870	562.3611	0	956.9607	554.6467	
299.8	951.5390	552.4954	0	956.2362	555.7776	0	953.8876	554.1365	
316.5	951.3714	559.6338	0	951.5789	557.3514	0	951.4751	558.4926	
333.1	957.3461	566.4172	0	952.2597	565.9595	0	954.8029	566.1884	
349.8	962.6531	555.4639	0	952.9557	556.4847	0	957.8044	555.9743	
366.4	963.2793	556.3238	0	953.4275	564.6177	0	958.3534	560.4708	
383.1	958.4721	566.3840	0	943.5376	565.4915	0	951.0049	565.9377	
399.7	958.5806	568.2238	0	948.9579	568.3689	0	953.7692	568.2963	
416.4	944.3233	563.7354	0	948.2837	572.0390	0	946.3035	567.8872	
433.1	951.8417	557.5411	0	945.1566	545.3326	0	948.4991	551.4369	
449.7	957.2735	562.3081	0	948.3843	568.6881	0	952.8289	565.4981	
466.3	951.0628	564.4157	0	953.4751	562.8101	0	952.2690	563.6129	
483.1	956.4108	566.2590	0	933.1402	565.3311	0	944.7755	565.7950	
499.7	954.3333	570.4394	0	938.9450	575.8251	0	946.6392	573.1323	
516.3	947.6419	569.5912	0	941.5163	567.4143	0	944.5791	568.5027	
532.9	950.6006	563.9799	0	947.5824	577.6878	0	949.0915	570.8339	
549.7	950.0450	574.4496	0	942.1505	571.1292	0	946.0977	572.7894	
566.3	951.4055	566.8112	0	943.6677	573.5392	0	947.5366	570.1752	
582.9	955.4905	564.6548	0	945.5065	568.6076	0	950.4985	566.6312	
599.5	958.5170	563.3910	0	939.7579	583.0168	0	949.1375	573.2039	
616.3	957.7820	571.9237	0	932.6500	576.6659	0	945.2160	574.2948	
632.9	955.3873	571.4430	0	941.8103	576.8747	0	948.5988	574.1589	
649.5	954.0282	571.9981	0	943.5822	575.4461	0	948.8052	573.7221	
666.1	954.9054	566.4182	0	947.4738	565.8429	0	951.1896	566.1306	
682.9	962.6345	559.6485	0	942.4388	578.1774	0	952.5366	568.9130	
699.5	966.7357	564.3227	0	947.5448	576.0733	0	957.1403	570.1980	
716.1	965.6938	559.7750	0	947.8558	572.8764	0	956.7748	566.3257	
732.8	968.0978	563.8666	0	945.6368	578.5747	0	956.8673	571.2207	
749.5	961.4219	558.5432	0	951.4342	572.6751	0	956.4280	565.6092	
766.1	945.4577	561.4089	0	945.5549	571.1719	0	945.5063	566.2904	
782.8	957.9045	555.0783	0	950.3297	569.4822	0	954.1171	562.2803	
799.4	961.2034	566.4462	0	947.5451	581.1237	0	954.3742	573.7850	
816.1	956.9846	566.7833	0	949.3095	572.8398	0	953.1471	569.8116	
832.7	962.8596	565.3311	0	956.5462	584.4112	0	959.7029	574.8711	
849.4	955.1246	561.5245	0	943.9140	571.7544	0	949.5193	566.6394	
866.0	960.7669	571.7420	0	945.9435	577.1524	0	953.3552	574.4472	
882.7	961.6928	581.4464	0	948.4103	585.9104	0	955.0515	583.6784	
899.4	953.5732	567.0856	0	932.7139	575.3053	0	943.1435	571.1954	
916.0	968.5891	565.6146	0	953.9659	578.4219	0	961.2775	572.0182	
932.6	952.5319	569.7096	0	941.0866	575.0808	0	946.8093	572.3952	
949.4	956.5064	569.1057	0	941.6793	570.3427	0	949.0929	569.7242	
966.0	949.6765	570.0780	0	954.9760	572.7169	0	952.3262	571.3975	
982.6	958.4536	570.3085	0	951.9803	572.5375	0	955.2170	571.4230	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	963.4996	594.3614	0	961.7004	606.6542	0	962.6000	600.5078	
16.7	955.3501	600.3500	0	960.8213	601.5962	0	958.0857	600.9731	
33.4	947.4851	599.9729	0	952.8198	603.0694	0	950.1525	601.5212	
50.0	960.6672	610.6152	0	951.7519	606.2703	0	956.2095	608.4428	
66.6	958.5567	608.1910	0	961.5575	605.0992	0	960.0571	606.6451	
83.4	964.4200	607.6600	0	964.9558	611.8797	0	964.6879	609.7698	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	971.9432	591.1887	0	955.3175	605.6414	0	963.6303	598.4150	
16.6	953.0920	599.7985	0	969.8486	600.4683	0	961.4703	600.1334	
33.2	968.5463	602.6974	0	964.7891	601.5463	0	966.6677	602.1218	
50.0	958.8623	600.9113	0	963.0267	604.6852	0	960.9445	602.7982	
66.6	954.9887	599.3867	0	963.0453	596.3386	0	959.0170	597.8626	
83.2	965.7171	607.6797	0	965.7443	603.9971	0	965.7307	605.8384	
99.9	963.8413	596.0068	0	951.9176	590.5706	0	957.8795	593.2887	
116.6	968.3987	598.9619	0	952.5796	602.5384	0	960.4892	600.7502	
133.2	972.5730	599.2320	0	966.7045	600.8796	0	969.6387	600.0558	
