Recording date:	2018/04/19
Recording time:	17:16:11
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	994.0183	610.9685	0	976.1019	617.8125	0	985.0601	614.3905	
16.7	997.6847	612.1178	0	965.0405	626.2973	0	981.3626	619.2076	
33.4	999.8461	614.8057	0	971.2009	630.6136	0	985.5235	622.7096	
50.0	1000.4568	611.5411	0	980.6128	613.8329	0	990.5348	612.6870	
66.6	991.5734	624.2458	0	970.9844	620.0747	0	981.2789	622.1603	
83.4	994.3328	608.3114	0	975.3971	607.5626	0	984.8650	607.9370	
100.0	1002.9263	614.3629	0	988.6834	627.7551	0	995.8048	621.0590	
116.6	993.6999	615.6054	0	979.6940	632.0125	0	986.6970	623.8090	
133.2	985.2357	624.0122	0	995.6374	632.5680	0	990.4366	628.2901	
150.0	986.5707	607.3538	0	982.7910	616.2566	0	984.6808	611.8052	
166.6	988.6148	611.3185	0	985.8947	629.0338	0	987.2547	620.1761	
183.2	1004.6745	610.8414	0	985.9294	622.9534	0	995.3020	616.8974	
199.8	1007.2993	605.0018	0	983.6271	634.5892	0	995.4632	619.7955	
216.6	996.4157	612.7040	0	995.2698	638.7330	0	995.8428	625.7185	
233.2	984.9783	612.8303	0	988.0865	620.4021	0	986.5324	616.6162	
249.8	983.4661	610.6794	0	988.5621	629.7557	0	986.0141	620.2176	
266.5	988.5932	626.8142	0	992.3123	616.6435	0	990.4528	621.7289	
283.2	1002.3422	613.1886	0	980.2036	629.7647	0	991.2729	621.4767	
299.8	1004.1107	611.1807	0	977.0411	617.8751	0	990.5759	614.5279	
316.4	994.6572	613.2908	0	971.0910	630.4325	0	982.8741	621.8616	
333.1	893.0691	600.7521	0	886.2806	613.4041	0	889.6749	607.0781	
349.8	870.9959	599.3802	0	865.2017	608.2316	0	868.0988	603.8059	
366.4	877.6100	597.0564	0	859.7486	594.9232	0	868.6793	595.9898	
383.1	874.5480	604.4417	0	853.5421	609.7401	0	864.0451	607.0909	
399.7	868.1778	594.0772	0	850.3767	592.1294	0	859.2773	593.1033	
416.4	865.3849	602.9505	0	863.7375	597.8319	0	864.5612	600.3912	
433.1	878.1152	611.6210	0	856.8156	596.3642	0	867.4654	603.9926	
449.7	877.7878	593.7083	0	854.8530	601.1017	0	866.3204	597.4050	
466.3	862.2170	602.9062	0	858.5564	612.1555	0	860.3867	607.5309	
483.0	859.8512	605.3523	0	851.2390	592.8570	0	855.5451	599.1047	
499.7	861.8030	589.8296	0	851.6272	603.2694	0	856.7151	596.5495	
516.3	872.0760	606.8846	0	854.2243	609.4964	0	863.1502	608.1905	
532.9	868.9778	592.7364	0	867.0070	604.1587	0	867.9924	598.4475	
549.7	866.2641	613.5176	0	853.9695	603.9470	0	860.1168	608.7323	
566.3	878.4556	603.5241	0	858.6501	608.1407	0	868.5528	605.8324	
582.9	868.8475	600.5058	0	871.2873	595.4331	0	870.0674	597.9694	
599.5	856.2334	590.8727	0	845.1940	584.0516	0	850.7137	587.4621	
616.3	775.4701	573.4264	0	776.7217	555.3492	0	776.0959	564.3878	
632.9	773.6354	567.7530	0	776.1806	548.0327	0	774.9080	557.8929	
649.5	785.2773	575.8239	0	774.9877	546.8606	0	780.1325	561.3423	
666.1	773.7379	568.0697	0	771.0147	554.7051	0	772.3763	561.3874	
682.9	778.4781	566.6156	0	774.9383	561.8934	0	776.7082	564.2545	
699.5	780.9358	566.1870	0	781.9065	553.0472	0	781.4212	559.6171	
716.1	797.9058	575.8537	0	786.3903	561.2304	0	792.1481	568.5420	
732.8	802.0320	561.7688	0	812.3869	536.4384	0	807.2095	549.1036	
749.5	1269.3334	692.7858	0	1282.5131	699.8045	0	1275.9232	696.2952	
766.1	1454.2132	728.4512	0	1453.0702	739.6752	0	1453.6417	734.0632	
782.8	1445.5840	724.1939	0	1454.7460	732.1738	0	1450.1650	728.1839	
799.4	1441.5401	731.2295	0	1439.7821	725.5665	0	1440.6611	728.3980	
816.1	1443.4414	721.1400	0	1448.1978	734.7531	0	1445.8196	727.9466	
832.7	1440.8236	721.8072	0	1449.9314	740.9014	0	1445.3775	731.3543	
849.4	1451.8181	716.6919	0	1468.8449	730.3298	0	1460.3315	723.5109	
866.0	1451.6707	727.7319	0	1446.5103	730.0752	0	1449.0905	728.9035	
882.7	1453.9625	723.9640	0	1450.7979	737.6167	0	1452.3802	730.7904	
899.4	1451.3852	720.1523	0	1444.4217	731.3720	0	1447.9035	725.7622	
916.0	1453.3533	747.2637	0	1427.9424	739.5925	0	1440.6479	743.4281	
932.6	1463.0140	722.0073	0	1430.5608	733.1610	0	1446.7874	727.5841	
949.4	1463.1361	737.5858	0	1426.1218	731.4937	0	1444.6289	734.5398	
966.0	1452.6249	735.3618	0	1435.2602	762.7044	0	1443.9425	749.0331	
982.6	1603.5989	819.1421	0	1562.2997	834.9170	0	1582.9493	827.0295	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	1059.2443	598.4386	0	1048.3882	595.7281	0	1053.8162	597.0833	
16.7	1054.4768	590.9570	0	1038.4837	590.0244	0	1046.4802	590.4907	
33.4	1053.7846	601.9164	0	1040.4875	584.2041	0	1047.1361	593.0603	
50.0	1053.0065	590.0419	0	1043.6226	598.8470	0	1048.3146	594.4445	
66.6	1049.0472	581.7966	0	1051.1700	605.8149	0	1050.1086	593.8057	
83.4	1053.4976	584.7906	0	1052.7440	611.1340	0	1053.1208	597.9623	
100.0	1049.4882	593.9519	0	1037.5848	595.9552	0	1043.5365	594.9535	
116.6	1065.1242	610.8371	0	1041.1955	598.6945	0	1053.1598	604.7658	
133.2	1056.4121	589.1829	0	1042.6714	594.5703	0	1049.5417	591.8766	
150.0	1056.8160	588.7147	0	1041.9453	602.9171	0	1049.3807	595.8159	
166.6	1068.7918	579.2622	0	1041.6520	599.5303	0	1055.2219	589.3963	
183.2	1063.7933	581.0299	0	1053.0783	598.6476	0	1058.4358	589.8388	
199.8	952.2029	546.5167	0	964.8166	545.3419	0	958.5098	545.9293	
216.6	871.6176	518.0615	0	870.2469	530.0051	0	870.9323	524.0333	
233.2	876.7146	514.5000	0	881.9744	527.3360	0	879.3445	520.9180	
249.8	887.4520	516.5056	0	864.0320	518.3448	0	875.7420	517.4252	
266.5	883.0865	524.6303	0	878.8796	526.4381	0	880.9830	525.5342	
283.2	891.9273	512.3404	0	888.9949	531.6933	0	890.4611	522.0169	
299.8	888.1297	519.3029	0	877.5516	522.1791	0	882.8407	520.7410	
316.5	880.7769	525.3684	0	873.4546	528.3619	0	877.1157	526.8651	
333.1	883.7028	519.3345	0	883.8470	527.3873	0	883.7749	523.3609	
349.8	869.9755	527.0003	0	873.4007	516.5445	0	871.6881	521.7724	
366.4	879.1051	517.0448	0	864.6898	526.5948	0	871.8975	521.8198	
383.1	890.9485	506.7710	0	878.7076	531.0484	0	884.8280	518.9097	
399.7	868.1464	525.3243	0	884.9244	504.6999	0	876.5354	515.0121	
416.4	870.0097	523.6175	0	880.8407	509.4333	0	875.4252	516.5254	
433.1	873.8000	527.6906	0	878.3728	516.3984	0	876.0864	522.0445	
449.7	884.7227	524.5941	0	878.9929	510.0965	0	881.8578	517.3453	
466.3	776.6499	674.3857	0	753.4291	663.9744	0	765.0395	669.1800	
483.0	720.8482	778.2313	0	710.0762	782.7002	0	715.4622	780.4657	
499.7	726.0185	787.2061	0	724.8741	794.3699	0	725.4463	790.7880	
516.3	732.9178	799.1704	0	722.3386	792.5044	0	727.6282	795.8374	
532.9	731.8936	782.1099	0	716.9465	804.6073	0	724.4200	793.3586	
549.7	741.5960	788.6138	0	725.7160	788.9998	0	733.6560	788.8068	
566.3	728.3491	782.7521	0	719.2345	790.4967	0	723.7918	786.6244	
582.9	737.9344	799.5341	0	719.6316	790.4001	0	728.7830	794.9671	
599.5	728.4882	810.2803	0	721.6992	798.1807	0	725.0937	804.2305	
616.3	737.7549	788.6858	0	714.7039	796.2635	0	726.2294	792.4746	
632.9	740.1555	785.0483	0	717.5204	796.3725	0	728.8379	790.7104	
649.5	737.3904	774.8981	0	739.3225	769.8781	0	738.3565	772.3881	
666.1	923.2118	685.3449	0	967.0996	703.2614	0	945.1557	694.3031	
682.9	1067.9128	656.5539	0	1057.7550	647.9034	0	1062.8339	652.2287	
