Recording date:	2018/04/13
Recording time:	15:20:18
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	962.0760	632.9629	0	962.8086	605.9541	0	962.4423	619.4585	
16.6	963.3088	619.7013	0	962.9136	612.3825	0	963.1112	616.0419	
33.2	960.4831	609.0888	0	952.8904	607.2917	0	956.6868	608.1902	
49.9	965.3773	598.2186	0	956.4275	603.6497	0	960.9024	600.9342	
66.6	946.4632	596.1245	0	951.7779	616.7757	0	949.1205	606.4501	
83.2	-1.0000	-1.0000	4	950.7700	615.2112	0	0.4952	0.5127	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	953.6499	623.1134	0	954.7915	609.8959	0	954.2207	616.5047	
16.6	945.1782	630.5625	0	949.6207	599.1443	0	947.3995	614.8534	
33.2	951.6314	614.1878	0	943.1691	610.7132	0	947.4003	612.4505	
49.9	949.2977	615.8906	0	945.1568	596.9638	0	947.2272	606.4272	
66.6	942.6256	618.7801	0	942.2907	606.8176	0	942.4582	612.7988	
83.2	940.6387	617.0147	0	944.3559	608.8565	0	942.4973	612.9356	
99.9	945.8718	619.4548	0	940.5256	614.9039	0	943.1987	617.1793	
116.5	945.4125	622.5484	0	937.8954	609.2825	0	941.6540	615.9154	
133.2	941.1309	617.8675	0	946.9252	610.2009	0	944.0280	614.0342	
149.9	948.6240	607.8568	0	939.8993	616.2035	0	944.2616	612.0302	
166.5	945.7801	618.3330	0	939.6427	620.1993	0	942.7114	619.2661	
183.1	946.0885	618.4074	0	939.6148	620.1781	0	942.8516	619.2927	
199.8	947.8810	624.1432	0	941.1797	616.8677	0	944.5303	620.5054	
216.5	937.0377	628.7151	0	947.4360	614.8918	0	942.2369	621.8035	
233.1	949.5301	635.6370	0	938.6049	610.9061	0	944.0675	623.2716	
249.7	935.2601	631.1688	0	946.0917	618.2781	0	940.6759	624.7234	
266.5	938.5918	620.1135	0	944.4391	624.5464	0	941.5155	622.3299	
283.1	942.5288	625.2711	0	944.7074	619.7521	0	943.6181	622.5116	
299.7	939.5972	626.8693	0	946.8827	619.5055	0	943.2399	623.1874	
316.3	946.1822	627.7395	0	938.9013	617.6131	0	942.5417	622.6763	
