Recording date:	2018/04/11
Recording time:	17:45:38
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	959.5708	573.7106	0	974.3037	613.4669	0	966.9373	593.5888	
16.6	962.1485	582.7933	0	973.0865	605.2243	0	967.6175	594.0088	
33.2	955.6184	575.9991	0	974.5743	604.5455	0	965.0963	590.2723	
50.0	963.0615	585.0198	0	970.2775	602.3366	0	966.6695	593.6782	
66.6	953.7971	574.9315	0	977.8146	615.1143	0	965.8059	595.0229	
83.2	957.3026	574.6727	0	973.6634	605.9522	0	965.4830	590.3124	
99.9	950.7945	578.5548	0	979.5365	609.1843	0	965.1655	593.8695	
116.6	960.0716	572.0422	0	983.1182	611.4153	0	971.5949	591.7287	
133.2	955.2463	579.8544	0	975.1610	611.9938	0	965.2036	595.9241	
149.9	963.1963	588.0354	0	976.1666	603.0613	0	969.6814	595.5484	
166.5	962.7114	595.3938	0	974.3458	608.6256	0	968.5286	602.0097	
183.2	963.7818	586.4388	0	978.5749	604.9649	0	971.1783	595.7018	
199.8	956.0854	593.0013	0	981.2312	601.4846	0	968.6583	597.2430	
216.5	964.1295	572.6069	0	978.5650	606.5712	0	971.3473	589.5891	
233.1	955.2237	571.8885	0	974.2449	614.0362	0	964.7343	592.9623	
249.8	890.6371	501.5448	0	920.9358	536.6406	0	905.7864	519.0927	
266.5	763.7473	365.6200	0	785.9735	330.0409	0	774.8604	347.8304	
283.1	771.2873	308.7193	0	777.8965	303.3019	0	774.5919	306.0106	
299.7	756.5936	324.9513	0	764.3566	306.0909	0	760.4751	315.5211	
316.4	754.6484	337.6044	0	764.4105	311.5488	0	759.5295	324.5766	
333.1	770.7332	338.8447	0	778.1510	315.4670	0	774.4421	327.1559	
349.7	764.8374	332.5847	0	765.7392	308.5613	0	765.2883	320.5730	
366.3	777.9032	330.2771	0	764.2886	292.2781	0	771.0959	311.2776	
383.1	779.9304	296.9073	0	766.6873	285.5007	0	773.3088	291.2040	
399.7	749.3739	268.5731	0	769.1687	329.5469	0	759.2713	299.0600	
416.3	742.5362	267.2270	0	777.1371	357.7377	0	759.8367	312.4823	
432.9	784.6218	331.1403	0	802.5525	409.1265	0	793.5872	370.1334	
449.7	870.2286	458.4104	0	885.2563	482.6193	0	877.7424	470.5149	
466.3	872.9417	462.7877	0	897.7332	498.8693	0	885.3374	480.8285	
483.0	888.4112	456.3935	0	884.5245	498.4320	0	886.4679	477.4127	
499.6	-1.0000	-1.0000	4	876.8152	504.9537	0	0.4567	0.4208	
