Recording date:	2018/04/20
Recording time:	15:47:28
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	984.2612	655.2552	0	948.8091	635.4257	0	966.5351	645.3405	
16.6	984.0225	655.4833	0	947.2042	638.0146	0	965.6134	646.7490	
33.4	980.3114	646.1080	0	950.1401	636.9376	0	965.2258	641.5228	
50.0	984.5041	646.9435	0	952.1935	634.5191	0	968.3488	640.7313	
66.6	986.8441	648.8717	0	951.9417	633.1491	0	969.3929	641.0104	
83.2	981.4930	649.2556	0	950.6309	629.7765	0	966.0619	639.5160	
100.0	982.8291	646.3132	0	955.2761	630.7716	0	969.0526	638.5424	
116.6	980.6009	649.4501	0	951.6901	634.3416	0	966.1455	641.8958	
133.3	988.6220	651.7807	0	952.4104	639.2085	0	970.5162	645.4946	
149.9	983.5106	651.7112	0	956.6859	633.9066	0	970.0982	642.8089	
166.5	983.4148	652.3750	0	954.0336	629.4601	0	968.7242	640.9175	
183.2	978.0822	655.9277	0	954.8159	635.7869	0	966.4490	645.8573	
199.8	979.9997	660.0965	0	949.6894	641.6940	0	964.8445	650.8952	
216.5	981.4537	656.9451	0	951.0226	639.6831	0	966.2381	648.3141	
233.1	981.8927	658.8220	0	954.8979	642.3460	0	968.3953	650.5840	
249.8	985.3392	657.9962	0	953.1759	633.2394	0	969.2576	645.6178	
266.5	981.6743	655.8259	0	949.3597	638.3255	0	965.5170	647.0757	
283.1	982.7786	655.8561	0	948.4177	634.6089	0	965.5982	645.2325	
299.7	980.2583	657.7044	0	946.3452	634.1025	0	963.3017	645.9034	
316.4	988.0538	657.2310	0	948.8403	636.0454	0	968.4470	646.6382	
333.1	991.0600	653.9214	0	947.6338	635.7105	0	969.3469	644.8160	
349.7	987.4331	656.1389	0	951.5101	636.7572	0	969.4716	646.4480	
366.3	983.2469	658.3405	0	950.4392	635.0825	0	966.8431	646.7115	
383.1	980.0142	656.0644	0	952.8301	638.6759	0	966.4222	647.3701	
399.7	983.9283	654.5129	0	949.8988	636.5442	0	966.9136	645.5286	
416.3	984.5084	658.5754	0	948.5776	638.5686	0	966.5430	648.5720	
432.9	914.6569	553.2747	0	882.4014	544.8972	0	898.5291	549.0859	
449.7	869.5841	412.0793	0	831.2522	401.6892	0	850.4182	406.8843	
466.3	863.3466	392.2928	0	809.4244	378.1741	0	836.3855	385.2334	
482.9	855.0827	392.6381	0	811.7446	370.5392	0	833.4137	381.5887	
499.5	862.2840	398.3926	0	815.4157	376.8390	0	838.8499	387.6158	
516.3	858.7102	397.8251	0	814.1929	385.2974	0	836.4516	391.5612	
532.9	861.0820	397.0179	0	814.6507	381.9024	0	837.8664	389.4601	
549.5	863.2430	394.6994	0	810.0821	381.4927	0	836.6626	388.0961	
566.2	865.8700	391.3302	0	808.2412	382.1369	0	837.0556	386.7336	
582.9	862.8303	394.0934	0	809.2164	385.6033	0	836.0233	389.8484	
599.5	859.3048	394.3067	0	805.9551	384.7256	0	832.6299	389.5161	
616.1	865.8114	397.6563	0	809.5025	380.4500	0	837.6569	389.0531	
632.8	861.9076	392.1750	0	806.8376	372.1589	0	834.3726	382.1670	
649.5	859.3433	387.2639	0	806.8711	378.8652	0	833.1072	383.0646	
666.1	863.6358	386.3143	0	803.7061	379.9594	0	833.6709	383.1369	
682.8	861.2864	391.8064	0	802.4920	376.9453	0	831.8892	384.3759	
699.4	863.4710	396.7600	0	803.6369	379.1864	0	833.5540	387.9732	
716.1	860.0596	394.6114	0	805.3294	373.0251	0	832.6945	383.8182	
732.8	880.7455	421.3459	0	833.5457	409.2894	0	857.1456	415.3177	
749.4	979.1060	576.0346	0	930.3190	570.4722	0	954.7125	573.2534	
766.0	989.5716	602.4740	0	943.9850	587.5320	0	966.7783	595.0030	
782.8	993.5051	612.9738	0	947.3311	596.7975	0	970.4181	604.8857	
799.4	998.6902	612.0331	0	955.3680	604.5138	0	977.0291	608.2734	
816.0	992.3691	614.6936	0	950.2926	601.6161	0	971.3308	608.1549	
832.7	991.0787	611.8577	0	944.2361	601.8637	0	967.6574	606.8607	
849.4	992.4595	610.2272	0	948.7662	603.5620	0	970.6129	606.8946	
866.0	991.0728	608.3764	0	943.3036	606.8475	0	967.1882	607.6120	
882.6	988.9315	608.2861	0	940.4296	603.8203	0	964.6806	606.0532	
899.2	998.1234	612.2827	0	943.3380	603.5591	0	970.7307	607.9209	
916.0	997.5119	612.6107	0	939.7206	599.5740	0	968.6163	606.0924	
932.6	998.4626	611.9509	0	941.6231	593.7476	0	970.0429	602.8492	
949.2	997.1369	607.9062	0	943.6861	592.7213	0	970.4115	600.3138	
965.9	993.9059	610.5262	0	946.1384	592.3477	0	970.0221	601.4369	
982.6	993.3118	604.3285	0	947.4774	593.1929	0	970.3946	598.7607	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	989.3652	613.5212	0	946.6218	602.3690	0	967.9935	607.9451	
16.6	992.3048	615.1787	0	949.5022	609.2833	0	970.9035	612.2310	
33.4	991.8576	616.5540	0	951.3975	612.2609	0	971.6275	614.4074	
50.0	994.6380	615.4548	0	950.7245	610.4246	0	972.6813	612.9397	
66.6	987.7496	615.5413	0	950.9426	605.8474	0	969.3461	610.6943	
83.2	989.3401	613.2861	0	949.9766	603.0822	0	969.6584	608.1841	
