Recording date:	2018/08/22
Recording time:	16:04:25
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	973.8878	582.3221	0	972.6896	601.9860	0	973.2887	592.1541	
16.7	972.5271	589.9942	0	975.7473	604.0499	0	974.1372	597.0221	
33.4	980.9572	593.1289	0	970.8192	600.7476	0	975.8882	596.9382	
50.0	969.5739	597.6034	0	983.1180	602.6096	0	976.3459	600.1065	
66.6	975.4716	588.8760	0	978.6508	603.4006	0	977.0612	596.1383	
83.4	982.7529	586.6390	0	979.0246	598.0022	0	980.8887	592.3206	
100.0	977.8441	601.6686	0	984.3063	601.6891	0	981.0752	601.6788	
116.6	981.1571	593.6317	0	988.1795	592.6846	0	984.6683	593.1582	
133.2	983.2120	600.0273	0	986.0269	610.8288	0	984.6195	605.4281	
150.0	966.6832	587.3264	0	979.4755	599.4531	0	973.0794	593.3898	
166.6	968.7350	605.1059	0	983.6633	600.6069	0	976.1991	602.8564	
183.2	974.8206	589.1488	0	972.1283	601.6967	0	973.4745	595.4227	
199.8	978.4106	593.3766	0	977.3551	595.5233	0	977.8828	594.4500	
216.6	972.2895	592.2234	0	981.9773	603.6499	0	977.1334	597.9367	
233.2	978.2059	595.9600	0	979.0586	590.1781	0	978.6323	593.0691	
249.8	971.0456	582.6587	0	981.3502	598.0650	0	976.1979	590.3618	
266.5	982.5142	580.7238	0	978.5781	600.6316	0	980.5461	590.6777	
283.2	970.1325	578.5989	0	974.0703	592.2943	0	972.1014	585.4466	
299.8	977.5737	586.0812	0	975.1474	602.4336	0	976.3606	594.2574	
316.4	979.7765	587.3954	0	977.1879	605.5722	0	978.4822	596.4838	
333.1	967.5640	589.2022	0	979.4072	595.1065	0	973.4856	592.1544	
349.8	972.2210	593.1391	0	983.3154	607.9290	0	977.7682	600.5340	
366.4	968.9621	589.0451	0	981.5122	597.3358	0	975.2372	593.1904	
383.1	976.1265	593.5268	0	986.0797	594.6583	0	981.1031	594.0925	
399.7	985.5749	587.6823	0	983.6044	601.5703	0	984.5897	594.6263	
416.4	981.8734	600.5486	0	985.6771	589.6338	0	983.7752	595.0912	
433.1	988.2038	597.3832	0	981.4601	591.9929	0	984.8319	594.6881	
449.7	966.7623	588.8942	0	980.0605	584.8236	0	973.4114	586.8589	
466.3	973.9326	591.8742	0	980.4735	597.9418	0	977.2031	594.9080	
483.0	977.8182	602.6900	0	973.1600	592.7960	0	975.4891	597.7430	
499.7	975.0466	587.6272	0	977.0105	592.8616	0	976.0286	590.2444	
516.3	983.8559	553.7583	0	970.2046	571.3901	0	977.0302	562.5742	
532.9	979.8032	538.8614	0	968.5473	566.5365	0	974.1752	552.6989	
549.7	979.0303	547.3140	0	970.2989	567.6192	0	974.6646	557.4666	
566.3	973.1064	551.3839	0	968.0472	564.8651	0	970.5768	558.1245	
582.9	977.6509	539.5158	0	974.9229	563.2311	0	976.2869	551.3734	
599.5	977.1302	543.3442	0	969.3011	563.9373	0	973.2156	553.6407	
616.3	974.8435	542.6303	0	974.8450	563.1639	0	974.8442	552.8971	
632.9	974.9036	536.7513	0	968.6219	572.3856	0	971.7627	554.5684	
649.5	982.2026	544.5455	0	970.8221	569.8401	0	976.5124	557.1928	
666.1	975.6843	535.6773	0	969.5321	558.6975	0	972.6082	547.1874	
682.9	977.8654	535.6870	0	971.2408	569.9745	0	974.5531	552.8308	
699.5	982.4546	554.3293	0	987.9095	558.3737	0	985.1820	556.3515	
716.1	1051.4827	540.0833	0	1065.2297	551.0062	0	1058.3562	545.5447	
732.8	1067.9780	554.6251	0	1056.7076	562.7569	0	1062.3428	558.6910	
749.5	1063.2797	547.7574	0	1057.2013	560.9962	0	1060.2405	554.3768	
766.1	1070.2298	551.9808	0	1050.3279	556.5335	0	1060.2789	554.2571	
782.7	1064.8045	550.2459	0	1066.9547	551.9062	0	1065.8796	551.0761	
799.4	1069.5152	550.7290	0	1060.8408	559.4296	0	1065.1780	555.0793	
816.1	1068.6674	545.7754	0	1071.2823	551.9081	0	1069.9749	548.8417	
832.7	1069.7999	546.3511	0	1063.0364	557.1588	0	1066.4182	551.7549	
849.4	1066.5833	550.3708	0	1059.8494	551.2626	0	1063.2163	550.8167	
866.0	1059.3789	540.9265	0	1067.5021	553.6114	0	1063.4405	547.2690	
882.7	1066.9527	544.8613	0	1058.0557	564.6769	0	1062.5042	554.7691	
899.3	1068.3972	543.4326	0	1058.8639	554.8945	0	1063.6306	549.1636	
916.0	1059.0912	549.0654	0	1060.9690	550.9633	0	1060.0301	550.0144	
932.6	1067.3678	544.0122	0	1059.9045	561.4639	0	1063.6362	552.7381	
949.3	1068.8753	543.4999	0	1055.3035	561.2677	0	1062.0894	552.3838	
966.0	1055.4237	560.1639	0	1058.8256	552.0477	0	1057.1247	556.1058	
982.6	1058.0462	554.9277	0	1047.6733	550.7481	0	1052.8597	552.8379	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	974.7583	589.8020	0	957.2074	596.1642	0	965.9829	592.9831	
16.6	974.5455	580.9497	0	956.7889	598.5253	0	965.6672	589.7375	
33.2	973.5398	578.2681	0	961.0346	601.2477	0	967.2872	589.7579	
49.9	974.2656	575.8796	0	962.2043	593.3151	0	968.2350	584.5974	
66.6	978.2167	576.4547	0	965.0421	599.3442	0	971.6294	587.8995	
83.2	969.7488	579.5569	0	972.3270	596.6137	0	971.0379	588.0853	
99.9	975.5460	580.2108	0	980.1492	592.2447	0	977.8476	586.2277	
116.5	981.7892	581.8969	0	986.1406	588.0029	0	983.9649	584.9499	
133.2	983.0367	576.3229	0	986.3759	591.1238	0	984.7063	583.7233	
149.9	983.2795	584.9165	0	968.8751	591.9411	0	976.0773	588.4288	
166.5	969.8983	584.6505	0	973.6403	600.6521	0	971.7693	592.6513	
183.1	978.4753	583.1616	0	983.7345	594.0777	0	981.1049	588.6197	
199.9	979.5041	582.6606	0	979.4373	587.1799	0	979.4707	584.9202	
216.5	987.3016	581.9990	0	980.0805	594.7271	0	983.6910	588.3630	
233.1	987.7136	592.1116	0	976.1574	597.1527	0	981.9355	594.6322	
249.7	917.1746	552.6867	0	929.4533	547.7833	0	923.3139	550.2350	
266.5	843.2995	482.8460	0	875.1248	478.7232	0	859.2122	480.7846	
283.1	868.9254	464.4369	0	873.1865	475.0395	0	871.0560	469.7382	
299.7	866.2595	461.3243	0	867.6870	471.5392	0	866.9732	466.4317	
316.3	869.1449	466.1010	0	868.7081	474.4541	0	868.9265	470.2775	
333.1	868.4793	461.9266	0	872.7502	469.7314	0	870.6147	465.8290	
349.7	867.3091	469.1951	0	869.4564	476.1669	0	868.3828	472.6810	
366.3	865.5287	466.1791	0	877.3028	471.4360	0	871.4157	468.8075	
382.9	863.4747	464.9778	0	872.5290	473.0168	0	868.0019	468.9973	
399.7	865.3629	460.7612	0	866.9823	476.9976	0	866.1726	468.8794	
416.3	909.2592	439.3834	0	924.9042	461.3387	0	917.0817	450.3610	
432.9	1016.1668	435.7115	0	1030.5733	438.7084	0	1023.3700	437.2100	
449.5	1033.1504	440.0567	0	1040.9070	443.9445	0	1037.0287	442.0006	
466.3	1027.0815	423.2497	0	1025.8812	446.6447	0	1026.4814	434.9472	
482.9	1020.6884	423.4742	0	1012.2991	438.0364	0	1016.4938	430.7553	
499.5	1026.8567	422.1378	0	1021.3082	439.1750	0	1024.0825	430.6564	
516.2	1026.3224	420.8581	0	1018.4399	442.8491	0	1022.3812	431.8536	
532.9	1020.4285	424.8370	0	1023.6728	441.4781	0	1022.0506	433.1576	
549.5	1020.3376	434.5822	0	1019.0063	440.2304	0	1019.6720	437.4063	
566.2	1018.0005	438.1108	0	1028.6277	442.4495	0	1023.3141	440.2801	
582.8	1023.3074	431.5904	0	1027.1566	449.6475	0	1025.2320	440.6190	
599.5	1023.4872	436.0985	0	1024.8123	443.7759	0	1024.1497	439.9372	
616.1	1024.4373	437.2919	0	1022.2943	449.6515	0	1023.3658	443.4717	
632.8	1020.4347	434.9586	0	1027.0469	440.9287	0	1023.7408	437.9437	
649.4	1032.6965	432.1153	0	1031.3253	446.0617	0	1032.0109	439.0885	
666.1	1036.2275	435.6218	0	1043.0441	441.3759	0	1039.6358	438.4989	
682.8	1033.1802	429.1210	0	1033.9983	443.4216	0	1033.5892	436.2713	
699.4	1046.5463	429.4700	0	1037.2358	446.7715	0	1041.8910	438.1208	
716.0	1034.3653	432.7425	0	1032.6959	435.3687	0	1033.5306	434.0556	
732.8	1038.1206	433.3826	0	1031.9995	438.8875	0	1035.0601	436.1351	
749.4	1039.3342	430.7226	0	1030.3085	440.9798	0	1034.8213	435.8512	
766.0	1041.6123	434.3561	0	1032.8407	444.2675	0	1037.2265	439.3118	
782.6	1038.4820	429.7754	0	1039.6785	440.8623	0	1039.0803	435.3188	
