Recording date:	2018/07/18
Recording time:	17:42:33
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	940.8963	577.8099	0	935.6568	585.1028	0	938.2766	581.4564	
16.6	931.3622	581.6646	0	940.7879	572.6336	0	936.0751	577.1491	
33.4	944.8740	586.8807	0	938.4812	565.4046	0	941.6776	576.1426	
50.0	940.4212	583.4146	0	945.7147	571.0858	0	943.0680	577.2502	
66.6	937.2488	593.6781	0	938.4801	572.8055	0	937.8645	583.2418	
83.2	943.0232	596.4737	0	949.2352	578.8274	0	946.1292	587.6506	
100.0	946.4107	589.0333	0	941.0229	586.4278	0	943.7168	587.7305	
116.6	947.3478	594.2710	0	934.5246	584.5992	0	940.9362	589.4351	
133.2	959.1505	587.2412	0	954.9907	597.9213	0	957.0706	592.5812	
149.9	950.5149	582.9459	0	957.3935	594.8849	0	953.9542	588.9154	
166.6	944.6347	573.7336	0	946.9652	597.5038	0	945.7999	585.6187	
183.2	955.2328	574.5265	0	956.8882	596.4905	0	956.0605	585.5085	
199.9	952.1350	576.1046	0	953.9106	601.2526	0	953.0228	588.6786	
216.5	951.0363	589.6372	0	949.9729	594.6196	0	950.5046	592.1284	
233.2	954.0070	578.4486	0	955.4208	595.2628	0	954.7139	586.8557	
249.8	947.3593	567.3484	0	951.1274	593.4801	0	949.2434	580.4143	
266.5	959.5485	576.9248	0	948.7706	601.4779	0	954.1596	589.2013	
283.1	957.4391	568.7776	0	958.3506	599.3191	0	957.8949	584.0484	
299.8	943.6637	564.8235	0	957.9436	598.3525	0	950.8037	581.5880	
316.4	942.2389	574.9817	0	935.6830	595.2995	0	938.9610	585.1406	
333.1	959.7836	571.6652	0	951.9805	539.8945	0	955.8820	555.7798	
349.7	956.8575	518.6429	0	960.5067	524.1018	0	958.6821	521.3723	
366.4	959.3324	516.9628	0	962.2596	517.4699	0	960.7960	517.2163	
383.1	960.3334	516.8076	0	965.5384	508.5582	0	962.9359	512.6829	
399.7	966.6222	522.1118	0	959.1997	517.1689	0	962.9109	519.6403	
416.3	962.0649	521.2165	0	961.8867	521.4986	0	961.9758	521.3576	
433.1	952.6037	524.7335	0	970.5202	525.0744	0	961.5619	524.9040	
449.7	950.4808	523.5581	0	970.3929	528.1605	0	960.4369	525.8593	
466.3	945.8285	530.3737	0	964.1071	524.2127	0	954.9678	527.2932	
482.9	950.9291	523.1648	0	965.1085	505.3867	0	958.0188	514.2758	
499.7	957.8950	521.4184	0	985.6291	548.2197	0	971.7620	534.8191	
516.3	967.0673	522.1086	0	974.2117	529.5076	0	970.6395	525.8081	
532.9	963.8443	521.8488	0	983.3880	539.0031	0	973.6162	530.4260	
549.5	963.8720	519.2841	0	966.2762	532.3755	0	965.0741	525.8298	
566.3	962.9719	508.5686	0	963.8307	528.8446	0	963.4013	518.7066	
582.9	1002.8121	527.6213	0	1008.0785	551.4621	0	1005.4453	539.5417	
599.5	995.9738	522.9706	0	994.3074	535.1983	0	995.1406	529.0845	
616.2	1006.9931	530.6244	0	994.5942	546.4805	0	1000.7937	538.5525	
632.9	996.3393	525.3128	0	997.0292	552.1426	0	996.6842	538.7277	
649.5	1002.5541	522.2130	0	995.2555	548.8218	0	998.9048	535.5174	
666.1	996.2681	511.6440	0	1008.2835	549.0818	0	1002.2758	530.3629	
682.8	1006.1773	531.4686	0	1003.3654	543.6452	0	1004.7714	537.5569	
699.5	1000.2021	540.0926	0	999.0975	551.4643	0	999.6498	545.7784	
716.1	1001.0405	531.4762	0	998.2119	547.5408	0	999.6262	539.5085	
