Recording date:	2018/06/29
Recording time:	13:48:18
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
16.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
33.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
50.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
66.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
83.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
16.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
33.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
50.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
67.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
83.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
100.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
116.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
133.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
149.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
166.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
183.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
199.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
216.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
233.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
249.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
266.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
283.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
299.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
316.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
332.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
350.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
366.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
383.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
400.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
416.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
433.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
451.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
468.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
483.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
499.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
