Recording date:	2018/06/22
Recording time:	16:26:52
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	974.8460	570.6290	0	968.5592	591.8387	0	971.7026	581.2338	
16.6	964.9737	583.1591	0	963.3536	580.2978	0	964.1636	581.7284	
33.2	963.4854	571.2377	0	968.9660	591.0117	0	966.2257	581.1247	
50.0	973.5578	576.5515	0	985.6771	575.9403	0	979.6175	576.2459	
66.6	974.8791	584.2206	0	973.6585	586.8800	0	974.2688	585.5503	
83.2	979.4135	575.8808	0	967.4601	586.2370	0	973.4368	581.0589	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	970.0519	597.2029	0	963.5322	612.1766	0	966.7921	604.6898	
16.6	982.7531	606.6180	0	952.6005	598.6098	0	967.6768	602.6139	
33.4	976.3668	601.8777	0	966.7849	604.7852	0	971.5759	603.3314	
50.0	972.5428	586.5513	0	960.5569	587.3433	0	966.5499	586.9473	
66.6	979.8670	603.6628	0	963.6081	590.0607	0	971.7376	596.8617	
83.2	967.3567	591.3975	0	967.6800	587.8753	0	967.5184	589.6364	
100.0	971.8783	600.5050	0	961.8606	599.3719	0	966.8694	599.9384	
116.6	974.0693	606.0123	0	967.6181	600.0997	0	970.8437	603.0560	
133.2	962.5123	605.3966	0	966.6212	592.5304	0	964.5667	598.9635	
149.9	970.0184	587.7657	0	958.5528	591.0427	0	964.2856	589.4042	
166.6	957.9355	592.2736	0	952.4876	600.3609	0	955.2115	596.3172	
183.2	964.9261	607.6655	0	972.1438	614.7393	0	968.5349	611.2024	
199.8	970.8717	597.6610	0	977.3953	600.8278	0	974.1335	599.2444	
216.5	963.4999	597.6038	0	960.5134	605.5387	0	962.0067	601.5713	
233.2	970.7268	603.3695	0	961.6144	599.0562	0	966.1706	601.2129	
249.8	965.1102	598.7212	0	953.1579	604.4006	0	959.1341	601.5609	
266.5	966.3220	596.1021	0	966.2531	606.1192	0	966.2876	601.1107	
283.1	968.4045	600.7073	0	974.1541	610.3319	0	971.2793	605.5196	
299.8	969.2304	586.8152	0	966.7880	594.5973	0	968.0092	590.7063	
316.5	965.3917	597.0397	0	962.1141	594.7930	0	963.7529	595.9164	
333.1	965.1844	586.7449	0	963.2964	586.0597	0	964.2404	586.4023	
349.7	960.9402	605.9434	0	957.4542	603.8018	0	959.1972	604.8726	
366.5	965.3394	577.6695	0	961.5288	601.7895	0	963.4341	589.7295	
383.1	968.9972	573.1691	0	967.9099	600.9834	0	968.4536	587.0762	
399.7	971.5396	593.4610	0	954.8945	606.5144	0	963.2170	599.9877	
416.3	970.8497	590.3078	0	956.9377	605.3998	0	963.8937	597.8538	
433.1	967.9027	595.1335	0	966.0084	594.4814	0	966.9555	594.8074	
449.7	967.8552	609.6673	0	963.4514	589.6367	0	965.6533	599.6520	
466.3	957.7793	598.2665	0	956.8832	601.8103	0	957.3312	600.0384	
482.9	980.6881	597.7327	0	958.2011	603.6681	0	969.4446	600.7004	
499.7	976.4529	606.4436	0	964.7643	599.8049	0	970.6086	603.1242	
516.3	968.9607	594.4615	0	954.8737	609.2370	0	961.9172	601.8492	
532.9	960.5159	609.0576	0	954.2309	611.0107	0	957.3734	610.0342	
549.6	964.3397	610.3761	0	962.1755	603.6513	0	963.2576	607.0137	
566.3	961.2388	599.9604	0	961.9901	610.2227	0	961.6145	605.0915	
582.9	956.9681	608.1456	0	959.5498	607.6178	0	958.2589	607.8817	
599.5	962.0535	606.3945	0	968.2833	606.0765	0	965.1684	606.2355	
616.2	972.5884	620.9445	0	952.8488	603.1918	0	962.7186	612.0682	
632.9	973.1309	611.3428	0	956.5609	606.8811	0	964.8459	609.1119	
649.5	970.3189	606.0465	0	974.8337	610.9071	0	972.5763	608.4768	
666.2	985.4573	611.4398	0	951.9444	607.8065	0	968.7009	609.6232	
682.8	963.0861	608.6717	0	954.7062	607.3665	0	958.8962	608.0191	
699.5	964.4335	610.1525	0	956.9292	620.2286	0	960.6813	615.1905	
716.2	963.0793	598.9339	0	958.1607	616.9254	0	960.6200	607.9297	
732.8	967.3963	596.5970	0	959.5833	615.2927	0	963.4898	605.9449	
749.4	968.5118	597.0003	0	956.0942	600.7179	0	962.3030	598.8591	
766.1	985.5332	604.3886	0	959.2999	603.6379	0	972.4165	604.0132	
782.8	977.7247	611.4095	0	960.5368	604.7551	0	969.1307	608.0823	
799.4	976.6863	607.8775	0	964.2293	609.5651	0	970.4578	608.7213	
816.0	980.8120	610.1858	0	952.7992	607.9291	0	966.8056	609.0575	
832.8	974.5865	609.5409	0	957.6608	616.2650	0	966.1237	612.9029	
849.4	960.4930	605.4532	0	958.1075	603.3129	0	959.3003	604.3830	
866.0	972.6519	612.7488	0	961.9211	612.9070	0	967.2865	612.8279	
882.6	961.9832	601.6703	0	964.9605	614.4730	0	963.4719	608.0717	
899.4	971.6638	610.7011	0	953.1596	600.2330	0	962.4117	605.4671	
916.0	961.1099	603.9410	0	952.9958	608.9868	0	957.0529	606.4639	
932.6	965.8985	605.4688	0	948.4073	610.9359	0	957.1529	608.2023	
949.2	974.0804	612.2965	0	955.1501	602.0129	0	964.6152	607.1547	
966.0	973.2766	614.4750	0	961.0486	610.1846	0	967.1626	612.3298	
982.6	974.3234	603.2477	0	954.1623	615.2646	0	964.2428	609.2562	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	977.5206	585.1663	0	961.9630	573.1109	0	969.7418	579.1386	
16.6	981.3435	586.3732	0	971.3636	572.5483	0	976.3535	579.4608	
33.3	978.9780	584.4007	0	975.1138	587.1355	0	977.0459	585.7681	
49.9	977.4288	585.8501	0	973.5018	588.6184	0	975.4653	587.2343	
66.6	981.5318	586.4001	0	960.9510	589.4357	0	971.2414	587.9179	
83.3	990.5104	598.6728	0	960.6744	589.3625	0	975.5924	594.0177	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	994.2151	601.3640	0	972.1549	610.4324	0	983.1850	605.8982	
16.6	987.5064	596.3112	0	977.6313	605.4271	0	982.5688	600.8691	
33.2	978.3450	594.8045	0	971.3692	608.8549	0	974.8571	601.8297	
50.0	978.5977	605.9032	0	958.7575	599.3892	0	968.6776	602.6462	
66.6	969.2604	591.5067	0	974.0759	606.1546	0	971.6682	598.8307	
83.2	990.0463	612.9649	0	968.8933	606.4978	0	979.4698	609.7313	
99.9	995.9351	601.8644	0	969.1495	597.5584	0	982.5423	599.7114	
116.6	984.4432	605.4554	0	968.8438	619.2017	0	976.6435	612.3286	
133.2	985.3360	602.8620	0	977.3868	600.5987	0	981.3614	601.7303	
149.9	975.3487	613.1707	0	970.2398	597.7818	0	972.7943	605.4762	
166.5	975.6309	598.6734	0	965.4603	596.8114	0	970.5456	597.7424	
183.2	984.3663	612.2996	0	971.7370	601.6946	0	978.0517	606.9971	
199.9	981.7931	603.0861	0	974.3302	600.3017	0	978.0617	601.6939	
216.5	977.2086	603.4462	0	974.7795	596.8379	0	975.9941	600.1420	
233.1	987.7429	608.3858	0	965.2728	606.0931	0	976.5079	607.2395	
249.8	978.1358	602.2564	0	967.5934	596.1369	0	972.8646	599.1967	
266.5	979.3743	610.8035	0	966.2560	604.1918	0	972.8151	607.4976	
283.1	986.3369	601.1835	0	967.4651	608.2713	0	976.9010	604.7274	
299.7	983.8690	604.9786	0	980.3098	609.9566	0	982.0894	607.4676	
316.5	988.8152	607.6959	0	980.1002	606.7804	0	984.4577	607.2382	
333.1	983.7543	613.3673	0	969.0482	609.5035	0	976.4012	611.4354	
349.7	980.3574	605.1224	0	967.1313	609.5331	0	973.7443	607.3278	
366.3	977.9144	595.5231	0	972.1536	608.2111	0	975.0340	601.8671	
383.1	967.6830	597.4251	0	970.1552	605.8995	0	968.9191	601.6623	
399.7	978.3695	598.5311	0	964.0005	600.2311	0	971.1850	599.3811	
416.3	981.4953	603.5539	0	971.0972	607.0663	0	976.2963	605.3101	
432.9	972.1031	608.4650	0	966.3927	606.0058	0	969.2479	607.2354	
449.7	971.7193	605.7568	0	971.2447	613.5271	0	971.4820	609.6420	
466.3	977.7554	607.6116	0	968.5031	599.2897	0	973.1292	603.4507	
482.9	976.9509	604.9203	0	979.9986	604.7604	0	978.4747	604.8403	
499.6	984.3106	608.6439	0	962.9974	610.8526	0	973.6540	609.7483	
516.3	979.7005	603.3859	0	963.6169	606.4371	0	971.6587	604.9115	
532.9	986.1460	601.1454	0	960.4341	610.8092	0	973.2900	605.9773	
