Recording date:	2018/06/14
Recording time:	17:51:26
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	-1.0000	-1.0000	4	971.6478	637.3548	0	0.5061	0.5311	
16.6	979.6324	644.2317	0	960.7976	637.6929	0	970.2150	640.9623	
33.2	978.2456	656.3916	0	956.9077	644.4900	0	967.5767	650.4408	
50.0	978.2308	649.6245	0	963.9314	642.1948	0	971.0811	645.9096	
66.6	980.9579	652.0594	0	962.8520	631.4575	0	971.9049	641.7585	
83.2	976.7926	649.6374	0	967.7946	633.7925	0	972.2936	641.7150	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	976.5183	651.5926	0	976.9212	640.0673	0	976.7197	645.8299	
16.7	972.0810	647.0675	0	971.1614	634.7020	0	971.6212	640.8848	
33.4	976.0636	634.2924	0	975.9644	640.3262	0	976.0140	637.3093	
50.0	972.0367	631.0358	0	974.7620	627.0336	0	973.3993	629.0347	
66.6	976.4339	642.9836	0	969.8913	634.2884	0	973.1626	638.6360	
83.4	950.2685	630.8092	0	968.1840	632.7211	0	959.2262	631.7652	
100.0	955.3861	637.5263	0	966.8752	631.1552	0	961.1307	634.3407	
116.6	950.6683	630.6979	0	970.1145	629.7942	0	960.3914	630.2460	
133.2	953.6650	639.8153	0	968.7297	636.4834	0	961.1974	638.1494	
150.0	965.8430	645.3661	0	964.7816	629.8288	0	965.3123	637.5974	
166.6	957.9662	631.7986	0	967.4670	631.4359	0	962.7166	631.6173	
183.2	959.1562	635.2390	0	964.3606	633.5308	0	961.7584	634.3849	
199.8	958.6821	638.5658	0	968.2059	642.7388	0	963.4440	640.6523	
216.6	957.9695	641.8092	0	962.4448	633.0770	0	960.2072	637.4431	
233.2	958.9440	634.7977	0	966.5207	648.0236	0	962.7324	641.4107	
249.8	954.1686	645.3809	0	963.7599	641.7714	0	958.9642	643.5761	
266.4	953.6764	632.2653	0	967.5203	632.2249	0	960.5984	632.2451	
283.2	940.7437	649.1452	0	972.5934	625.9034	0	956.6685	637.5243	
299.8	949.0004	634.2351	0	980.4371	629.9446	0	964.7187	632.0898	
316.4	940.8317	633.8106	0	965.4216	636.4090	0	953.1267	635.1098	
333.1	949.1193	641.5871	0	962.3863	632.8204	0	955.7528	637.2038	
349.8	953.4404	643.1737	0	961.1627	634.2890	0	957.3015	638.7313	
366.4	953.7094	641.5074	0	965.5405	637.3657	0	959.6250	639.4366	
383.0	956.5871	633.4571	0	969.1466	637.3482	0	962.8668	635.4026	
399.7	943.8834	630.3859	0	970.5899	642.5682	0	957.2366	636.4770	
416.4	941.3143	630.2570	0	958.4950	645.4856	0	949.9046	637.8713	
433.0	935.4033	624.2274	0	967.8476	636.6595	0	951.6254	630.4434	
449.7	945.3255	630.8827	0	973.4861	636.7767	0	959.4058	633.8297	
466.3	945.6663	630.4057	0	971.3861	636.3084	0	958.5262	633.3571	
483.0	946.2387	635.1684	0	967.9339	629.1548	0	957.0863	632.1616	
499.6	951.5841	640.8904	0	967.9498	618.4615	0	959.7669	629.6760	
516.3	950.8077	638.6025	0	964.3070	625.6266	0	957.5574	632.1146	
532.9	955.6370	648.5543	0	965.9072	627.7745	0	960.7721	638.1644	
549.6	955.4492	636.6328	0	964.7242	620.6797	0	960.0867	628.6562	
566.3	952.1927	633.9335	0	961.4287	636.1860	0	956.8107	635.0597	
582.9	960.7122	630.7825	0	965.8466	638.9418	0	963.2794	634.8621	
599.5	955.2383	643.1105	0	963.9676	638.4081	0	959.6030	640.7593	
616.2	948.4930	638.2928	0	961.1817	628.5837	0	954.8374	633.4383	
632.9	955.6074	637.8638	0	958.5077	633.3510	0	957.0575	635.6074	
649.5	951.1071	626.6618	0	964.3841	623.5118	0	957.7456	625.0868	
666.1	955.8536	633.1128	0	960.9608	634.5278	0	958.4072	633.8203	
