Recording date:	2018/04/12
Recording time:	14:52:57
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	971.6108	613.9740	0	967.6149	596.5437	0	969.6128	605.2589	
16.6	964.9926	607.8514	0	946.2559	595.5666	0	955.6243	601.7090	
33.2	970.1641	639.1163	0	954.7960	601.5046	0	962.4801	620.3104	
49.9	966.0382	622.8884	0	952.4055	611.5723	0	959.2218	617.2304	
66.6	953.5552	623.2218	0	948.8448	586.5109	0	951.2000	604.8663	
83.2	959.3073	627.6303	0	954.0853	608.5481	0	956.6963	618.0892	
99.9	966.4585	617.2513	0	949.1364	599.0300	0	957.7974	608.1407	
116.5	961.5855	611.2698	0	938.8977	600.2148	0	950.2416	605.7423	
133.2	968.9613	627.1605	0	960.5147	601.5579	0	964.7380	614.3592	
149.8	948.1836	619.1269	0	964.5870	605.0255	0	956.3853	612.0762	
166.5	954.6965	637.0661	0	950.4706	600.2261	0	952.5836	618.6461	
183.1	952.7631	618.3354	0	953.1376	601.1547	0	952.9503	609.7450	
199.8	951.1897	604.8209	0	957.8928	604.9664	0	954.5412	604.8936	
216.5	951.0131	631.8576	0	952.0754	606.5505	0	951.5443	619.2041	
233.1	951.5051	625.2524	0	955.3740	598.0452	0	953.4395	611.6488	
249.7	965.5096	614.6721	0	951.5660	605.4341	0	958.5378	610.0531	
266.4	956.4187	614.3049	0	948.8913	604.5550	0	952.6550	609.4300	
283.1	964.3276	633.8592	0	950.8225	603.8362	0	957.5750	618.8477	
299.7	955.8491	619.2810	0	958.7957	612.8841	0	957.3224	616.0825	
316.3	1008.2269	600.3059	0	958.9475	597.8960	0	983.5872	599.1009	
333.1	995.1964	595.1930	0	995.6708	585.9851	0	995.4336	590.5891	
349.7	1000.4827	578.9423	0	1004.8044	579.6248	0	1002.6436	579.2835	
366.3	1003.7316	580.5969	0	1001.4918	578.0647	0	1002.6117	579.3308	
382.9	1000.0672	577.4037	0	998.0698	582.7801	0	999.0685	580.0919	
399.7	994.6729	609.1286	0	998.9448	587.5110	0	996.8089	598.3198	
416.3	995.0194	599.6067	0	997.9692	579.8046	0	996.4943	589.7056	
432.9	1001.7251	594.8519	0	1002.1838	581.7703	0	1001.9544	588.3111	
449.5	991.1027	581.8626	0	999.8872	571.8462	0	995.4950	576.8544	
466.3	996.5324	578.5105	0	997.1895	572.9485	0	996.8609	575.7295	
482.9	1003.0870	590.2637	0	991.8486	587.9422	0	997.4678	589.1029	
499.5	1013.1334	577.7731	0	1004.9397	562.0822	0	1009.0366	569.9277	
516.1	998.1769	573.0454	0	1005.9473	567.3354	0	1002.0621	570.1904	
532.9	1018.5189	587.2182	0	1012.1610	571.6449	0	1015.3399	579.4315	
549.5	1012.9525	603.7299	0	1003.6361	572.3328	0	1008.2943	588.0314	
566.1	1012.6141	567.0801	0	999.7302	555.5702	0	1006.1721	561.3252	
582.8	1027.7243	588.3145	0	1004.3992	572.4227	0	1016.0617	580.3686	
599.5	1022.7191	573.4380	0	1000.5117	574.3713	0	1011.6154	573.9047	
616.1	1008.7003	598.9305	0	1005.0861	558.2458	0	1006.8932	578.5881	
632.7	1007.3805	601.4012	0	1014.5380	559.6874	0	1010.9592	580.5443	
649.4	1017.0895	575.3853	0	1003.8364	571.0795	0	1010.4629	573.2324	
666.1	1017.4217	583.7104	0	1009.2188	567.4933	0	1013.3202	575.6019	
682.7	1011.9669	588.3652	0	998.2722	576.4245	0	1005.1196	582.3949	
699.4	1006.6252	574.7355	0	994.6434	570.6562	0	1000.6343	572.6958	
716.0	1016.5179	590.6393	0	1005.7715	565.1227	0	1011.1447	577.8810	
732.7	1005.7508	582.5851	0	1013.6203	571.9234	0	1009.6856	577.2542	
