Recording date:	2018/07/10
Recording time:	17:21:11
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	975.0944	622.2882	0	976.8504	623.0537	0	975.9724	622.6710	
16.6	974.2240	607.0829	0	981.2746	623.1498	0	977.7493	615.1164	
33.3	982.0528	606.4894	0	987.1253	608.4355	0	984.5890	607.4624	
49.9	971.6000	617.1742	0	979.5446	611.4280	0	975.5723	614.3011	
66.6	970.5112	619.0478	0	987.9173	612.7351	0	979.2142	615.8915	
83.2	964.7644	646.1023	0	977.1316	616.9408	0	970.9480	631.5215	
99.9	958.7791	647.9114	0	982.0758	608.3396	0	970.4275	628.1255	
116.5	959.5906	639.7325	0	979.5340	612.5429	0	969.5623	626.1377	
133.2	960.7151	629.8556	0	978.8413	622.9724	0	969.7782	626.4140	
149.8	964.3027	638.4803	0	971.0692	626.0924	0	967.6860	632.2864	
166.5	968.4929	624.2432	0	981.2819	619.4796	0	974.8874	621.8614	
183.1	975.5613	633.8256	0	976.3597	616.0517	0	975.9605	624.9386	
199.8	966.3907	627.8246	0	970.0013	612.1816	0	968.1960	620.0031	
216.5	974.0359	616.9604	0	981.8098	619.2633	0	977.9229	618.1119	
233.1	971.7338	619.0692	0	974.1178	619.1341	0	972.9258	619.1017	
249.7	982.6291	609.9472	0	977.7925	617.0717	0	980.2108	613.5095	
266.5	984.9123	605.5126	0	978.0126	615.8221	0	981.4625	610.6674	
283.1	977.7197	609.3404	0	973.4341	621.6484	0	975.5769	615.4944	
299.7	967.0938	622.4556	0	976.8922	622.4530	0	971.9930	622.4543	
316.3	980.9341	624.5453	0	977.0331	614.6807	0	978.9836	619.6130	
333.1	984.3840	604.2294	0	971.1602	617.6347	0	977.7721	610.9321	
349.7	978.0400	623.0069	0	973.2945	614.3620	0	975.6673	618.6844	
366.3	968.6737	625.3158	0	967.3696	620.3582	0	968.0217	622.8370	
382.9	971.6697	632.3846	0	974.4749	606.5245	0	973.0723	619.4545	
399.7	977.2713	634.9123	0	977.3845	601.7234	0	977.3279	618.3179	
416.3	972.5434	627.6066	0	974.1862	615.8655	0	973.3648	621.7360	
432.9	985.0770	618.5282	0	978.7538	617.4980	0	981.9154	618.0131	
449.5	984.2170	623.6829	0	976.2099	619.3627	0	980.2134	621.5228	
466.3	974.1411	622.5342	0	966.9978	608.0728	0	970.5695	615.3035	
482.9	972.7757	625.7946	0	973.4906	606.9932	0	973.1331	616.3939	
499.5	917.1724	542.4008	0	928.4302	555.5741	0	922.8013	548.9874	
516.2	898.5732	441.4974	0	907.2804	462.6209	0	902.9268	452.0592	
532.9	906.3285	406.8590	0	911.7807	424.0571	0	909.0546	415.4580	
549.5	894.6493	431.8307	0	901.1915	436.0826	0	897.9204	433.9567	
566.1	892.6633	432.9694	0	896.8715	431.1718	0	894.7674	432.0706	
582.8	900.2674	440.6580	0	904.7413	431.9884	0	902.5043	436.3232	
599.5	897.2729	422.0767	0	909.5537	428.7429	0	903.4133	425.4098	
616.1	903.5001	418.9649	0	906.3193	426.7927	0	904.9097	422.8788	
632.8	901.9374	417.9590	0	903.2377	417.8507	0	902.5876	417.9049	
649.4	915.5504	422.7975	0	900.3542	428.4984	0	907.9523	425.6480	
666.1	909.7719	419.6801	0	901.1180	431.8121	0	905.4449	425.7461	
682.8	904.7785	418.4327	0	903.4564	427.1047	0	904.1175	422.7687	
699.4	908.3657	431.5584	0	891.9189	429.2182	0	900.1423	430.3883	
716.0	897.0491	419.8873	0	892.2242	424.6018	0	894.6366	422.2446	
732.7	903.2814	419.8865	0	901.3073	440.0654	0	902.2944	429.9759	
749.4	907.9534	423.1177	0	896.7816	422.3513	0	902.3675	422.7345	
766.0	903.2063	422.1281	0	899.1016	430.4355	0	901.1539	426.2818	
782.6	918.0197	417.6526	0	901.5272	424.5913	0	909.7735	421.1219	
799.4	920.8435	427.1648	0	904.8192	429.0806	0	912.8314	428.1227	
816.0	898.7732	421.4318	0	902.4347	436.9208	0	900.6039	429.1763	
832.6	907.3732	422.2451	0	901.8236	424.3750	0	904.5984	423.3100	
849.2	904.5952	419.4420	0	898.4039	423.4715	0	901.4995	421.4568	
866.0	896.9487	418.5392	0	897.5148	420.0288	0	897.2318	419.2840	
882.6	898.2990	423.5376	0	891.3919	415.8766	0	894.8454	419.7071	
899.2	906.0146	417.5625	0	890.9775	426.6538	0	898.4961	422.1082	
915.8	906.1144	414.1360	0	895.3441	420.2452	0	900.7293	417.1906	
932.6	915.3627	419.5545	0	895.1602	423.2521	0	905.2615	421.4033	
949.2	909.1489	423.3689	0	901.6136	424.7662	0	905.3812	424.0676	
965.8	905.5854	426.6010	0	901.6408	413.7508	0	903.6131	420.1759	
982.4	904.5923	431.9556	0	896.7630	424.6873	0	900.6777	428.3215	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	972.3814	601.6078	0	993.6583	624.2761	0	983.0199	612.9419	
16.6	967.4823	597.7859	0	985.5688	620.6937	0	976.5255	609.2398	
33.2	966.1703	597.4587	0	979.1534	620.7305	0	972.6619	609.0946	
50.0	973.6968	602.8417	0	976.9127	619.1532	0	975.3047	610.9974	
66.6	982.8453	604.4876	0	978.5567	617.8356	0	980.7010	611.1616	
83.2	983.7371	603.9182	0	987.1203	620.6476	0	985.4287	612.2829	
99.9	983.0757	598.0232	0	986.4950	622.4908	0	984.7853	610.2570	
116.6	979.8499	600.1016	0	984.8366	625.5857	0	982.3432	612.8436	
133.2	981.7514	598.3579	0	993.3420	618.7302	0	987.5467	608.5440	
149.8	977.3810	595.0947	0	983.5835	616.0290	0	980.4822	605.5619	
166.5	972.3693	600.0711	0	981.5798	620.7191	0	976.9745	610.3951	
183.2	974.6279	604.6023	0	985.2030	620.0300	0	979.9155	612.3161	
199.8	972.1137	606.7501	0	975.0050	619.3634	0	973.5594	613.0568	
216.5	976.0306	604.9071	0	986.8558	625.1113	0	981.4432	615.0092	
233.1	970.8825	600.2580	0	986.4847	625.8133	0	978.6836	613.0356	
249.8	986.9673	604.3250	0	976.2155	624.3178	0	981.5914	614.3214	
266.4	986.0552	612.2450	0	976.1502	616.7495	0	981.1027	614.4973	
283.1	973.4799	608.9351	0	982.5366	627.5995	0	978.0083	618.2673	
299.7	971.5201	605.8865	0	985.7632	620.8839	0	978.6416	613.3852	
316.4	976.7506	614.6856	0	981.2900	624.0476	0	979.0203	619.3666	
333.1	978.0919	612.5788	0	971.2556	622.7778	0	974.6738	617.6783	
349.7	966.7587	606.5835	0	980.6835	616.7675	0	973.7211	611.6755	
366.3	962.6622	613.4489	0	981.6225	620.5442	0	972.1424	616.9966	
383.1	976.4337	608.7127	0	988.3688	621.4861	0	982.4012	615.0994	
399.7	971.1587	606.3474	0	985.3488	619.6861	0	978.2538	613.0168	
416.3	973.8981	609.9913	0	977.5951	619.5022	0	975.7466	614.7468	
432.9	970.4395	609.2299	0	974.0153	611.9400	0	972.2274	610.5850	
449.7	970.1671	613.1261	0	968.6093	613.9400	0	969.3882	613.5331	
466.3	972.8317	604.6834	0	972.6599	617.9177	0	972.7458	611.3005	
482.9	975.3331	614.5022	0	979.3349	622.5160	0	977.3340	618.5091	
499.5	978.1094	618.8397	0	978.7969	618.2977	0	978.4531	618.5687	
516.3	967.9572	612.6168	0	981.7124	617.6321	0	974.8348	615.1244	
532.9	973.0410	610.1391	0	978.2107	616.2135	0	975.6258	613.1763	
549.5	978.4207	605.5861	0	978.6682	612.5861	0	978.5445	609.0861	
566.1	978.6342	614.1337	0	980.2264	615.5258	0	979.4303	614.8297	
582.9	-1.0000	-1.0000	4	979.6104	617.2206	0	0.5102	0.5144	
599.5	984.4740	611.2692	0	978.6234	617.7333	0	981.5487	614.5013	
616.1	972.1276	615.3351	0	970.3436	615.0568	0	971.2356	615.1959	
632.8	972.9259	619.7163	0	961.3338	623.0750	0	967.1298	621.3956	
649.5	974.3462	614.7379	0	978.5072	611.2395	0	976.4267	612.9887	
666.1	983.1685	614.6595	0	972.8314	610.5490	0	977.9999	612.6043	
682.7	975.3100	606.1360	0	975.8757	609.3783	0	975.5929	607.7571	
699.4	973.8752	605.4612	0	978.4133	608.3256	0	976.1442	606.8934	
716.1	978.3993	610.8997	0	976.7857	609.7918	0	977.5925	610.3457	
732.7	972.1058	610.3745	0	981.4148	609.7274	0	976.7603	610.0510	
