Recording date:	2018/07/12
Recording time:	15:08:15
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	960.8935	616.1366	0	972.3318	608.9573	0	966.6126	612.5470	
16.6	971.3317	611.3447	0	966.2336	600.0396	0	968.7826	605.6921	
33.2	975.0411	618.0875	0	961.1539	606.0087	0	968.0975	612.0481	
49.9	968.5260	607.3685	0	966.7411	619.1558	0	967.6335	613.2621	
66.6	963.5488	606.2275	0	960.1528	611.9674	0	961.8508	609.0974	
83.2	983.6195	615.1470	0	965.6943	606.4165	0	974.6569	610.7818	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	999.3207	631.0567	0	977.9773	616.5496	0	988.6490	623.8032	
16.6	985.9517	614.4508	0	984.5509	624.4257	0	985.2513	619.4383	
33.4	996.3292	623.9973	0	988.5566	629.0193	0	992.4429	626.5083	
50.0	992.3729	616.3439	0	995.1170	620.1196	0	993.7450	618.2318	
66.6	994.3061	614.9677	0	981.4333	623.6289	0	987.8697	619.2983	
83.2	987.6525	621.7801	0	983.6184	629.7485	0	985.6355	625.7643	
100.0	988.8629	616.9980	0	984.0207	625.3272	0	986.4418	621.1626	
116.6	992.5478	624.1122	0	985.4030	621.8929	0	988.9754	623.0025	
133.2	981.2735	610.8795	0	987.9847	615.6931	0	984.6291	613.2863	
149.9	989.3061	618.7605	0	992.4204	613.6402	0	990.8632	616.2003	
166.6	983.0573	619.6107	0	985.7319	621.7853	0	984.3946	620.6980	
183.2	993.2660	627.6486	0	994.0473	620.2032	0	993.6566	623.9259	
199.8	995.1449	614.0382	0	983.6563	619.5602	0	989.4006	616.7992	
216.5	993.0588	613.6463	0	983.1146	615.1569	0	988.0867	614.4016	
233.2	985.3432	619.2714	0	980.7160	622.0626	0	983.0296	620.6670	
249.8	990.9615	605.1769	0	983.0294	611.7108	0	986.9955	608.4439	
266.5	980.4894	618.2467	0	990.4833	624.1839	0	985.4863	621.2153	
283.1	990.0534	616.5402	0	985.5269	620.2650	0	987.7901	618.4026	
299.8	950.6701	622.9576	0	957.9337	620.2357	0	954.3019	621.5967	
316.4	958.0996	618.7694	0	960.1280	632.6922	0	959.1138	625.7308	
333.1	945.8954	628.5829	0	964.3137	628.8344	0	955.1046	628.7086	
349.7	957.2532	624.0252	0	958.7196	628.6776	0	957.9864	626.3514	
366.4	953.2851	617.0957	0	953.8867	624.2264	0	953.5859	620.6611	
383.1	948.2603	617.2546	0	960.3490	621.2101	0	954.3047	619.2323	
399.7	941.9955	626.8336	0	959.5609	615.4862	0	950.7782	621.1599	
416.3	958.0731	627.5723	0	954.5396	629.0886	0	956.3064	628.3305	
433.1	942.7336	623.9380	0	960.7338	624.0121	0	951.7337	623.9750	
449.7	957.0333	636.3496	0	962.2870	626.8698	0	959.6601	631.6097	
466.3	946.2527	638.1468	0	950.6368	622.5167	0	948.4448	630.3318	
482.9	946.3454	615.3947	0	967.2634	619.2948	0	956.8044	617.3447	
499.7	960.7173	624.5564	0	963.9011	627.4051	0	962.3092	625.9807	
516.3	950.9029	621.7244	0	967.1909	618.5716	0	959.0469	620.1480	
532.9	952.8297	619.2985	0	962.2838	625.4473	0	957.5567	622.3729	
