Recording date:	2018/07/18
Recording time:	16:42:08
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	961.3187	614.1080	0	967.3665	605.6137	0	964.3426	609.8609	
16.6	953.3880	603.4509	0	966.6282	608.0147	0	960.0081	605.7328	
33.4	952.3352	613.3558	0	958.2511	610.6772	0	955.2932	612.0165	
50.0	961.6116	613.1431	0	958.2176	610.6323	0	959.9146	611.8877	
66.6	957.7276	606.0170	0	958.3739	605.5191	0	958.0508	605.7680	
83.2	963.0843	614.2027	0	963.2545	605.6788	0	963.1694	609.9408	
100.0	967.8478	598.9483	0	969.3290	608.0865	0	968.5884	603.5174	
116.6	964.7460	612.6887	0	968.7767	599.2238	0	966.7614	605.9563	
133.2	964.2871	613.5606	0	975.3681	598.7736	0	969.8276	606.1671	
149.9	965.6520	602.5095	0	962.7673	606.4552	0	964.2096	604.4823	
166.6	966.8429	608.3413	0	962.0933	602.5044	0	964.4681	605.4228	
183.2	969.3797	599.6618	0	970.3952	584.0894	0	969.8874	591.8756	
199.8	960.8080	603.2956	0	969.3583	598.4683	0	965.0831	600.8819	
216.5	967.2648	606.7642	0	976.3243	602.6848	0	971.7945	604.7245	
233.2	968.1973	608.9414	0	970.9528	603.1680	0	969.5751	606.0547	
249.8	960.8255	603.7210	0	972.2791	615.2097	0	966.5523	609.4653	
266.5	955.5697	623.6954	0	963.4043	617.4682	0	959.4870	620.5818	
283.1	965.6451	621.0709	0	969.4379	607.9777	0	967.5415	614.5243	
299.8	959.5566	614.9960	0	969.9542	609.3236	0	964.7554	612.1598	
316.4	972.4162	615.8017	0	971.4403	610.6319	0	971.9282	613.2168	
333.1	970.2987	613.9432	0	967.1419	605.9236	0	968.7203	609.9334	
349.7	968.3596	614.2017	0	970.7065	602.7866	0	969.5331	608.4941	
366.4	964.9729	605.7044	0	970.8899	603.0438	0	967.9314	604.3741	
383.1	958.0358	597.4628	0	966.1400	596.1693	0	962.0879	596.8160	
399.7	970.2557	603.5091	0	964.1862	604.3947	0	967.2210	603.9519	
