Recording date:	2018/08/03
Recording time:	14:47:15
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	947.8628	571.4723	0	987.6339	573.4598	0	967.7484	572.4661	
16.6	958.7580	568.3294	0	983.2838	582.3652	0	971.0209	575.3473	
33.2	955.6879	562.2083	0	986.0276	575.0445	0	970.8577	568.6264	
49.9	963.4215	561.1810	0	976.7497	587.6462	0	970.0856	574.4136	
66.6	958.5839	569.6707	0	983.4971	574.0527	0	971.0405	571.8617	
83.2	960.8473	562.4633	0	991.2118	569.8947	0	976.0296	566.1790	
99.9	954.5428	568.9488	0	982.8734	570.5207	0	968.7081	569.7348	
116.5	957.4847	565.6791	0	980.6453	576.2301	0	969.0650	570.9546	
133.2	962.1374	570.3579	0	988.1516	576.7911	0	975.1445	573.5745	
149.9	954.0474	567.3472	0	989.0554	576.7293	0	971.5514	572.0383	
166.5	966.2616	567.7928	0	984.9047	573.6220	0	975.5832	570.7074	
183.1	961.8594	559.1782	0	986.4165	579.6788	0	974.1379	569.4285	
199.9	966.4088	569.0113	0	978.4815	577.9917	0	972.4451	573.5015	
216.5	961.7105	571.3784	0	988.2168	572.6540	0	974.9637	572.0162	
233.1	962.0512	559.3496	0	983.3386	578.5504	0	972.6949	568.9500	
249.7	966.3482	563.8527	0	993.5602	572.3801	0	979.9542	568.1164	
266.5	976.6583	569.7484	0	985.4281	565.4034	0	981.0432	567.5759	
283.1	974.2698	560.6866	0	999.4260	568.3218	0	986.8479	564.5042	
299.7	975.9224	568.5147	0	990.3789	566.9647	0	983.1507	567.7397	
316.3	970.2852	566.9571	0	987.5171	567.5758	0	978.9011	567.2664	
333.1	1017.1663	483.6567	0	1040.2888	470.9813	0	1028.7275	477.3190	
349.7	1046.6779	459.6251	0	1088.7182	479.5208	0	1067.6981	469.5730	
366.3	1058.3994	462.9843	0	1089.7176	474.6827	0	1074.0585	468.8335	
382.9	1050.6911	459.6061	0	1077.8230	474.9011	0	1064.2570	467.2536	
399.7	1049.7643	463.1026	0	1090.3047	464.5163	0	1070.0345	463.8094	
416.3	1041.2738	454.8879	0	1077.4646	471.1837	0	1059.3692	463.0358	
432.9	1060.8023	457.9872	0	1093.3641	453.5903	0	1077.0832	455.7888	
449.6	1057.9700	459.5516	0	1075.9231	468.6616	0	1066.9465	464.1066	
466.3	1050.5592	448.4243	0	1078.7249	462.7113	0	1064.6421	455.5678	
482.9	1052.6806	458.6815	0	1071.8807	468.8543	0	1062.2806	463.7679	
499.5	1052.8926	461.6060	0	1072.8381	456.7929	0	1062.8653	459.1994	
516.2	1050.8406	458.3249	0	1085.9652	458.6647	0	1068.4029	458.4948	
532.9	1054.5931	449.4684	0	1084.0314	462.4208	0	1069.3123	455.9446	
549.5	1054.0343	451.4203	0	1080.4764	463.4816	0	1067.2553	457.4510	
566.2	1051.7481	459.8019	0	1073.2234	469.3841	0	1062.4857	464.5930	
582.8	1057.6233	460.1612	0	1077.7008	470.2698	0	1067.6620	465.2155	
599.5	1052.5321	454.2347	0	1076.8237	455.9501	0	1064.6779	455.0924	
616.2	1048.0085	456.2342	0	1083.9444	463.8619	0	1065.9764	460.0481	
632.8	1057.1821	458.7694	0	1077.8437	463.3759	0	1067.5129	461.0727	
649.4	1053.3217	462.4522	0	1080.5502	464.2329	0	1066.9359	463.3426	
666.1	1051.6981	454.6763	0	1080.9985	463.5619	0	1066.3483	459.1191	
682.8	1056.8615	462.3705	0	1083.5072	454.1224	0	1070.1844	458.2465	
699.4	999.1593	349.1551	0	1032.1008	347.3389	0	1015.6300	348.2470	
716.0	937.2986	168.5139	0	988.4111	125.4201	0	962.8549	146.9670	
732.8	921.2435	190.7103	0	908.8161	84.2182	0	915.0298	137.4642	
749.4	921.0995	180.6173	0	926.2319	94.3622	0	923.6657	137.4898	
766.0	921.3287	189.2940	0	915.9271	106.2520	0	918.6279	147.7730	
782.6	884.9395	79.0623	0	889.7628	203.7209	0	887.3511	141.3916	
799.4	884.5973	84.1785	0	876.4944	207.4924	0	880.5459	145.8355	
816.0	877.7926	92.5126	0	880.1288	207.5335	0	878.9607	150.0231	
832.6	886.2532	76.3040	0	881.6727	213.0475	0	883.9630	144.6758	
849.2	883.8333	83.2967	0	881.6117	203.9975	0	882.7225	143.6471	
866.0	877.8272	89.4173	0	885.2443	206.1194	0	881.5358	147.7684	
882.6	883.8767	85.7043	0	884.9699	203.2799	0	884.4233	144.4921	
899.2	901.2464	65.8065	0	879.2672	205.1478	0	890.2568	135.4771	
915.9	883.9469	67.3242	0	885.8179	198.0284	0	884.8824	132.6763	
932.6	878.5438	115.8111	0	887.3808	180.6661	0	882.9623	148.2386	
949.2	918.7454	323.9542	0	944.2423	264.1425	0	931.4939	294.0484	
965.9	932.6620	411.7288	0	944.8299	432.4548	0	938.7460	422.0918	
982.5	929.1822	459.3407	0	957.1001	488.0924	0	943.1412	473.7165	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	942.4556	438.2293	0	973.4764	452.2503	0	957.9660	445.2398	
16.6	945.4421	438.6630	0	946.7125	469.5071	0	946.0773	454.0850	
33.2	937.7180	440.9804	0	958.0454	458.3804	0	947.8817	449.6804	
49.9	937.8313	450.7001	0	956.8921	459.1441	0	947.3617	454.9221	
66.6	933.8160	440.2698	0	961.2015	453.7976	0	947.5088	447.0337	
83.2	935.8635	450.3298	0	962.7266	456.1906	0	949.2951	453.2602	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	936.5959	567.3279	0	969.8132	570.4886	0	953.2046	568.9082	
16.6	943.3033	580.0080	0	973.8947	572.4311	0	958.5990	576.2196	
33.4	941.4798	580.1888	0	978.9401	580.4392	0	960.2100	580.3140	
50.0	944.9360	571.9308	0	975.2028	578.1450	0	960.0694	575.0379	
66.6	942.4867	580.9775	0	973.1640	570.4223	0	957.8253	575.6999	
83.2	944.2543	576.2566	0	966.3366	566.4989	0	955.2954	571.3778	
99.9	946.2782	587.2301	0	974.2279	572.3509	0	960.2531	579.7905	
116.6	946.0014	568.8251	0	975.5597	564.5081	0	960.7806	566.6666	
133.2	940.1797	570.3061	0	964.1008	576.0757	0	952.1403	573.1909	
149.9	948.4002	566.1222	0	977.4656	578.9330	0	962.9329	572.5276	
166.5	950.1939	581.1020	0	975.3012	568.5562	0	962.7476	574.8291	
183.2	945.9914	570.1984	0	978.9304	570.8699	0	962.4609	570.5341	
199.8	943.9330	565.5675	0	957.6262	571.3538	0	950.7796	568.4607	
216.5	946.3290	573.2793	0	975.3041	565.8889	0	960.8165	569.5841	
233.1	944.9544	578.6656	0	975.0369	573.6604	0	959.9956	576.1630	
249.8	946.7196	579.8957	0	972.1973	575.1528	0	959.4585	577.5242	
266.5	947.4841	583.0430	0	968.2817	567.4090	0	957.8829	575.2260	
283.1	946.2287	579.5680	0	970.2038	565.1145	0	958.2162	572.3412	
299.7	951.6525	575.6634	0	972.4549	575.8644	0	962.0537	575.7639	
