Recording date:	2018/08/08
Recording time:	15:22:37
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	955.0291	627.3416	0	963.6497	647.3223	0	959.3394	637.3319	
16.6	961.7631	649.9260	0	967.7311	638.0917	0	964.7471	644.0089	
33.2	964.2131	619.5383	0	968.1723	629.1150	0	966.1927	624.3267	
50.0	964.5931	647.4816	0	985.0470	642.0514	0	974.8200	644.7665	
66.6	970.8274	622.1576	0	975.9813	626.0624	0	973.4043	624.1100	
83.2	969.6094	638.2950	0	973.4370	655.4435	0	971.5232	646.8692	
99.9	968.5820	589.5999	0	965.7897	630.7704	0	967.1858	610.1851	
116.6	977.6705	653.6864	0	977.2533	647.4089	0	977.4619	650.5476	
133.2	971.8736	646.1058	0	983.7978	645.0696	0	977.8357	645.5877	
149.8	977.0060	634.4966	0	974.8214	635.9737	0	975.9137	635.2351	
166.5	959.6948	602.5600	0	963.2289	618.8613	0	961.4618	610.7107	
183.2	967.8464	648.7039	0	968.3852	626.7815	0	968.1158	637.7427	
199.8	960.5782	628.5090	0	967.3963	637.5994	0	963.9873	633.0542	
216.5	959.8496	635.5718	0	963.6175	628.2222	0	961.7335	631.8970	
233.1	956.2600	633.4168	0	969.6863	649.3406	0	962.9731	641.3787	
249.8	969.7902	644.0851	0	961.2248	628.9028	0	965.5075	636.4939	
266.4	955.3050	624.4419	0	977.3986	631.4810	0	966.3518	627.9615	
283.1	975.7403	626.3326	0	946.0755	622.6484	0	960.9079	624.4905	
299.7	954.7663	629.0792	0	955.3562	637.0947	0	955.0613	633.0870	
316.4	957.6080	634.3746	0	961.3474	650.3038	0	959.4777	642.3392	
333.1	971.3814	629.7314	0	958.6182	647.0048	0	964.9998	638.3681	
349.7	951.4117	602.0649	0	962.4752	619.2549	0	956.9435	610.6599	
366.3	988.9930	630.8985	0	962.7597	653.1701	0	975.8763	642.0343	
383.1	963.1631	631.0958	0	978.8640	633.2623	0	971.0135	632.1791	
