Recording date:	2018/08/08
Recording time:	14:30:28
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	972.4212	603.9225	0	956.5697	630.6092	0	964.4954	617.2658	
16.6	983.0933	592.0507	0	968.8985	599.8750	0	975.9959	595.9628	
33.2	975.1015	611.9453	0	953.7631	627.1056	0	964.4323	619.5254	
49.9	964.9199	611.2329	0	949.6290	637.4391	0	957.2744	624.3360	
66.6	966.8630	609.7058	0	959.7095	635.6863	0	963.2862	622.6961	
83.2	973.3382	626.2755	0	950.8338	615.9469	0	962.0860	621.1112	
99.9	963.4806	604.9387	0	978.8632	617.2408	0	971.1719	611.0897	
116.5	986.6242	611.1038	0	960.2968	611.3158	0	973.4605	611.2098	
133.1	973.8127	607.5476	0	967.2733	621.6253	0	970.5430	614.5865	
149.9	967.8345	620.9469	0	952.8299	622.4289	0	960.3322	621.6879	
166.5	968.1816	586.0880	0	971.7837	615.1973	0	969.9827	600.6427	
183.2	975.3695	608.8699	0	961.1194	622.6472	0	968.2445	615.7585	
199.8	987.9441	609.4439	0	956.9872	608.1686	0	972.4657	608.8062	
216.5	979.7274	610.3187	0	958.5505	616.5330	0	969.1390	613.4258	
233.1	975.4365	616.7197	0	975.2124	617.0823	0	975.3245	616.9010	
249.8	933.0129	592.1406	0	930.4895	595.8989	0	931.7512	594.0198	
266.5	789.4232	515.0533	0	778.2227	527.8110	0	783.8230	521.4322	
283.1	613.4585	468.9721	0	609.5254	483.1207	0	611.4920	476.0464	
299.7	566.8964	464.3386	0	552.5570	479.7611	0	559.7267	472.0499	
316.3	588.7529	454.6079	0	562.2983	462.4203	0	575.5256	458.5141	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	958.9638	607.5640	0	956.4443	589.4670	0	957.7041	598.5155	
16.6	946.9948	612.0702	0	969.4326	600.9370	0	958.2137	606.5036	
33.2	967.3142	586.3971	0	953.9881	617.7626	0	960.6512	602.0799	
50.0	963.9022	602.4616	0	969.5633	594.8503	0	966.7328	598.6559	
66.6	966.1053	589.3211	0	964.4893	604.4503	0	965.2973	596.8857	
83.2	955.6238	609.3890	0	965.1802	612.0856	0	960.4020	610.7373	
99.8	952.5779	592.9403	0	958.6400	592.2238	0	955.6090	592.5821	
116.6	960.4413	609.8383	0	974.4550	591.3565	0	967.4482	600.5974	
133.2	966.8666	595.7899	0	941.5077	630.5826	0	954.1871	613.1862	
149.8	959.5533	594.0022	0	967.5327	596.4386	0	963.5430	595.2204	
166.6	966.7090	605.8632	0	979.7907	586.5414	0	973.2498	596.2023	
183.2	949.8577	597.2991	0	966.1438	593.4348	0	958.0007	595.3670	
199.8	968.8000	607.0719	0	963.8847	599.0672	0	966.3423	603.0695	
216.4	974.9336	591.8831	0	958.5059	604.6777	0	966.7198	598.2804	
233.2	962.6659	616.8027	0	958.9814	608.4018	0	960.8237	612.6022	
249.7	957.6969	588.4909	0	967.7300	610.6618	0	962.7135	599.5764	
266.4	971.1763	594.9945	0	987.2119	602.1234	0	979.1941	598.5589	
283.0	968.8906	595.5239	0	975.9417	608.7898	0	972.4161	602.1569	
299.7	968.8331	600.1943	0	968.0509	610.0490	0	968.4420	605.1217	
316.3	961.2448	599.8531	0	973.3187	594.5922	0	967.2817	597.2227	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	984.5761	613.8352	0	973.1340	613.0083	0	978.8551	613.4217	
16.7	975.0024	606.5783	0	986.8356	608.9686	0	980.9190	607.7734	
33.4	976.4626	601.6662	0	984.1435	598.4860	0	980.3030	600.0761	
50.0	982.3973	600.8468	0	965.8978	612.7087	0	974.1476	606.7777	
66.6	979.8102	624.3968	0	973.0775	613.1827	0	976.4438	618.7897	
83.4	971.5700	620.2297	0	964.3523	620.1577	0	967.9611	620.1937	
100.0	988.3522	611.3435	0	975.4226	614.9515	0	981.8874	613.1475	
116.6	966.4118	605.6367	0	953.8490	628.8043	0	960.1304	617.2205	
133.2	972.1370	631.2580	0	960.6260	635.5390	0	966.3815	633.3985	
150.0	972.9834	617.6075	0	960.2032	634.8402	0	966.5933	626.2238	
166.5	972.5784	610.6346	0	967.9547	640.5346	0	970.2666	625.5846	
183.2	971.6569	628.7399	0	960.1347	615.0242	0	965.8958	621.8821	
199.8	975.8216	613.8539	0	953.2364	606.1233	0	964.5290	609.9886	
216.6	978.3458	607.4351	0	957.3445	640.7741	0	967.8452	624.1046	
233.2	977.5712	600.4552	0	977.0291	631.1822	0	977.3001	615.8187	
249.8	992.9231	602.3594	0	958.1293	611.1535	0	975.5262	606.7565	
266.5	974.8708	623.1542	0	954.3920	621.0310	0	964.6314	622.0926	
283.2	976.0981	625.5238	0	955.1232	613.3680	0	965.6107	619.4459	
299.8	981.8909	621.4389	0	955.3597	594.8783	0	968.6253	608.1586	
316.4	984.4503	610.8726	0	962.8918	613.5144	0	973.6711	612.1935	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	971.1211	614.9430	0	-1.0000	-1.0000	4	0.5058	0.5125	
16.7	972.2232	605.5497	0	-1.0000	-1.0000	4	0.5064	0.5046	
33.4	962.3788	597.0037	0	960.3419	606.0519	0	961.3603	601.5278	
50.0	983.8018	596.1877	0	960.8109	621.9047	0	972.3063	609.0462	
66.6	976.6599	612.8552	0	937.3470	640.4290	0	957.0034	626.6421	
83.2	976.4989	609.8620	0	960.8517	624.6339	0	968.6753	617.2479	
100.0	979.0745	606.5951	0	951.2574	612.6739	0	965.1660	609.6345	
