Subject,Session,Trial,Time,Trial_Start,Trial_End,Dots_Shown,Dots_Counted,Score,Dot_Width,Dot_Height,dl_x,dl_y
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1250,145
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1098,68
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,264,131
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1289,930
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1703,1003
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1521,726
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1335,363
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,403,476
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,610,562
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1306,702
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1259,645
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,804,655
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,239,451
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1482,831
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,175,130
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,110,519
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,27,1026
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,900,277
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1030,529
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1656,1059
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,465,90
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,328,590
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,488,111
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,1424,741
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,119,894
alx,3,0,0.3333333333333333,1523482355.873392,1523482356.208326,26,30,0.8461538461538461,8,8,534,220
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,995,604
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,774,985
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,959,261
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,870,733
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,565,112
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,134,965
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,127,109
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1264,617
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,43,431
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,533,689
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,371,210
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,869,208
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,710,263
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1237,409
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1691,619
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1559,555
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,797,719
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1167,415
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,331,684
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1513,173
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,24,952
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,330,105
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,231,419
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1136,1051
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,944,323
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,124,875
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,922,789
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,413,835
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1512,945
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,683,648
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1148,237
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1025,100
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,179,705
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1166,881
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1330,104
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,591,82
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1231,974
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1261,203
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1244,942
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,790,895
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1494,521
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,877,886
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,894,575
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1357,445
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1695,221
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,780,143
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,344,467
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,356,360
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,719,316
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,867,769
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,908,202
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,499,141
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1646,1036
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1268,797
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,609,121
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,165,493
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,624,687
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,637,155
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,317,959
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,753,709
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1402,206
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,211,618
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,898,46
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1584,591
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,38,745
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,754,448
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1562,1007
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,416,996
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1552,279
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1197,57
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,275,806
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1278,642
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1557,652
alx,3,1,0.3333333333333333,1523482363.045848,1523482363.386095,74,180,0,8,8,1036,867
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,166,692
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,905,656
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1307,620
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,541,74
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,544,46
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,863,765
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,836,511
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1426,75
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1374,939
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,896,390
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,889,501
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,670,380
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,184,152
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1369,318
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1130,1014
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,714,257
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,623,607
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1184,946
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,727,955
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,205,118
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1078,749
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,413,663
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,79,682
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1407,789
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1488,565
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,252,153
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,624,831
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,612,776
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,932,565
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1297,522
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1443,213
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1176,705
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1642,862
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,982,366
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1157,242
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,205,700
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,1545,659
alx,3,2,0.3333333333333333,1523482368.484374,1523482368.819625,79,120,0.4810126582278481,8,8,330,533
