Recording date:	2018/04/11
Recording time:	17:31:59
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	969.5238	552.4898	0	964.8660	555.9460	0	967.1949	554.2179	
16.6	974.6937	550.8890	0	969.9727	550.8469	0	972.3332	550.8680	
33.3	977.2123	552.9068	0	975.8637	555.0945	0	976.5380	554.0006	
49.9	979.0469	557.3556	0	969.1982	559.6479	0	974.1225	558.5018	
66.6	970.7785	557.1133	0	978.1809	551.5779	0	974.4797	554.3456	
83.2	975.4047	555.6705	0	974.8281	555.8696	0	975.1164	555.7700	
99.9	971.0442	555.7187	0	973.2466	551.2791	0	972.1454	553.4989	
116.5	970.1301	557.9435	0	973.1163	546.6594	0	971.6232	552.3014	
133.2	969.8781	540.6116	0	974.1003	555.7406	0	971.9892	548.1761	
149.9	974.7170	548.3752	0	977.5703	543.9774	0	976.1437	546.1763	
166.5	971.1039	552.9332	0	972.5204	545.4737	0	971.8122	549.2034	
183.1	970.7508	549.0192	0	977.1143	551.9381	0	973.9326	550.4787	
199.8	977.2353	552.1420	0	972.7064	553.4279	0	974.9708	552.7850	
216.5	966.8235	554.1085	0	971.7694	557.2570	0	969.2964	555.6828	
233.1	970.7946	552.2285	0	966.9338	553.9990	0	968.8642	553.1138	
249.7	977.3695	561.4907	0	973.8402	551.1396	0	975.6049	556.3152	
266.5	974.7251	548.8886	0	973.6714	557.9364	0	974.1982	553.4125	
283.1	962.3140	553.8577	0	974.4222	538.3331	0	968.3681	546.0954	
299.7	954.3072	548.9563	0	959.8690	538.8953	0	957.0881	543.9258	
316.3	885.0281	511.7739	0	902.3206	507.6316	0	893.6743	509.7028	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	980.4903	573.5395	0	985.4525	570.5404	0	982.9714	572.0399	
16.6	976.7899	577.0300	0	973.4559	568.6868	0	975.1229	572.8584	
33.2	974.7562	575.4563	0	988.1491	570.1197	0	981.4526	572.7880	
50.0	983.5450	569.0593	0	986.7987	575.6782	0	985.1719	572.3688	
66.6	977.8938	578.5318	0	993.7231	568.6133	0	985.8085	573.5725	
83.2	981.2388	571.3250	0	977.5497	571.4226	0	979.3943	571.3738	
99.9	981.0073	581.2531	0	977.3486	571.9859	0	979.1779	576.6195	
116.6	987.1935	581.1022	0	978.8775	569.4486	0	983.0355	575.2754	
133.2	978.6493	576.9945	0	989.5187	565.3283	0	984.0840	571.1614	
