Recording date:	2018/09/22
Recording time:	11:20:23
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	973.0248	599.3545	0	977.7624	598.3240	0	975.3936	598.8393	
16.8	969.6406	599.3099	0	976.6167	604.8867	0	973.1287	602.0983	
33.4	981.3208	604.7912	0	974.0366	615.4562	0	977.6787	610.1237	
50.0	981.2213	609.0814	0	982.1721	599.4795	0	981.6967	604.2805	
66.6	980.5558	604.0519	0	981.9013	598.0928	0	981.2285	601.0723	
83.4	976.4728	601.1688	0	980.4920	604.7025	0	978.4824	602.9357	
100.0	968.2601	605.1304	0	969.9005	609.7161	0	969.0803	607.4233	
116.6	966.0815	611.0931	0	964.4357	609.5345	0	965.2586	610.3138	
133.2	963.0756	615.8491	0	969.9782	600.5646	0	966.5269	608.2068	
150.0	965.0250	607.8774	0	975.3675	606.3964	0	970.1962	607.1369	
166.6	957.7000	621.7238	0	960.5072	625.7599	0	959.1036	623.7419	
183.2	970.1993	620.1495	0	974.9344	621.4337	0	972.5669	620.7916	
199.9	962.3789	620.8212	0	970.2302	624.3314	0	966.3046	622.5763	
216.6	958.9281	621.5688	0	970.3078	624.6961	0	964.6179	623.1325	
233.2	955.5310	621.0529	0	967.5250	630.8342	0	961.5280	625.9435	
249.8	965.3699	616.7748	0	963.4531	624.2752	0	964.4115	620.5250	
266.5	957.7678	615.4607	0	974.6418	623.6785	0	966.2048	619.5696	
283.2	960.8333	623.0479	0	970.4178	635.1320	0	965.6256	629.0899	
299.8	959.9281	619.4621	0	968.0345	627.1431	0	963.9813	623.3026	
316.5	966.1605	624.2995	0	966.3038	629.9011	0	966.2321	627.1003	
333.1	970.1801	626.1876	0	970.3420	622.5759	0	970.2610	624.3818	
349.8	962.7644	628.1703	0	971.2244	627.6619	0	966.9944	627.9161	
366.5	918.3677	575.9735	0	932.5765	562.2120	0	925.4721	569.0927	
383.1	872.1290	461.8073	0	892.7268	458.7505	0	882.4279	460.2789	
399.7	838.0232	439.4031	0	846.0979	432.4633	0	842.0606	435.9332	
416.4	827.7588	447.7328	0	846.9282	432.1281	0	837.3435	439.9304	
433.1	833.9162	444.9423	0	845.6469	435.3034	0	839.7815	440.1229	
449.7	826.8690	445.7828	0	841.5992	444.1474	0	834.2341	444.9651	
466.3	834.8907	441.5342	0	841.5034	436.4531	0	838.1970	438.9937	
483.1	839.1171	449.3296	0	840.8671	444.7255	0	839.9921	447.0276	
499.7	837.6989	443.8881	0	845.2374	447.4012	0	841.4682	445.6447	
516.3	833.8632	445.4662	0	846.2466	441.2137	0	840.0549	443.3399	
532.9	828.4082	442.5080	0	853.2817	439.8091	0	840.8450	441.1586	
549.7	915.4171	437.4615	0	929.1641	434.7493	0	922.2906	436.1054	
566.3	955.5613	435.5972	0	979.1153	438.1122	0	967.3383	436.8547	
582.9	957.6262	428.6157	0	974.1916	437.2876	0	965.9089	432.9517	
599.5	960.4969	432.4107	0	966.4084	436.9951	0	963.4526	434.7029	
616.3	958.8955	435.1829	0	968.5976	429.4357	0	963.7466	432.3093	
632.9	957.3282	432.5151	0	978.9514	431.8251	0	968.1398	432.1701	
649.5	963.7500	440.7846	0	963.1340	442.3676	0	963.4420	441.5761	
666.2	965.6237	447.1635	0	973.0886	436.1292	0	969.3561	441.6463	
