Recording date:	2018/09/22
Recording time:	10:25:50
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	988.5165	609.3499	0	957.8835	609.3170	0	973.2000	609.3334	
16.6	983.5004	601.9969	0	964.3691	602.4476	0	973.9347	602.2222	
33.2	970.1360	619.3875	0	964.0860	607.8542	0	967.1110	613.6209	
49.9	985.9759	599.7833	0	967.7104	606.0021	0	976.8431	602.8927	
66.6	978.7916	613.5603	0	961.7150	610.1302	0	970.2533	611.8452	
83.2	972.8879	619.3929	0	960.1566	602.4044	0	966.5223	610.8986	
99.9	983.1236	617.4852	0	967.4398	609.9207	0	975.2817	613.7029	
116.5	983.2163	603.1041	0	956.1464	609.3591	0	969.6814	606.2316	
133.2	979.1748	608.8097	0	956.6499	608.0744	0	967.9123	608.4421	
149.9	981.4602	582.3214	0	957.5420	603.9420	0	969.5011	593.1317	
166.5	968.4108	601.4214	0	964.3398	612.0246	0	966.3753	606.7230	
183.1	980.1261	613.3774	0	964.7971	621.7795	0	972.4616	617.5785	
199.8	974.7144	614.6383	0	957.3003	622.1733	0	966.0074	618.4058	
216.5	971.9556	607.8470	0	954.7232	620.9694	0	963.3394	614.4082	
233.1	975.7789	621.4314	0	956.0903	617.8027	0	965.9346	619.6171	
249.7	966.4678	614.8704	0	951.0653	624.3220	0	958.7665	619.5962	
266.5	999.2664	577.5257	0	999.2327	580.4804	0	999.2495	579.0031	
283.1	1005.5133	569.7110	0	999.8605	577.4766	0	1002.6869	573.5938	
299.7	996.4292	568.7548	0	1001.4880	576.9755	0	998.9586	572.8651	
316.3	1003.1581	566.2451	0	1002.2112	575.6348	0	1002.6846	570.9400	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	980.0737	615.3047	0	965.4253	613.1083	0	972.7495	614.2065	
16.6	982.3592	620.1491	0	964.6773	618.7971	0	973.5183	619.4731	
33.4	975.3963	624.0731	0	969.2431	621.9504	0	972.3197	623.0118	
50.0	985.3346	628.9788	0	976.5347	628.1502	0	980.9346	628.5645	
66.6	982.2495	613.5505	0	974.7638	637.9227	0	978.5066	625.7366	
83.2	976.8183	622.7013	0	966.5572	623.4995	0	971.6878	623.1004	
100.0	983.8884	615.2167	0	954.3136	621.6786	0	969.1010	618.4476	
116.6	983.2546	623.8790	0	975.3739	633.6758	0	979.3142	628.7774	
133.2	991.8407	626.3131	0	979.6013	626.1837	0	985.7210	626.2484	
149.8	976.6736	628.4630	0	976.7660	629.7087	0	976.7198	629.0858	
166.6	987.7604	624.9454	0	973.0046	628.7348	0	980.3825	626.8401	
183.2	989.4046	627.5379	0	963.8755	632.8383	0	976.6401	630.1881	
199.8	992.5602	616.6949	0	965.5997	631.2627	0	979.0799	623.9788	
216.5	977.6548	635.4769	0	968.4708	635.2114	0	973.0628	635.3441	
233.2	978.4999	630.0023	0	975.1529	635.8940	0	976.8264	632.9481	
249.8	983.8028	620.9454	0	967.9723	630.7693	0	975.8876	625.8573	
266.4	977.4154	628.7417	0	970.8019	635.7725	0	974.1087	632.2571	
283.1	972.7266	617.3372	0	970.0219	634.8326	0	971.3743	626.0849	
299.8	974.0926	626.3022	0	967.8577	636.9372	0	970.9751	631.6197	
316.4	977.9680	636.2456	0	982.1135	632.3816	0	980.0408	634.3136	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	968.6846	612.7141	0	945.7442	626.0980	0	957.2144	619.4061	
16.8	966.8971	608.3147	0	948.0049	619.8050	0	957.4510	614.0599	
33.4	972.0027	620.1652	0	956.4989	623.2626	0	964.2508	621.7139	
50.0	971.6459	612.1371	0	959.0703	622.0387	0	965.3581	617.0879	
66.6	970.6619	618.3654	0	963.4761	620.2679	0	967.0690	619.3167	
83.4	966.3613	626.0974	0	955.8093	618.7405	0	961.0853	622.4190	
100.0	968.2243	619.0968	0	958.5536	624.0829	0	963.3889	621.5899	
116.6	970.3664	620.6105	0	957.0943	621.2140	0	963.7304	620.9122	
133.2	970.7651	617.0204	0	956.6953	620.5419	0	963.7302	618.7811	
150.0	968.4953	613.2561	0	951.7609	616.5277	0	960.1281	614.8919	
166.6	958.2515	620.2700	0	961.3589	621.5994	0	959.8052	620.9347	
183.2	965.9510	629.0271	0	960.9384	633.0962	0	963.4447	631.0617	
199.8	975.1218	631.2029	0	952.5924	627.1231	0	963.8571	629.1630	
216.6	973.1589	627.5157	0	957.5314	629.1964	0	965.3452	628.3560	
