Recording date:	2018/07/10
Recording time:	17:39:30
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	975.5777	588.1687	0	987.3554	628.0928	0	981.4665	608.1307	
16.7	978.4632	603.1036	0	970.1212	595.8847	0	974.2922	599.4941	
33.4	974.0483	598.1184	0	967.6514	595.0266	0	970.8498	596.5725	
50.0	949.7024	615.0171	0	962.8080	597.7007	0	956.2552	606.3589	
66.6	969.3796	586.9314	0	956.4166	585.3975	0	962.8981	586.1645	
83.4	951.6756	609.0681	0	990.6522	594.9629	0	971.1639	602.0155	
100.0	960.6162	593.5403	0	964.5632	601.8231	0	962.5897	597.6817	
116.6	966.5019	587.0460	0	962.1970	597.1232	0	964.3494	592.0846	
133.4	940.3869	597.4263	0	959.3638	589.8467	0	949.8753	593.6365	
150.0	952.9885	583.8379	0	970.5726	580.8374	0	961.7806	582.3377	
166.6	957.2052	595.0834	0	970.9540	575.5820	0	964.0796	585.3327	
183.2	954.3416	596.0124	0	974.9212	589.0248	0	964.6314	592.5186	
199.8	951.0427	585.6148	0	969.4541	600.5185	0	960.2484	593.0666	
216.6	964.1344	582.0734	0	979.4547	580.8070	0	971.7946	581.4402	
233.2	960.1960	586.9706	0	967.9271	591.0233	0	964.0615	588.9969	
249.8	983.5998	607.5019	0	975.6581	591.7183	0	979.6290	599.6101	
266.5	971.4276	600.8768	0	953.2253	609.7043	0	962.3264	605.2906	
283.2	963.5112	583.9990	0	964.0403	604.5193	0	963.7758	594.2591	
299.8	966.4797	613.6827	0	977.2652	599.6131	0	971.8724	606.6479	
316.5	960.3663	599.1839	0	985.3524	611.1735	0	972.8593	605.1787	
333.1	955.7914	599.8791	0	967.1579	607.6338	0	961.4747	603.7564	
349.8	962.9763	596.5223	0	970.6120	602.2275	0	966.7942	599.3749	
366.5	949.5009	580.5089	0	969.8621	588.8281	0	959.6815	584.6685	
383.1	962.3308	597.7272	0	979.9956	580.2808	0	971.1632	589.0040	
399.7	970.3459	582.6522	0	957.7683	582.2045	0	964.0571	582.4284	
416.4	978.7254	593.4796	0	952.0966	592.2322	0	965.4110	592.8559	
433.1	985.1701	611.5287	0	969.0522	598.8369	0	977.1112	605.1828	
449.7	974.5536	592.5137	0	968.6731	587.3876	0	971.6133	589.9506	
466.4	975.3249	584.9043	0	968.2683	578.0450	0	971.7966	581.4747	
483.1	988.8037	601.9174	0	966.0371	591.7324	0	977.4204	596.8249	
499.7	968.5844	591.1798	0	974.8478	594.6639	0	971.7161	592.9218	
516.3	977.1413	599.7603	0	970.2523	590.0150	0	973.6968	594.8877	
532.9	974.8749	603.2007	0	970.8810	590.6332	0	972.8780	596.9169	
549.7	969.4888	592.6850	0	975.0060	585.9572	0	972.2474	589.3211	
