Subject,Session,Trial,Time,Trial_Start,Trial_End,Dots_Shown,Dots_Counted,Score,Dot_Width,Dot_Height,dl_x,dl_y
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,122,376
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1418,1056
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1668,844
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1416,741
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,376,153
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1182,269
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,567,249
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1149,163
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,312,98
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1224,79
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1235,755
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1336,178
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1622,905
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1331,471
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,143,983
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,593,144
kla,2,0,3.0,1524173146.772451,1524173149.783185,17,14,0.8235294117647058,8,8,1611,315
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,1695,395
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,1246,605
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,882,987
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,1057,80
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,1358,738
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,750,722
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,1029,809
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,1636,998
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,109,19
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,1403,400
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,763,757
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,1369,795
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,1427,336
kla,2,1,3.0,1524173155.767588,1524173158.775838,64,25,0.390625,8,8,121,705
