Recording date:	2018/04/19
Recording time:	17:25:11
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	988.4623	618.2660	0	975.3148	631.4737	0	981.8886	624.8699	
16.6	986.9061	626.6472	0	965.0274	618.4502	0	975.9667	622.5487	
33.4	982.9640	619.1451	0	976.8049	625.1275	0	979.8844	622.1363	
50.0	987.7715	619.0898	0	979.5551	623.4228	0	983.6633	621.2563	
66.6	984.0994	623.3600	0	982.5169	619.2942	0	983.3081	621.3271	
83.2	981.4339	613.8663	0	975.0066	630.1969	0	978.2202	622.0316	
100.0	982.6217	624.0444	0	969.1912	614.0547	0	975.9064	619.0496	
116.6	989.6969	623.9791	0	969.3116	626.2011	0	979.5042	625.0901	
133.2	987.3986	626.1892	0	980.4648	641.3521	0	983.9317	633.7706	
149.8	979.3860	617.8804	0	970.8490	638.9490	0	975.1175	628.4147	
166.6	981.1425	628.3292	0	966.0085	626.0904	0	973.5755	627.2098	
183.2	981.7300	620.8732	0	972.6806	618.7612	0	977.2053	619.8172	
199.8	996.7055	600.5484	0	973.7225	626.5024	0	985.2140	613.5254	
216.5	973.5668	619.3639	0	976.7575	641.2692	0	975.1622	630.3166	
233.2	980.7388	625.7207	0	957.7074	615.4302	0	969.2231	620.5755	
249.8	969.8530	627.8464	0	964.6229	614.7993	0	967.2380	621.3229	
266.5	962.9796	632.5822	0	961.8293	628.6994	0	962.4045	630.6408	
283.1	885.6527	549.0436	0	914.2532	540.3713	0	899.9530	544.7075	
299.8	743.0516	431.4456	0	762.3948	430.0152	0	752.7232	430.7304	
316.4	651.8209	329.1998	0	658.3315	341.0507	0	655.0762	335.1253	
333.1	634.6634	315.1508	0	633.8635	305.9167	0	634.2635	310.5337	
349.7	622.1460	312.5986	0	632.8690	315.0211	0	627.5075	313.8099	
366.4	612.4407	309.1679	0	636.9225	317.5624	0	624.6816	313.3652	
383.1	617.8962	309.4088	0	639.0157	313.6596	0	628.4560	311.5342	
399.7	622.2870	308.5037	0	625.2096	312.3133	0	623.7483	310.4085	
416.3	634.8557	297.5569	0	632.1823	298.6470	0	633.5190	298.1019	
