Subject,Session,Trial,Time,Trial_Start,Trial_End,Dots_Shown,Dots_Counted,Score,Dot_Width,Dot_Height,dl_x,dl_y
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,982,182
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,600,856
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,112,677
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1181,302
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,790,362
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,97,62
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,60,699
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1555,160
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1419,706
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,448,88
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1182,602
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1068,500
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1570,632
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,181,429
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,791,759
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1253,881
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,799,916
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,480,1019
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1143,58
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,761,310
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,625,302
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,154,953
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,40,1021
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1130,1059
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1517,243
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,658,354
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1137,30
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,155,625
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1003,309
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,70,109
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,18,501
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,901,901
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,923,569
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,911,384
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1307,636
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1631,768
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1628,484
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,136,1057
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1003,722
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,972,443
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,886,585
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1653,996
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1688,276
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,233,693
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,953,753
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1433,436
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1361,664
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,1094,449
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,91,505
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,708,189
lnd,1,0,1,1531854814.29021,1531854815.29429,65,49,0.7538461538,8,8,897,110
