Recording date:	2018/07/17
Recording time:	15:13:00
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	957.8088	582.7633	0	931.8756	637.4488	0	944.8422	610.1061	
16.6	962.3332	600.9070	0	942.0385	629.0227	0	952.1858	614.9649	
33.2	952.8542	604.3520	0	936.4504	623.1956	0	944.6523	613.7738	
50.0	978.5681	590.8754	0	944.2123	640.2831	0	961.3902	615.5792	
66.6	953.2143	591.6955	0	939.1422	658.4160	0	946.1783	625.0558	
83.2	978.3360	616.5847	0	932.8277	647.8078	0	955.5818	632.1963	
99.9	967.0057	585.1793	0	933.1006	643.8632	0	950.0532	614.5212	
116.6	960.1476	600.7904	0	946.9986	655.3545	0	953.5731	628.0725	
133.2	960.0884	603.0313	0	947.9747	649.4593	0	954.0315	626.2453	
149.9	987.8829	593.0434	0	937.4575	649.3532	0	962.6702	621.1983	
166.5	983.5427	610.6348	0	943.0873	645.2837	0	963.3150	627.9593	
183.2	991.4871	615.2561	0	950.8567	615.1961	0	971.1719	615.2261	
199.8	959.6327	586.1430	0	944.1756	653.7530	0	951.9041	619.9480	
216.5	972.0011	602.8777	0	945.3981	653.1629	0	958.6996	628.0203	
233.1	964.7237	610.6260	0	929.2565	631.8481	0	946.9901	621.2371	
249.8	979.2689	604.3807	0	938.6132	656.3695	0	958.9410	630.3751	
266.5	979.1456	611.4279	0	951.6232	623.2811	0	965.3844	617.3545	
283.1	955.2673	613.0862	0	929.3463	670.1577	0	942.3068	641.6220	
299.7	984.8742	621.7038	0	936.3252	687.9774	0	960.5997	654.8406	
316.5	957.1225	609.3665	0	944.4766	669.7853	0	950.7996	639.5759	
333.1	964.9367	588.9685	0	937.0091	669.1441	0	950.9729	629.0563	
349.7	967.2228	611.1468	0	947.7161	676.3598	0	957.4695	643.7533	
366.3	952.4778	602.5352	0	935.7401	658.3976	0	944.1090	630.4664	
383.1	957.4624	594.5549	0	926.9053	650.3643	0	942.1838	622.4596	
399.7	978.3871	600.2230	0	926.1576	666.6412	0	952.2723	633.4321	
416.3	967.7244	576.7744	0	936.3169	671.2513	0	952.0206	624.0129	
432.9	930.1090	606.0083	0	913.2220	629.9154	0	921.6655	617.9618	
449.7	805.9962	436.5335	0	800.7027	474.8652	0	803.3494	455.6993	
466.3	699.5618	325.6844	0	728.0899	365.9037	0	713.8259	345.7940	
482.9	715.2869	286.6116	0	693.2659	354.6722	0	704.2764	320.6419	
499.5	708.9456	321.5465	0	692.5371	352.7435	0	700.7413	337.1450	
516.3	715.4216	290.9339	0	689.7555	358.0150	0	702.5885	324.4745	
532.9	721.3521	311.6858	0	700.2894	361.2200	0	710.8208	336.4529	
549.5	728.9285	320.4003	0	674.4699	353.1914	0	701.6992	336.7958	
566.2	715.8175	313.9869	0	692.0623	375.9336	0	703.9399	344.9603	
582.9	738.6999	294.9521	0	710.6069	352.5523	0	724.6534	323.7522	
599.5	714.1541	307.8923	0	666.7206	351.4871	0	690.4374	329.6897	
616.2	508.1563	193.1254	0	481.8460	234.7035	0	495.0012	213.9145	
