Recording date:	2018/04/13
Recording time:	15:32:19
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	964.5748	588.8518	0	938.4631	597.4298	0	951.5189	593.1408	
16.6	973.4088	583.7282	0	940.4461	591.8722	0	956.9275	587.8002	
33.4	964.3092	592.3502	0	936.7436	596.6999	0	950.5264	594.5251	
50.0	956.6905	605.4694	0	943.6587	606.9513	0	950.1746	606.2103	
66.6	956.9884	594.7076	0	951.9694	597.7324	0	954.4789	596.2200	
83.2	953.5983	581.9313	0	947.7925	595.4007	0	950.6954	588.6660	
100.0	959.6037	585.4847	0	935.1536	595.0088	0	947.3786	590.2467	
116.6	958.7815	597.1515	0	937.7488	596.1919	0	948.2652	596.6717	
133.2	961.7496	595.3031	0	935.0795	604.6659	0	948.4145	599.9845	
149.9	969.0016	594.2536	0	946.8225	599.5817	0	957.9121	596.9177	
166.5	968.6851	593.1201	0	941.2451	601.6361	0	954.9651	597.3781	
183.2	961.9079	587.4974	0	942.0790	591.9205	0	951.9934	589.7090	
199.8	962.5148	606.3886	0	942.3406	598.2498	0	952.4277	602.3192	
216.5	926.3127	581.7049	0	924.3858	586.4302	0	925.3493	584.0675	
233.2	728.3316	508.0606	0	730.6072	501.1899	0	729.4694	504.6252	
249.8	726.4484	491.1128	0	706.4245	496.3239	0	716.4364	493.7184	
266.5	716.4460	491.5329	0	692.2458	496.1215	0	704.3459	493.8272	
283.1	708.0176	493.1327	0	697.1323	485.1628	0	702.5749	489.1477	
299.8	716.4913	485.9143	0	700.2307	479.5935	0	708.3610	482.7539	
316.5	702.9049	485.6773	0	694.8298	499.7189	0	698.8674	492.6981	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	958.7247	499.8423	0	960.0618	493.4630	0	959.3932	496.6527	
16.6	953.3568	494.4520	0	948.3748	500.3458	0	950.8658	497.3989	
33.2	943.3249	507.1680	0	941.6342	492.6085	0	942.4795	499.8883	
50.0	960.8434	498.8413	0	956.9634	489.5648	0	958.9034	494.2031	
66.6	961.2359	500.6798	0	952.6978	502.0735	0	956.9668	501.3767	
83.2	949.9049	512.2074	0	950.6736	501.6964	0	950.2892	506.9519	
99.9	962.7617	490.7892	0	954.2831	497.3488	0	958.5224	494.0690	
116.6	957.7252	495.5556	0	952.9296	499.6253	0	955.3274	497.5905	
133.2	963.1101	498.1859	0	952.4017	497.9635	0	957.7559	498.0747	
149.8	959.4380	494.0413	0	951.2771	500.4573	0	955.3575	497.2493	
166.5	972.3034	493.5482	0	951.8703	502.7929	0	962.0869	498.1705	
183.2	956.5846	496.9400	0	955.7860	499.5215	0	956.1853	498.2308	
