Recording date:	2018/04/11
Recording time:	17:53:02
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	956.4264	606.6849	0	986.0293	604.3341	0	971.2278	605.5095	
16.7	949.2346	600.7118	0	978.4912	599.7078	0	963.8629	600.2098	
33.4	947.8374	608.0137	0	981.1290	603.5221	0	964.4832	605.7679	
50.0	950.0068	613.4125	0	982.1349	599.5272	0	966.0708	606.4698	
66.6	954.8765	614.5568	0	977.3857	601.6828	0	966.1311	608.1198	
83.4	956.0548	609.6035	0	979.2017	593.0058	0	967.6283	601.3047	
100.0	955.2852	608.7353	0	997.0805	602.4867	0	976.1829	605.6110	
116.6	949.5559	614.1411	0	981.5944	612.4318	0	965.5751	613.2865	
133.2	948.5528	605.4037	0	979.7007	600.6553	0	964.1267	603.0295	
150.0	953.8995	612.0577	0	979.5993	605.1192	0	966.7494	608.5884	
166.6	952.9810	614.0897	0	983.2078	604.6080	0	968.0944	609.3489	
183.2	956.4363	612.7680	0	980.7696	609.9782	0	968.6030	611.3731	
199.8	960.3193	610.6063	0	983.4899	600.2218	0	971.9046	605.4141	
216.6	958.1638	610.3972	0	977.8540	592.5727	0	968.0089	601.4849	
233.2	959.5753	609.5696	0	985.1848	597.8435	0	972.3801	603.7065	
249.8	896.1440	615.4475	0	935.0278	587.8166	0	915.5859	601.6321	
266.5	820.4786	606.0059	0	866.9450	592.1563	0	843.7118	599.0811	
283.2	814.4275	604.9582	0	864.4986	593.3240	0	839.4631	599.1411	
299.8	827.5960	603.2821	0	862.9064	593.5664	0	845.2512	598.4242	
316.5	828.5508	600.9271	0	857.6358	591.9468	0	843.0933	596.4370	
333.1	821.2028	601.0373	0	862.1006	596.2451	0	841.6517	598.6412	
349.8	833.7961	601.8762	0	860.9578	599.3372	0	847.3770	600.6067	
366.4	827.6902	602.2911	0	868.8913	606.3098	0	848.2908	604.3005	
383.1	835.6192	595.0674	0	865.1273	603.0974	0	850.3733	599.0824	
399.7	819.9447	601.7641	0	864.1362	597.2228	0	842.0405	599.4935	
416.4	897.9112	640.6429	0	941.9128	627.9645	0	919.9120	634.3037	
433.1	1099.8267	698.4500	0	950.8458	605.4213	0	1025.3363	651.9357	
449.7	1244.1056	703.1644	0	1252.4314	771.6003	0	1248.2685	737.3824	
466.3	1216.0482	709.2994	0	1248.6346	771.6753	0	1232.3414	740.4874	
483.1	1241.6345	713.6579	0	1247.7120	771.9182	0	1244.6733	742.7881	
499.7	1218.7247	713.3322	0	1249.4666	768.2586	0	1234.0957	740.7954	
516.3	1243.3473	711.2253	0	1243.9052	768.3606	0	1243.6263	739.7929	
532.9	1255.1978	705.7507	0	1247.2988	763.3290	0	1251.2483	734.5399	
549.7	1242.2303	705.7272	0	1246.5156	763.1529	0	1244.3729	734.4400	
566.3	1246.8032	700.6232	0	1245.5557	772.8601	0	1246.1794	736.7417	
582.9	1252.9886	713.9989	0	1252.7609	764.9664	0	1252.8748	739.4827	
599.5	1244.7831	705.5877	0	1253.1932	760.5616	0	1248.9881	733.0747	
616.3	1251.8312	734.2855	0	1261.2831	774.0597	0	1256.5572	754.1726	
632.9	1246.5991	731.0432	0	1263.3764	774.7821	0	1254.9877	752.9127	
649.5	1230.6665	735.7482	0	1250.2320	757.7036	0	1240.4492	746.7259	
666.2	1218.0447	732.1115	0	1224.6149	764.4447	0	1221.3298	748.2781	
682.9	1218.0925	739.4895	0	1221.9326	750.6184	0	1220.0126	745.0540	
699.5	1218.3900	725.2057	0	1229.8652	756.0428	0	1224.1276	740.6242	
716.1	1217.6488	731.3576	0	1221.6619	759.7505	0	1219.6553	745.5540	
732.8	1220.1135	719.3533	0	1227.4264	767.2408	0	1223.7699	743.2970	
749.5	1236.3665	729.6619	0	1225.5911	758.1084	0	1230.9788	743.8852	
766.1	1231.5831	725.4376	0	1219.8003	761.7929	0	1225.6917	743.6153	
782.8	1220.6718	737.3258	0	1224.1835	754.6965	0	1222.4276	746.0111	
799.4	1220.7154	718.6310	0	1224.8735	760.2476	0	1222.7945	739.4393	
816.1	1220.6870	728.6037	0	1222.3187	767.3438	0	1221.5028	747.9738	
832.8	1223.6218	722.3676	0	1222.6691	769.4236	0	1223.1455	745.8956	
849.4	1224.8302	721.0852	0	1233.9642	756.4099	0	1229.3972	738.7475	
866.0	1234.0109	722.2527	0	1230.1401	759.8757	0	1232.0755	741.0642	
882.7	1199.0835	751.3767	0	1213.2747	781.7241	0	1206.1791	766.5504	
899.4	-1.0000	-1.0000	4	1217.0534	857.3000	0	0.6339	0.7144	
916.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
932.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
949.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
966.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
983.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	944.7797	523.3341	0	982.6326	544.4202	0	963.7062	533.8772	
16.6	950.2748	516.6713	0	976.6402	543.6463	0	963.4575	530.1588	
33.2	946.6415	523.0626	0	979.4623	543.5062	0	963.0519	533.2844	
49.9	946.8753	518.5299	0	977.1365	545.9397	0	962.0059	532.2348	
66.6	935.0133	506.7744	0	965.7328	556.2869	0	950.3731	531.5306	
83.2	937.3072	495.9903	0	967.6368	552.1960	0	952.4720	524.0931	
99.9	941.1973	504.6735	0	970.6533	546.9224	0	955.9253	525.7980	
116.5	943.9534	504.9051	0	971.0938	537.4650	0	957.5236	521.1851	
133.2	937.4503	497.3420	0	967.9061	544.8463	0	952.6782	521.0942	
149.9	940.8153	509.9096	0	973.5022	540.1846	0	957.1588	525.0471	
166.5	945.7456	499.2313	0	973.5252	542.2304	0	959.6354	520.7308	
183.1	945.6493	511.4404	0	970.1455	552.1575	0	957.8974	531.7990	
199.8	942.9170	509.7133	0	971.2625	560.3795	0	957.0898	535.0464	
216.5	935.7650	520.6511	0	965.5924	551.8885	0	950.6787	536.2698	
233.1	945.1443	515.0534	0	972.2951	555.1723	0	958.7197	535.1129	
249.7	947.3485	524.5680	0	970.0144	545.6556	0	958.6814	535.1118	
266.5	942.6281	529.0203	0	978.2822	550.3754	0	960.4552	539.6979	
283.1	938.3938	537.9410	0	983.3482	536.7946	0	960.8710	537.3678	
299.7	942.1083	539.2105	0	974.1018	549.0258	0	958.1051	544.1181	
316.3	934.4757	540.5466	0	979.2349	545.5164	0	956.8553	543.0315	
333.1	928.5708	523.4278	0	967.2245	553.4383	0	947.8977	538.4330	
349.7	882.6192	524.8220	0	915.0211	538.4775	0	898.8201	531.6497	
366.3	858.5492	531.7529	0	906.3406	551.5081	0	882.4449	541.6305	
382.9	861.0100	526.4545	0	903.3906	549.7072	0	882.2003	538.0809	
399.7	866.0434	526.3412	0	907.1291	540.1837	0	886.5862	533.2625	
416.3	862.1008	526.8228	0	900.7828	539.1031	0	881.4418	532.9629	
432.9	863.5125	514.0943	0	908.7829	556.8339	0	886.1477	535.4641	
449.6	869.1648	518.7983	0	901.8414	548.7348	0	885.5031	533.7666	
466.3	864.1440	524.6270	0	897.8625	559.5726	0	881.0032	542.0998	
482.9	870.2058	518.5878	0	902.9654	551.2235	0	886.5856	534.9057	
499.6	862.8270	523.0690	0	900.0231	563.0062	0	881.4251	543.0376	
516.2	869.7031	512.7066	0	898.5541	561.6902	0	884.1286	537.1984	
532.9	865.6891	517.9096	0	892.3912	552.7144	0	879.0401	535.3120	
549.5	868.1882	507.5377	0	894.7705	553.9425	0	881.4793	530.7401	
566.2	874.4512	527.6173	0	898.9816	553.2357	0	886.7164	540.4265	
582.8	1053.1556	447.2251	0	1093.2869	522.4078	0	1073.2212	484.8165	
599.5	1254.9214	343.0492	0	1239.0395	470.3353	0	1246.9804	406.6923	
616.2	1256.6060	333.8442	0	1233.2559	474.5115	0	1244.9309	404.1779	
632.8	1255.4814	338.2529	0	1245.8473	471.1088	0	1250.6644	404.6808	
649.4	1264.9366	332.9603	0	1235.1461	471.9343	0	1250.0413	402.4473	
666.2	1260.5106	333.9583	0	1242.4620	470.8136	0	1251.4863	402.3860	
682.8	1264.9381	331.7458	0	1242.9966	476.8789	0	1253.9674	404.3123	
699.4	1273.4603	321.1897	0	1241.4101	480.5080	0	1257.4352	400.8488	
716.0	1265.5755	336.5323	0	1247.8861	480.2978	0	1256.7308	408.4151	
732.8	1267.3295	330.6696	0	1254.1155	474.4000	0	1260.7225	402.5348	
749.4	1282.8972	338.8025	0	1251.1917	477.9042	0	1267.0444	408.3534	
766.0	1285.7850	331.7605	0	1248.2966	482.1336	0	1267.0408	406.9471	
782.6	1272.2660	328.6471	0	1241.8555	478.8975	0	1257.0608	403.7723	
799.4	1252.9892	367.8764	0	1255.4317	418.5992	0	1254.2104	393.2378	
816.0	1254.3825	368.0029	0	1282.6690	425.4465	0	1268.5258	396.7247	
832.6	1261.2158	353.2647	0	1273.1821	426.1803	0	1267.1989	389.7225	
849.2	1253.1498	369.9626	0	1256.5795	424.3985	0	1254.8646	397.1806	
866.0	1273.7142	371.3626	0	1264.8250	446.9775	0	1269.2696	409.1701	
882.6	1216.0632	403.6136	0	1232.9785	432.2368	0	1224.5209	417.9252	
899.2	1029.4329	500.0850	0	1077.6583	515.5547	0	1053.5456	507.8199	
915.9	840.1349	596.5728	0	898.8139	600.7654	0	869.4744	598.6691	
932.6	860.3625	603.4751	0	898.7308	604.6347	0	879.5466	604.0549	
949.2	865.7853	594.8226	0	896.8165	603.4824	0	881.3009	599.1525	
965.9	877.4337	606.4343	0	892.0396	615.6923	0	884.7366	611.0633	
982.5	858.9875	597.2352	0	881.6340	618.7074	0	870.3107	607.9713	
