Subject,Session,Trial,Time,Trial_Start,Trial_End,Dots_Shown,Dots_Counted,Score,Dot_Width,Dot_Height,dl_x,dl_y
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,668,810
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,498,796
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,1099,876
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,893,338
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,772,881
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,297,770
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,1071,1019
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,141,732
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,318,612
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,1081,830
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,245,77
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,564,84
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,814,290
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,1656,499
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,1627,410
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,969,563
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,1171,1013
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,730,272
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,261,1047
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,377,311
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,1508,876
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,421,267
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,1300,443
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,744,231
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,112,1007
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,355,734
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,833,669
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,1611,959
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,567,624
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,1081,136
lzb,2,0,0.3333333333333333,1524254169.694191,1524254170.029037,39,30,0.7692307692307692,8,8,384,271
