Recording date:	2018/04/20
Recording time:	15:55:39
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	992.0714	644.5748	0	947.0415	594.7540	0	969.5565	619.6644	
16.6	987.2603	623.7776	0	944.6687	628.3375	0	965.9645	626.0575	
33.2	998.9638	637.1401	0	937.6581	598.7295	0	968.3110	617.9348	
50.0	983.9980	627.0644	0	958.3531	610.0179	0	971.1755	618.5412	
66.6	990.2184	641.9548	0	952.8200	613.4519	0	971.5192	627.7034	
83.2	979.7617	632.8728	0	953.2577	599.9101	0	966.5097	616.3914	
99.9	969.5922	629.5073	0	939.7952	603.7762	0	954.6937	616.6417	
116.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
133.2	979.4870	624.1870	0	947.4454	613.6458	0	963.4662	618.9164	
149.8	978.3851	621.7964	0	954.7338	612.7203	0	966.5594	617.2583	
166.5	973.1244	602.0149	0	962.1255	614.8490	0	967.6250	608.4319	
183.2	979.6583	636.1133	0	949.0827	606.2458	0	964.3705	621.1796	
199.8	994.9127	636.5931	0	959.4728	608.6302	0	977.1927	622.6116	
216.5	994.9307	635.1692	0	953.7237	613.8780	0	974.3272	624.5236	
233.1	982.8387	634.0135	0	961.5854	605.5185	0	972.2120	619.7660	
249.8	995.0093	639.7682	0	938.7350	605.9899	0	966.8721	622.8791	
266.5	962.6320	533.0584	0	944.9354	494.0388	0	953.7837	513.5486	
283.1	950.2859	473.4913	0	908.5548	443.9492	0	929.4204	458.7203	
299.7	939.8708	427.1412	0	908.1339	407.1294	0	924.0023	417.1353	
316.4	938.1655	431.0575	0	903.3958	389.7551	0	920.7807	410.4063	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	999.2684	660.3088	0	951.6160	632.4643	0	975.4422	646.3865	
16.6	1000.0052	656.7692	0	949.9127	632.0436	0	974.9590	644.4064	
33.2	1005.1039	652.4635	0	950.7763	633.1317	0	977.9401	642.7976	
49.9	1004.9316	654.0182	0	949.7613	633.6487	0	977.3465	643.8334	
66.6	1002.5500	651.3570	0	948.4090	639.1986	0	975.4795	645.2778	
83.2	1004.0633	646.3902	0	951.4552	634.5197	0	977.7593	640.4549	
99.9	1007.1209	648.5613	0	951.0105	630.0901	0	979.0657	639.3257	
116.5	1003.7987	658.9522	0	953.7888	635.6201	0	978.7938	647.2862	
133.2	999.1156	661.8237	0	952.5641	633.1676	0	975.8399	647.4957	
149.9	1003.0866	660.9449	0	951.6817	627.4725	0	977.3841	644.2087	
166.5	999.5277	656.6800	0	951.6582	631.6262	0	975.5930	644.1531	
183.1	1001.3940	654.0843	0	950.7114	634.9899	0	976.0527	644.5371	
199.8	998.8193	654.8338	0	951.1069	634.8057	0	974.9631	644.8197	
216.5	1002.2237	655.2042	0	954.0829	640.4671	0	978.1533	647.8356	
233.1	1003.9007	658.0076	0	952.9881	639.8772	0	978.4444	648.9424	
249.7	1001.9664	653.9871	0	951.7844	639.3931	0	976.8754	646.6901	
266.5	1009.5365	654.0479	0	953.1779	640.8483	0	981.3572	647.4481	
283.1	1000.6466	653.4919	0	953.6100	636.8827	0	977.1283	645.1873	
299.7	998.9372	652.2692	0	953.5615	633.9560	0	976.2493	643.1126	
316.3	995.3975	653.1158	0	946.1947	640.4811	0	970.7961	646.7984	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	995.2581	644.8060	0	940.9825	623.1843	0	968.1203	633.9951	
16.6	993.4367	656.8317	0	943.5298	629.9480	0	968.4832	643.3899	
33.2	996.1863	645.9702	0	959.7687	616.5607	0	977.9775	631.2654	
49.9	999.9869	653.9639	0	942.0636	637.4792	0	971.0252	645.7215	
66.6	992.5702	634.0470	0	948.0800	627.1470	0	970.3251	630.5970	
83.2	1002.3751	645.2631	0	928.3250	624.8299	0	965.3501	635.0465	
99.9	995.4961	646.5420	0	943.1121	640.5990	0	969.3041	643.5705	
116.5	1000.0773	649.7821	0	940.5253	643.8776	0	970.3013	646.8298	
133.2	997.8495	653.8352	0	946.1653	616.9570	0	972.0074	635.3961	
149.8	999.6534	649.5405	0	949.3480	626.5036	0	974.5007	638.0221	
166.5	1002.0692	649.9564	0	937.6677	627.7471	0	969.8685	638.8518	
183.1	1002.9287	665.2551	0	939.1803	620.0751	0	971.0545	642.6651	
199.7	1012.1062	648.4907	0	951.9231	624.0956	0	982.0147	636.2931	
216.5	995.0769	646.4763	0	949.0866	618.5079	0	972.0818	632.4921	
233.1	998.7807	655.8899	0	949.9954	628.9651	0	974.3881	642.4275	
249.8	1007.2103	642.1793	0	936.9843	632.1283	0	972.0973	637.1538	
266.5	1002.7977	651.9363	0	962.6594	628.1709	0	982.7286	640.0536	
282.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
299.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
