Subject,Session,Trial,Time,Trial_Start,Trial_End,Dots_Shown,Dots_Counted,Score,Dot_Width,Dot_Height,dl_x,dl_y
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,1294,360
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,1321,975
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,558,675
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,42,982
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,1183,350
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,1583,570
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,1367,30
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,675,146
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,944,1007
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,329,664
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,1648,282
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,33,768
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,235,207
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,46,286
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,1589,638
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,260,132
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,1257,169
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,915,475
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,47,954
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,418,385
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,357,931
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,1104,138
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,428,912
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,1313,828
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,186,875
mcl,2,0,3.0,1523557398.181365,1523557401.181919,26,15,0.5769230769230769,8,8,387,1019
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,756,884
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,707,210
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,248,78
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,1284,71
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,256,169
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,1476,256
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,1655,907
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,288,372
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,319,386
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,750,564
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,941,858
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,524,118
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,1611,413
mcl,2,1,3.0,1523557413.160447,1523557416.167392,14,15,0.9285714285714286,8,8,1073,601
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1030,91
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1441,589
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,20,1059
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,620,729
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,780,519
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,426,584
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,265,193
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,735,378
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1705,703
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1461,75
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,561,238
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1334,879
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1442,99
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1477,774
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,316,243
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1561,649
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1093,29
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1599,525
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,417,55
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,451,468
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,776,600
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,874,61
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,994,26
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,214,916
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,927,990
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,774,911
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1081,618
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1050,335
mcl,2,2,3.0,1523557420.97449,1523557423.974917,29,26,0.896551724137931,8,8,1563,259
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1094,951
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1583,656
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,220,723
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,104,1009
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,301,407
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1249,986
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,203,910
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1035,248
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,495,602
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1494,452
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,610,454
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1689,92
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,421,934
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,741,216
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,169,888
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1696,263
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,868,173
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1601,618
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1338,413
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1000,876
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1070,639
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,334,144
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,809,928
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1642,120
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1251,835
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1151,238
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,714,133
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1675,879
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1055,434
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1051,376
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1267,505
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,728,268
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1261,102
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1465,894
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1309,870
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,280,1038
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,361,470
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,577,205
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1597,149
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,322,474
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,467,932
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1578,95
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,231,1057
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,393,102
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1396,459
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,200,43
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1630,553
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1064,195
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1502,236
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,136,569
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,875,1040
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1238,386
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,657,427
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1633,632
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,418,173
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1608,487
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1101,768
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,936,521
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,310,175
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1606,851
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,271,961
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1011,603
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1086,906
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1376,476
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1407,165
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,193,154
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1552,635
mcl,2,3,3.0,1523557429.817899,1523557432.82513,79,35,0.44303797468354433,8,8,1204,466
