Recording date:	2018/04/12
Recording time:	14:22:54
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	980.5053	578.3799	0	995.0930	604.8210	0	987.7992	591.6005	
16.6	964.7158	586.0242	0	992.6458	604.0476	0	978.6808	595.0359	
33.4	963.0340	593.1073	0	997.0104	601.0636	0	980.0222	597.0855	
50.0	978.7057	602.2137	0	1001.2786	595.0498	0	989.9922	598.6317	
66.6	965.7201	599.2434	0	1001.1631	594.8449	0	983.4416	597.0441	
83.2	971.4724	595.0723	0	993.3546	608.6961	0	982.4135	601.8842	
100.0	966.3438	600.7598	0	1006.7690	603.6816	0	986.5564	602.2207	
116.6	972.6555	593.9524	0	1000.4684	600.9595	0	986.5620	597.4560	
133.2	961.5194	581.5048	0	1012.5963	598.7409	0	987.0578	590.1229	
149.9	970.8876	594.1905	0	991.4698	606.3762	0	981.1787	600.2834	
166.6	977.0495	592.5843	0	999.9392	611.0628	0	988.4943	601.8235	
183.2	970.0397	592.8600	0	1006.7797	601.7329	0	988.4097	597.2964	
199.8	956.4964	589.2670	0	1004.5076	594.9392	0	980.5020	592.1031	
216.5	973.1372	588.9864	0	999.8798	596.8915	0	986.5085	592.9390	
233.2	967.5493	585.2869	0	994.0914	603.2036	0	980.8203	594.2453	
249.8	959.0216	589.1304	0	994.6980	614.7804	0	976.8598	601.9554	
266.5	898.8891	623.7416	0	923.6829	616.6965	0	911.2860	620.2190	
283.1	711.4176	671.2370	0	731.5203	681.8568	0	721.4689	676.5469	
299.8	509.3605	713.0429	0	524.7749	727.0661	0	517.0677	720.0545	
316.4	354.8629	797.0502	0	383.4039	821.8585	0	369.1334	809.4543	
333.1	341.2737	830.9909	0	369.6932	837.6334	0	355.4834	834.3122	
349.7	340.6427	825.5595	0	372.5409	845.9325	0	356.5918	835.7460	
366.4	349.0219	829.1469	0	370.5019	845.6790	0	359.7619	837.4129	
383.1	350.7344	830.8540	0	360.9840	834.5255	0	355.8592	832.6897	
399.7	341.7273	836.6006	0	358.1751	845.4752	0	349.9512	841.0379	
416.3	348.6139	839.8250	0	359.9147	855.0341	0	354.2643	847.4296	
433.1	348.6616	838.4124	0	354.5125	835.1843	0	351.5870	836.7984	
449.7	343.6871	865.0085	0	396.7835	811.9718	0	370.2353	838.4901	
466.3	361.0955	841.2775	0	379.4561	852.2077	0	370.2758	846.7426	
482.9	349.7964	840.8357	0	380.3967	851.2822	0	365.0966	846.0590	
499.7	330.8810	882.6293	0	353.3313	895.6640	0	342.1061	889.1466	
516.3	273.9910	965.5590	0	274.1756	959.6970	0	274.0833	962.6280	
532.9	245.8295	982.0413	0	282.9238	993.4948	0	264.3766	987.7681	
549.5	240.1727	988.3818	0	270.6739	994.4266	0	255.4233	991.4042	
566.3	245.1808	986.5820	0	266.8403	997.6304	0	256.0106	992.1062	
582.9	252.7765	980.1902	0	273.0216	991.6340	0	262.8990	985.9121	
599.5	251.1232	975.4979	0	273.7751	989.3364	0	262.4492	982.4172	
616.2	251.5540	986.4696	0	272.1800	979.9244	0	261.8670	983.1970	
632.9	284.1981	973.8032	0	322.6143	983.9722	0	303.4062	978.8877	
649.5	497.1346	866.4183	0	527.5556	876.1601	0	512.3451	871.2892	
666.1	710.4695	781.8763	0	723.4894	801.4966	0	716.9795	791.6864	
682.8	888.8888	634.8849	0	934.5586	650.1823	0	911.7237	642.5336	
699.5	1035.7899	532.5441	0	1069.9153	551.6497	0	1052.8526	542.0969	
716.1	1117.0771	438.5398	0	1152.2286	459.2560	0	1134.6529	448.8979	
732.8	1117.8927	435.1151	0	1155.3352	450.0829	0	1136.6139	442.5990	
749.4	1123.6928	433.0363	0	1155.0914	442.4620	0	1139.3921	437.7492	
766.1	1131.6569	432.8224	0	1149.6869	446.7090	0	1140.6719	439.7657	
782.8	1129.0362	428.0501	0	1147.1385	449.0611	0	1138.0873	438.5556	
799.4	1127.8506	424.9306	0	1149.3622	457.4978	0	1138.6064	441.2142	
816.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
832.8	1121.0495	418.5176	0	1157.1707	439.1072	0	1139.1101	428.8124	
849.4	1128.4375	435.5996	0	1155.5774	437.5672	0	1142.0074	436.5834	
866.0	1121.9123	427.2457	0	1147.6730	436.3263	0	1134.7926	431.7860	
882.6	1120.9016	414.6030	0	1150.7636	447.3305	0	1135.8326	430.9668	
899.4	1116.3734	425.8792	0	1149.8324	447.0076	0	1133.1029	436.4434	
916.0	980.2850	462.2076	0	1004.5488	454.6184	0	992.4169	458.4130	
932.6	780.7626	441.8593	0	829.4854	446.6208	0	805.1240	444.2401	
949.2	650.3595	443.6195	0	683.9754	438.0316	0	667.1674	440.8255	
966.0	528.0989	411.0791	0	568.1055	410.2510	0	548.1022	410.6650	
982.6	476.3722	394.8374	0	510.9671	387.8877	0	493.6697	391.3625	
999.2	470.3184	392.2949	0	487.2577	391.8152	0	478.7881	392.0550	
1015.8	468.3128	390.2481	0	486.5057	384.2023	0	477.4092	387.2252	
1032.6	472.5983	380.0663	0	496.9599	379.7177	0	484.7791	379.8920	
1049.2	466.8208	388.9962	0	495.6154	389.9049	0	481.2181	389.4506	
1065.8	541.5815	354.3848	0	578.4754	370.6896	0	560.0285	362.5372	
1082.5	680.4238	340.1253	0	710.1844	337.7930	0	695.3041	338.9591	
1099.2	829.9266	321.0300	0	871.3987	357.8043	0	850.6626	339.4171	
1115.8	965.2021	331.7144	0	986.8443	349.4921	0	976.0232	340.6033	
1132.4	1099.3348	338.4051	0	1135.2667	355.3958	0	1117.3007	346.9005	
1149.1	1213.6124	338.5913	0	1238.1208	363.1266	0	1225.8666	350.8590	
1165.8	1201.3462	346.9138	0	1246.1653	356.0774	0	1223.7558	351.4956	
1182.4	1230.6060	343.4325	0	1260.6026	338.1323	0	1245.6043	340.7824	
1199.1	1224.0364	337.0414	0	1244.7693	344.0876	0	1234.4028	340.5645	
1215.7	1224.5632	337.2731	0	1253.1616	346.6513	0	1238.8624	341.9622	
1232.4	1224.7834	340.2784	0	1260.4227	349.6314	0	1242.6030	344.9549	
1249.1	1251.2383	333.3146	0	1286.1953	349.5458	0	1268.7168	341.4302	
1265.7	1436.4135	343.9226	0	1460.3291	343.0129	0	1448.3713	343.4678	
1282.3	1551.7189	323.2022	0	1589.5557	342.4423	0	1570.6373	332.8223	
1299.0	1564.1426	324.9436	0	1588.8403	335.3971	0	1576.4914	330.1703	
1315.7	1546.7872	311.8407	0	1595.9589	337.0977	0	1571.3731	324.4692	
1332.3	1554.9313	312.7979	0	1597.5889	347.1227	0	1576.2601	329.9603	
1348.9	1555.4665	320.6892	0	1597.2384	347.8223	0	1576.3524	334.2557	
1365.7	1569.2376	314.6783	0	1595.2187	334.9534	0	1582.2281	324.8158	
1382.3	1562.4889	336.4123	0	1600.2367	338.7952	0	1581.3628	337.6038	
1398.9	1565.3484	336.8027	0	1601.2641	348.9550	0	1583.3062	342.8789	
1415.5	1570.0875	330.1317	0	1599.5123	348.1489	0	1584.7999	339.1403	
1432.3	1555.5946	324.7977	0	1601.4109	354.4608	0	1578.5027	339.6292	
1448.9	1554.1071	325.9785	0	1601.7923	358.1389	0	1577.9497	342.0587	
1465.5	1355.8186	375.6424	0	1408.7511	379.9516	0	1382.2849	377.7970	
1482.1	1160.3609	425.7464	0	1209.0564	423.8902	0	1184.7086	424.8183	
1498.9	1034.6218	449.8719	0	1079.9635	453.7586	0	1057.2927	451.8152	
1515.5	1034.9953	456.3222	0	1074.8793	456.6477	0	1054.9373	456.4850	
1532.1	1045.0413	456.0787	0	1055.3372	456.2643	0	1050.1893	456.1715	
1548.7	1018.3322	437.0291	0	1055.5495	457.0890	0	1036.9408	447.0591	
1565.5	1015.1283	450.5502	0	1062.6913	458.4806	0	1038.9098	454.5154	
1582.1	1025.9726	448.9337	0	1057.2351	461.4561	0	1041.6039	455.1949	
1598.7	1022.2712	441.5341	0	1058.6676	440.9086	0	1040.4694	441.2213	
1615.4	1019.7261	449.7629	0	1061.2461	454.3500	0	1040.4861	452.0565	
1632.1	1021.9459	449.6819	0	1056.7438	443.6664	0	1039.3449	446.6742	
1648.7	1017.4967	432.9739	0	1068.6635	455.6388	0	1043.0801	444.3064	
1665.4	1022.4833	451.5132	0	1059.6460	443.2878	0	1041.0646	447.4005	
1682.0	1011.9054	438.0097	0	1052.8469	450.8503	0	1032.3762	444.4300	
1698.7	1011.1954	452.1362	0	1057.9679	458.8504	0	1034.5816	455.4933	
1715.4	1012.1793	451.5461	0	1049.7316	448.1700	0	1030.9555	449.8581	
1732.0	1022.4789	458.7166	0	1057.4285	449.6987	0	1039.9537	454.2077	
1748.6	1024.8063	443.6626	0	1047.9543	446.6006	0	1036.3803	445.1316	
1765.3	1014.0662	445.3799	0	1051.3439	454.4551	0	1032.7051	449.9175	
1782.0	1018.9299	456.5626	0	1054.8126	463.0284	0	1036.8713	459.7955	
1798.6	1021.8438	450.5538	0	1050.0075	460.6411	0	1035.9256	455.5975	
1815.2	1019.9125	448.2800	0	1051.8629	463.9344	0	1035.8877	456.1072	
1832.0	1020.2860	453.3305	0	1057.6230	461.7623	0	1038.9545	457.5464	
1848.6	1033.1039	519.0110	0	1069.9190	534.8139	0	1051.5115	526.9124	
1865.2	986.8950	562.8125	0	1029.7308	585.3185	0	1008.3129	574.0655	
