Recording date:	2018/04/13
Recording time:	17:01:27
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	820.0364	488.0302	0	844.5887	471.9993	0	832.3126	480.0147	
16.7	826.6357	489.5272	0	846.2540	484.6014	0	836.4448	487.0643	
33.4	862.4560	517.5652	0	875.8994	525.2343	0	869.1777	521.3997	
50.0	884.2800	526.0726	0	914.7232	545.5734	0	899.5016	535.8230	
66.6	885.5702	527.7573	0	915.7343	574.5295	0	900.6522	551.1434	
83.4	897.3311	538.1001	0	901.7301	546.7032	0	899.5306	542.4016	
100.0	886.4248	542.6078	0	909.0804	548.4083	0	897.7526	545.5080	
116.6	889.4102	531.5198	0	901.1398	565.6912	0	895.2750	548.6055	
133.2	884.3989	542.1779	0	903.5897	536.1269	0	893.9943	539.1524	
150.0	885.2537	549.8995	0	916.6465	530.9192	0	900.9501	540.4093	
166.6	886.0078	553.4814	0	907.5900	535.7212	0	896.7989	544.6013	
183.2	887.3306	550.9785	0	909.3635	537.8736	0	898.3471	544.4261	
199.8	903.7243	557.8164	0	903.7858	531.3282	0	903.7551	544.5723	
216.6	819.4393	489.8873	0	862.6997	486.4249	0	841.0695	488.1561	
233.2	823.2903	426.4760	0	849.5131	447.1583	0	836.4017	436.8172	
249.8	819.9584	428.0914	0	843.5852	445.4349	0	831.7718	436.7632	
266.5	824.6991	430.6397	0	839.1287	442.9083	0	831.9139	436.7740	
283.2	817.8023	436.3242	0	853.5213	445.8828	0	835.6618	441.1035	
299.8	813.9982	434.9699	0	835.4767	455.1060	0	824.7374	445.0379	
316.4	809.2342	446.1928	0	835.9535	438.2353	0	822.5939	442.2140	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	966.4339	603.7613	0	975.0223	600.9277	0	970.7281	602.3445	
16.6	978.3814	609.5447	0	986.4961	613.6066	0	982.4387	611.5757	
33.2	982.1742	616.7372	0	977.3366	631.3802	0	979.7554	624.0587	
50.0	969.0469	607.3815	0	967.9882	606.1143	0	968.5176	606.7479	
66.6	968.8093	625.8990	0	978.5240	630.0890	0	973.6666	627.9940	
83.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
99.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
116.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
133.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
149.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
166.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
183.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
