Recording date:	2018/06/14
Recording time:	16:47:12
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	978.2707	601.8529	0	963.8308	590.0187	0	971.0508	595.9358	
16.6	926.6619	612.4046	0	996.5831	678.7285	0	961.6225	645.5666	
33.2	969.7814	622.0131	0	971.3209	627.4450	0	970.5511	624.7291	
50.0	958.0115	661.0263	0	976.8537	708.9611	0	967.4326	684.9937	
66.6	958.2284	540.7589	0	957.5500	605.0362	0	957.8892	572.8975	
83.2	966.1660	602.3381	0	941.2030	627.3840	0	953.6845	614.8610	
99.9	961.3791	566.7344	0	973.7114	610.2405	0	967.5453	588.4874	
116.6	988.9941	629.5672	0	986.0664	571.8784	0	987.5303	600.7228	
133.2	1033.7508	622.3878	0	1039.2386	587.4609	0	1036.4947	604.9244	
149.9	1037.1832	568.0560	0	1042.7343	658.4847	0	1039.9588	613.2703	
166.5	1126.6761	542.1892	0	1037.3809	637.7303	0	1082.0285	589.9597	
183.2	1224.4816	592.9048	0	992.3440	583.7562	0	1108.4128	588.3305	
199.9	1122.1985	549.7488	0	996.4757	607.2338	0	1059.3371	578.4913	
216.5	-1.0000	-1.0000	4	1083.5418	671.2416	0	0.5643	0.5594	
233.1	1126.7373	493.1230	0	890.1450	686.0495	0	1008.4412	589.5863	
249.8	1103.1719	614.8582	0	1015.3548	664.4191	0	1059.2634	639.6387	
266.5	1117.8332	530.3577	0	1006.6489	614.5602	0	1062.2410	572.4589	
283.1	1052.2656	547.1392	0	950.9804	570.5519	0	1001.6230	558.8456	
299.7	-1.0000	-1.0000	4	887.5653	487.7374	0	0.4623	0.4064	
316.5	837.6401	503.8703	0	841.8610	463.6258	0	839.7505	483.7481	
333.1	769.6964	460.6040	0	842.2089	379.2660	0	805.9526	419.9350	
349.7	809.1614	422.5130	0	818.2593	433.0266	0	813.7103	427.7698	
366.3	795.8270	398.4246	0	821.1744	437.8812	0	808.5007	418.1529	
383.1	818.1778	415.7285	0	813.4556	369.5797	0	815.8167	392.6541	
399.7	729.1039	399.7384	0	767.7347	423.6921	0	748.4193	411.7152	
416.3	839.8548	391.1760	0	769.9713	405.2336	0	804.9131	398.2048	
432.9	779.5069	384.1810	0	857.0614	455.5947	0	818.2842	419.8878	
449.7	795.0629	401.8605	0	797.4185	480.3110	0	796.2407	441.0858	
466.3	831.2329	395.7800	0	763.8406	526.0521	0	797.5367	460.9161	
482.9	717.0581	398.2109	0	849.4466	523.5455	0	783.2524	460.8782	
499.5	914.3732	386.2497	0	884.6553	463.5291	0	899.5142	424.8894	
516.3	849.2037	413.4993	0	907.0722	548.4354	0	878.1379	480.9674	
532.9	902.8382	393.7855	0	827.4847	471.3659	0	865.1615	432.5757	
549.5	915.6791	241.4325	0	809.9186	430.3897	0	862.7988	335.9111	
566.2	926.7056	439.6536	0	940.5556	389.5611	0	933.6306	414.6073	
582.9	1033.6275	451.4432	0	1058.2605	545.0435	0	1045.9440	498.2433	
599.5	1098.1290	420.7882	0	1045.9518	508.0694	0	1072.0404	464.4288	
616.2	1033.7433	462.5579	0	966.4444	504.9836	0	1000.0938	483.7708	
632.8	1032.2090	446.2166	0	967.8363	521.2457	0	1000.0226	483.7312	
649.5	1010.8008	401.6056	0	952.2755	474.7352	0	981.5382	438.1704	
666.1	1017.7518	423.0054	0	1002.2667	522.0174	0	1010.0092	472.5114	
682.8	1016.5149	450.7380	0	1038.2744	537.2862	0	1027.3947	494.0121	
699.4	1003.5404	489.3926	0	1022.2005	550.6002	0	1012.8705	519.9964	
716.1	998.3942	391.1272	0	1118.1112	524.2370	0	1058.2527	457.6821	
732.8	1015.4371	484.6097	0	-1.0000	-1.0000	4	0.5289	0.4038	
749.4	1047.5725	453.2209	0	1012.2290	497.1110	0	1029.9007	475.1659	
766.0	931.4951	429.8091	0	1064.5969	497.0639	0	998.0460	463.4365	
782.8	1105.4667	482.1268	0	997.4164	622.7658	0	1051.4415	552.4463	
799.4	979.1643	435.7562	0	1016.4289	537.5506	0	997.7966	486.6534	
816.0	1076.6873	331.0349	0	1144.6755	500.8205	0	1110.6814	415.9277	
832.6	1097.8817	532.2969	0	1077.2998	528.2536	0	1087.5908	530.2753	
849.4	1265.8541	412.4829	0	1253.7539	491.2458	0	1259.8040	451.8643	
866.0	1095.5711	458.0280	0	1156.4192	556.9293	0	1125.9952	507.4787	
882.6	-1.0000	-1.0000	4	1151.5715	451.5066	0	0.5998	0.3763	
899.2	1100.7425	431.5529	0	1131.1911	480.4685	0	1115.9668	456.0107	
916.0	1055.4249	455.4125	0	1123.2823	515.2374	0	1089.3536	485.3250	
932.6	1084.3181	500.3526	0	1131.4986	508.1809	0	1107.9084	504.2667	
949.2	1061.3159	466.9711	0	1202.4563	449.2174	0	1131.8861	458.0943	
965.8	1067.5098	487.5110	0	1176.3962	418.1954	0	1121.9530	452.8532	
982.6	1096.0175	495.5092	0	1148.9598	447.7429	0	1122.4886	471.6260	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	980.6725	528.2221	0	983.9338	652.1032	0	982.3032	590.1626	
16.6	990.3106	498.0517	0	973.3503	609.8719	0	981.8304	553.9618	
33.4	1018.3751	600.6730	0	1102.8451	579.2234	0	1060.6101	589.9482	
50.0	1068.3749	609.1401	0	1109.1677	620.8683	0	1088.7713	615.0042	
66.6	1060.1523	617.6199	0	1083.8060	654.0436	0	1071.9791	635.8317	
83.2	1074.9447	608.8193	0	1076.8341	707.3858	0	1075.8894	658.1025	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	968.8771	655.9025	0	964.9394	675.2584	0	966.9082	665.5805	
16.7	936.8321	610.6402	0	941.8861	645.0538	0	939.3591	627.8470	
33.4	953.1450	635.8158	0	886.9076	622.2895	0	920.0263	629.0527	
50.0	947.3858	694.7306	0	-1.0000	-1.0000	4	0.4934	0.5789	
66.6	966.0412	630.8592	0	949.3400	626.3683	0	957.6906	628.6137	
83.4	946.1333	608.0987	0	938.4928	664.2779	0	942.3130	636.1883	
100.0	959.3198	650.6638	0	916.8638	673.7200	0	938.0918	662.1919	
116.6	956.6797	710.4525	0	967.5651	656.8447	0	962.1224	683.6486	
133.2	977.4569	551.2396	0	960.4831	690.1493	0	968.9700	620.6945	
150.0	880.2752	635.7533	0	917.5661	662.8686	0	898.9206	649.3109	
166.6	922.0850	644.1410	0	895.0144	642.7049	0	908.5497	643.4229	
183.2	951.4541	664.2116	0	911.3649	647.5181	0	931.4095	655.8648	
199.8	954.9491	574.9155	0	1021.4982	712.1240	0	988.2237	643.5197	
216.6	1037.5329	609.5120	0	958.5633	662.3833	0	998.0481	635.9477	
233.2	1003.9958	530.6144	0	1023.1140	670.1696	0	1013.5549	600.3920	
249.8	1028.1341	430.0556	0	997.0066	679.7906	0	1012.5703	554.9231	
266.4	938.5631	645.6482	0	1001.1461	675.8512	0	969.8546	660.7497	
283.2	1352.5265	664.9442	0	941.4226	721.0881	0	1146.9746	693.0162	
299.8	985.8747	538.2659	0	1033.8943	700.6353	0	1009.8845	619.4506	
316.4	961.4467	634.2044	0	983.0931	703.2622	0	972.2699	668.7333	
333.1	1249.9607	665.8308	0	981.2645	670.2453	0	1115.6126	668.0380	
349.8	1371.3402	617.2425	0	951.7803	669.1009	0	1161.5602	643.1717	
366.4	1203.3084	455.8067	0	978.9055	617.7315	0	1091.1069	536.7691	
383.0	868.2460	553.8341	0	935.9011	632.8881	0	902.0735	593.3611	
399.7	933.4026	612.2369	0	868.8002	564.1550	0	901.1014	588.1959	
416.4	847.3013	626.7799	0	902.2548	667.8437	0	874.7781	647.3118	
433.0	923.8969	619.5333	0	969.7658	685.3433	0	946.8313	652.4383	
449.7	945.5594	648.5830	0	980.4007	674.2756	0	962.9801	661.4293	
466.3	974.8654	612.1045	0	955.8535	656.7029	0	965.3594	634.4037	
483.0	896.0691	621.1227	0	948.6158	621.6626	0	922.3425	621.3927	
499.7	932.8735	607.8747	0	1000.0367	636.9016	0	966.4551	622.3881	
516.3	991.6716	595.5864	0	910.0335	676.6847	0	950.8526	636.1356	
532.9	900.2516	614.6662	0	975.9329	672.8394	0	938.0923	643.7528	
549.6	927.7507	542.4775	0	927.4474	502.2633	0	927.5991	522.3704	
566.3	1006.5922	573.6420	0	1006.6596	634.2086	0	1006.6259	603.9253	
582.9	1023.0793	518.2437	0	1055.2710	629.2293	0	1039.1751	573.7365	
599.5	943.2909	544.8757	0	974.7334	634.7212	0	959.0122	589.7985	
616.3	1080.7325	464.8258	0	1008.2902	597.9034	0	1044.5114	531.3646	
632.9	1012.9458	482.9722	0	963.1909	659.7831	0	988.0683	571.3776	
649.5	986.9522	637.1476	0	1021.8672	682.3589	0	1004.4097	659.7533	
