Recording date:	2018/08/22
Recording time:	15:53:28
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	973.5290	610.1894	0	958.2423	613.1777	0	965.8857	611.6836	
16.7	956.8247	618.5275	0	965.6357	615.8291	0	961.2302	617.1783	
33.4	970.2630	608.8428	0	967.3610	620.0581	0	968.8120	614.4504	
50.0	964.6103	606.9591	0	963.5847	615.3073	0	964.0975	611.1332	
66.6	958.7345	617.0356	0	974.7743	620.4518	0	966.7544	618.7437	
83.2	969.5848	608.7689	0	965.3221	614.1948	0	967.4534	611.4818	
99.9	957.2952	610.8562	0	973.9535	616.5020	0	965.6243	613.6791	
116.6	965.8601	607.5815	0	959.1936	628.0015	0	962.5268	617.7915	
133.2	963.2293	611.7691	0	978.1891	623.5538	0	970.7092	617.6614	
149.9	960.1929	612.7749	0	966.9881	632.5553	0	963.5905	622.6651	
166.5	966.6192	620.8718	0	967.8681	621.3768	0	967.2437	621.1243	
183.2	943.4848	612.9388	0	972.8288	631.6116	0	958.1568	622.2752	
199.8	972.7722	611.5954	0	961.7014	632.0198	0	967.2368	621.8076	
216.6	969.3198	616.9770	0	963.9156	633.7167	0	966.6177	625.3468	
233.2	974.7803	606.0510	0	970.5479	628.0340	0	972.6641	617.0425	
249.8	956.8742	594.8569	0	973.4614	608.3327	0	965.1678	601.5948	
266.5	943.6103	501.8933	0	959.9218	517.8264	0	951.7660	509.8598	
283.1	923.0295	330.2202	0	949.0261	372.4828	0	936.0278	351.3515	
299.7	920.0161	323.6555	0	942.1912	371.2412	0	931.1037	347.4483	
316.4	939.8633	315.8011	0	934.2714	364.9835	0	937.0673	340.3923	
332.9	935.7491	323.1474	0	934.7123	364.7130	0	935.2307	343.9302	
349.7	939.2667	319.0998	0	927.0601	366.4899	0	933.1634	342.7948	
366.3	914.3121	354.6959	0	931.2607	348.6378	0	922.7864	351.6669	
382.9	918.8105	356.5968	0	923.1847	347.5652	0	920.9976	352.0810	
399.7	918.4665	357.1014	0	926.1957	336.8373	0	922.3311	346.9693	
416.3	923.4844	351.2243	0	926.1854	338.2239	0	924.8349	344.7241	
432.9	921.3089	349.3672	0	927.8949	340.8320	0	924.6019	345.0996	
449.7	924.8114	359.8416	0	922.3053	341.0058	0	923.5583	350.4237	
466.3	880.5367	384.1433	0	889.6767	357.2011	0	885.1067	370.6722	
