Recording date:	2018/04/13
Recording time:	13:27:42
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	952.2382	559.2708	0	957.3611	569.3090	0	954.7997	564.2899	
16.7	955.3701	563.2380	0	951.0434	574.8016	0	953.2067	569.0198	
33.4	953.8561	558.0150	0	960.5698	567.5672	0	957.2129	562.7911	
50.0	965.2762	567.1145	0	958.1278	572.3849	0	961.7020	569.7497	
66.6	963.7760	564.1113	0	951.6923	562.3151	0	957.7342	563.2132	
83.4	970.3425	563.3412	0	957.2972	569.8466	0	963.8199	566.5939	
100.0	962.6439	566.5736	0	946.4512	571.2086	0	954.5476	568.8911	
116.6	959.1233	556.4680	0	957.0601	575.7785	0	958.0917	566.1232	
133.2	956.8685	555.4412	0	957.6919	566.2898	0	957.2802	560.8655	
150.0	955.8706	559.2536	0	954.8929	564.5450	0	955.3818	561.8993	
166.6	952.0157	563.0020	0	950.8768	569.9625	0	951.4462	566.4823	
183.2	956.3519	558.8872	0	962.6058	564.7410	0	959.4788	561.8141	
199.8	963.8751	566.1024	0	953.5747	570.4369	0	958.7249	568.2697	
216.6	947.7765	559.5337	0	961.2670	559.6771	0	954.5218	559.6054	
233.2	881.8639	468.4282	0	898.2114	483.8323	0	890.0377	476.1303	
249.8	816.2388	393.9485	0	843.1967	407.3342	0	829.7177	400.6414	
266.5	834.7945	390.6911	0	843.2373	405.7652	0	839.0159	398.2282	
283.2	834.6222	389.7530	0	837.4502	396.7968	0	836.0362	393.2749	
299.8	830.3731	383.3786	0	833.5975	396.1491	0	831.9853	389.7638	
316.5	829.3334	385.1028	0	831.4738	403.2400	0	830.4036	394.1714	
333.1	823.8208	380.6239	0	831.8465	400.4709	0	827.8336	390.5474	
349.8	823.3827	398.4957	0	843.0249	399.9937	0	833.2038	399.2447	
366.4	824.5817	393.0421	0	835.4604	403.2962	0	830.0211	398.1691	
383.1	823.8109	383.0076	0	836.7380	401.1797	0	830.2744	392.0937	
399.7	837.3728	387.2028	0	842.0373	407.4492	0	839.7051	397.3260	
416.4	830.3398	393.7964	0	833.0764	400.1957	0	831.7081	396.9961	
433.1	828.1587	382.7579	0	828.9947	408.7890	0	828.5767	395.7735	
449.7	830.4098	393.0298	0	822.2763	400.7189	0	826.3430	396.8744	
466.3	837.8111	397.6141	0	835.4686	407.6105	0	836.6398	402.6123	
483.1	835.7075	390.1174	0	838.9310	404.6771	0	837.3193	397.3972	
499.7	822.0434	382.2710	0	832.3534	397.7218	0	827.1984	389.9964	
516.3	829.5698	390.4323	0	841.5663	403.8088	0	835.5680	397.1205	
532.9	842.2459	382.9496	0	833.4225	397.9974	0	837.8342	390.4735	
549.7	833.3421	394.3694	0	834.1904	399.7732	0	833.7663	397.0713	
566.3	831.1740	387.1186	0	846.0728	391.4882	0	838.6234	389.3034	
582.9	813.3188	296.7837	0	825.8496	322.5600	0	819.5842	309.6718	
599.5	771.2326	245.3188	0	781.9171	252.7768	0	776.5748	249.0478	
616.3	755.1578	228.6375	0	760.7802	235.4378	0	757.9690	232.0377	
632.9	758.8451	230.2161	0	760.0708	239.8829	0	759.4580	235.0495	
649.5	764.6466	231.1219	0	761.2500	231.0672	0	762.9483	231.0946	
666.2	762.2805	234.1211	0	758.6206	237.4922	0	760.4506	235.8067	
682.9	769.0033	233.5771	0	768.0607	233.9472	0	768.5320	233.7622	
699.5	762.3797	240.9685	0	759.5426	227.7882	0	760.9611	234.3784	
716.1	756.0023	231.7441	0	769.1774	233.7143	0	762.5899	232.7292	
732.8	755.8355	222.2060	0	767.6450	238.2567	0	761.7402	230.2314	
749.5	750.7720	224.6846	0	762.3094	239.7387	0	756.5407	232.2117	
766.1	621.4283	171.7063	0	658.8098	205.5285	0	640.1190	188.6174	
782.8	546.2872	145.6320	0	565.6136	182.0931	0	555.9504	163.8626	
799.4	548.7073	157.6877	0	566.3563	182.1645	0	557.5318	169.9261	
816.1	546.5790	153.8695	0	561.3939	185.4790	0	553.9864	169.6742	
832.8	556.0073	156.3101	0	570.7589	184.8177	0	563.3831	170.5639	
849.4	545.0641	151.9959	0	565.7125	185.5042	0	555.3883	168.7500	
866.0	550.3316	154.0284	0	564.3105	176.0424	0	557.3210	165.0354	
882.7	554.3661	152.9469	0	571.2228	183.0915	0	562.7944	168.0192	
899.4	538.3235	147.7165	0	569.7805	177.4838	0	554.0520	162.6001	
916.0	551.3295	158.3836	0	555.0973	177.7500	0	553.2134	168.0668	
932.6	564.1749	165.3646	0	563.0339	175.1890	0	563.6044	170.2768	
949.4	562.8704	137.6159	0	587.8006	165.0533	0	575.3355	151.3346	
966.0	539.1809	201.4032	0	529.8461	188.8523	0	534.5135	195.1277	
982.6	472.7927	192.9739	0	475.0094	196.2623	0	473.9010	194.6181	
999.2	461.6351	186.5449	0	479.5033	192.4644	0	470.5692	189.5046	
1016.0	470.8840	190.9401	0	477.4110	186.5728	0	474.1475	188.7564	
1032.6	473.7878	194.3910	0	469.8978	191.0292	0	471.8428	192.7101	
1049.2	475.5205	184.3326	0	479.2825	197.6945	0	477.4015	191.0136	
1065.8	470.2237	189.2362	0	488.3494	190.9939	0	479.2865	190.1150	
1082.6	478.0316	201.9179	0	477.6261	196.0953	0	477.8288	199.0066	
1099.2	472.7822	193.2859	0	483.1033	208.7345	0	477.9427	201.0102	
1115.8	474.5225	198.1365	0	478.5584	195.1405	0	476.5404	196.6385	
1132.5	464.5388	188.3564	0	479.3842	198.1197	0	471.9615	193.2381	
1149.2	475.0359	191.9957	0	481.6959	198.1743	0	478.3659	195.0850	
1165.8	466.8060	193.6192	0	474.3734	205.6023	0	470.5897	199.6108	
1182.4	472.6996	204.2951	0	485.3620	199.1315	0	479.0308	201.7133	
1199.1	476.2898	193.4991	0	482.3357	197.4486	0	479.3127	195.4738	
1215.8	472.2900	203.0021	0	474.1580	193.1605	0	473.2240	198.0813	
1232.5	469.1774	198.8079	0	480.1976	194.4446	0	474.6875	196.6263	
1249.1	473.0437	188.6793	0	472.5516	191.7928	0	472.7976	190.2361	
1265.7	471.8257	202.3985	0	480.1866	187.6172	0	476.0062	195.0078	
1282.4	454.7360	179.6758	0	480.9978	190.0396	0	467.8669	184.8577	
1299.1	464.2561	192.4159	0	474.3016	201.8495	0	469.2788	197.1327	
1315.7	488.5618	202.1364	0	484.7954	198.6686	0	486.6786	200.4025	
1332.3	519.9424	201.4426	0	538.2436	207.8709	0	529.0930	204.6568	
1349.0	561.7477	235.7850	0	584.1323	220.6515	0	572.9400	228.2182	
1365.7	564.7888	225.3801	0	582.8984	217.9654	0	573.8436	221.6728	
1382.3	561.7082	226.8177	0	584.6514	215.2956	0	573.1798	221.0567	
1398.9	566.3303	221.3639	0	567.6931	224.7625	0	567.0117	223.0632	
1415.7	557.3613	214.5406	0	577.0590	213.7789	0	567.2101	214.1598	
1432.3	568.9519	221.2992	0	587.7698	217.3859	0	578.3608	219.3425	
1448.9	567.1052	225.0247	0	585.1252	225.8038	0	576.1152	225.4143	
1465.5	566.5491	221.5060	0	579.0724	225.9819	0	572.8108	223.7439	
1482.3	574.3498	224.3928	0	583.6111	223.4994	0	578.9804	223.9461	
1498.9	605.3936	229.4546	0	609.7072	193.4174	0	607.5504	211.4360	
1515.5	606.2672	228.9720	0	599.6043	191.3526	0	602.9357	210.1623	
1532.1	597.5740	227.8822	0	604.7794	204.6189	0	601.1767	216.2506	
1548.9	612.6211	224.9443	0	605.6910	208.5655	0	609.1560	216.7549	
1565.5	601.9336	229.6226	0	602.2126	197.9972	0	602.0731	213.8099	
1582.1	620.1882	233.5966	0	607.0743	201.9856	0	613.6313	217.7911	
1598.8	606.8962	227.0536	0	611.2218	198.4759	0	609.0590	212.7648	
1615.5	600.4266	223.7511	0	612.1909	199.1122	0	606.3087	211.4316	
1632.1	595.6626	220.6577	0	607.2613	203.5269	0	601.4619	212.0923	
1648.8	601.6695	226.8489	0	612.3242	198.4504	0	606.9969	212.6497	
1665.4	601.9251	228.4729	0	614.9096	200.9992	0	608.4174	214.7360	
1682.1	610.8170	229.9442	0	612.6107	205.9142	0	611.7138	217.9292	
1698.7	605.6486	221.2301	0	620.3823	173.8916	0	613.0154	197.5608	
1715.4	603.6234	226.3119	0	604.9814	183.9509	0	604.3024	205.1314	
1732.0	611.5253	221.0644	0	611.3798	185.1721	0	611.4526	203.1183	
1748.7	609.8762	231.5344	0	601.7276	188.5957	0	605.8019	210.0650	
1765.4	608.6882	213.0457	0	602.7622	185.1602	0	605.7252	199.1030	
1782.0	620.9690	227.5590	0	606.8676	181.0487	0	613.9183	204.3038	
1798.6	610.1340	220.8771	0	603.8474	187.7077	0	606.9907	204.2924	
1815.4	610.6031	215.6792	0	602.2770	193.1389	0	606.4400	204.4091	
1832.0	661.3610	210.7278	0	700.0525	189.4985	0	680.7067	200.1132	
1848.6	790.0870	218.3261	0	856.5204	176.2422	0	823.3037	197.2842	
1865.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1882.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1898.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1915.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1931.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1948.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1965.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1981.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
1998.4	955.3793	544.4682	0	966.6769	540.5369	0	961.0281	542.5025	
2015.2	968.3462	545.4317	0	965.3227	538.7172	0	966.8344	542.0744	
2031.8	968.6104	547.0757	0	968.6335	539.5769	0	968.6219	543.3263	
2048.4	968.6206	542.6530	0	963.5464	540.4925	0	966.0835	541.5728	
2065.1	968.5339	543.2245	0	968.2811	537.5199	0	968.4075	540.3722	
2081.8	962.5396	546.2698	0	954.1196	543.6731	0	958.3296	544.9714	
2098.4	959.5265	538.4115	0	967.6289	535.5345	0	963.5777	536.9730	
2115.1	951.7686	536.7236	0	961.1170	535.8315	0	956.4428	536.2775	
2131.7	960.6792	537.9979	0	950.0343	539.7613	0	955.3568	538.8796	
2148.4	959.2906	538.3291	0	956.8038	538.1979	0	958.0472	538.2635	
2165.0	957.7192	539.1117	0	959.1851	537.9054	0	958.4522	538.5086	
2181.7	958.7664	533.4970	0	958.4989	537.8453	0	958.6326	535.6711	
2198.3	966.8863	498.0703	0	979.8851	507.5012	0	973.3857	502.7858	
2215.0	954.6674	474.9570	0	968.3177	482.0515	0	961.4925	478.5042	
2231.7	960.2303	471.9118	0	969.7312	476.0504	0	964.9807	473.9811	
2248.3	959.5629	481.3010	0	963.7172	478.3546	0	961.6401	479.8278	
2264.9	960.9201	476.4187	0	966.4537	490.2387	0	963.6869	483.3287	
2281.7	965.6107	483.5762	0	968.1690	491.5356	0	966.8899	487.5559	
2298.3	962.8223	479.8637	0	965.3423	481.8382	0	964.0823	480.8509	
