Recording date:	2018/06/29
Recording time:	13:39:24
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	942.0286	606.3190	0	947.8892	624.7882	0	944.9589	615.5536	
16.7	931.1469	592.5597	0	949.5945	635.9059	0	940.3707	614.2328	
33.4	938.2522	591.3826	0	945.2035	620.8547	0	941.7278	606.1187	
50.0	932.0052	596.0903	0	947.0366	621.4405	0	939.5209	608.7654	
66.6	943.0762	599.3977	0	949.9091	578.4948	0	946.4927	588.9463	
83.4	937.9727	609.3228	0	950.2927	630.1097	0	944.1327	619.7162	
100.0	937.7110	603.5292	0	953.2697	641.6973	0	945.4904	622.6132	
116.6	938.7723	606.4839	0	943.6483	635.0005	0	941.2103	620.7422	
133.2	942.8263	608.9889	0	937.4012	645.5251	0	940.1138	627.2570	
150.0	929.2937	602.3303	0	946.3651	638.3028	0	937.8294	620.3166	
166.6	945.6533	592.8845	0	965.2220	627.2051	0	955.4376	610.0448	
183.2	943.7079	594.1745	0	959.1363	630.2528	0	951.4221	612.2136	
199.8	931.5761	589.2513	0	939.2162	638.5888	0	935.3961	613.9200	
216.6	952.8056	586.9563	0	954.1138	631.2043	0	953.4597	609.0803	
233.2	918.8416	603.1193	0	947.5057	629.8936	0	933.1736	616.5064	
249.8	937.4127	607.6762	0	936.3249	619.2346	0	936.8688	613.4554	
266.5	937.2411	610.5053	0	933.8440	614.2229	0	935.5426	612.3641	
283.2	935.3661	618.4754	0	935.9910	623.8107	0	935.6786	621.1431	
299.8	933.2707	616.9129	0	904.4448	621.3305	0	918.8578	619.1217	
316.5	699.8430	565.8605	0	667.9104	600.2951	0	683.8767	583.0778	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	941.2029	626.7831	0	941.6811	639.3559	0	941.4420	633.0695	
16.6	941.9992	610.7090	0	948.6155	627.5500	0	945.3073	619.1295	
33.4	895.3782	633.4823	0	926.8680	636.9320	0	911.1231	635.2072	
50.0	952.4859	618.0690	0	944.1967	652.5967	0	948.3413	635.3328	
66.6	925.0586	588.2268	0	948.8736	586.2396	0	936.9661	587.2332	
83.2	923.5405	558.4619	0	941.6644	573.0099	0	932.6024	565.7359	
100.0	925.3076	568.4815	0	934.0582	601.1291	0	929.6829	584.8053	
116.6	918.2412	575.4179	0	925.6843	595.9852	0	921.9628	585.7016	
133.2	937.4444	592.6555	0	903.1046	599.8773	0	920.2745	596.2664	
149.9	932.1376	571.2615	0	933.9940	614.6728	0	933.0658	592.9672	
166.6	935.3309	568.7278	0	937.6994	588.6927	0	936.5151	578.7103	
183.2	889.4136	601.1461	0	922.4335	580.5393	0	905.9235	590.8427	
199.8	934.4500	556.3056	0	922.8772	587.3201	0	928.6636	571.8129	
216.5	923.8619	562.3005	0	934.1007	585.8825	0	928.9813	574.0915	
233.2	907.8281	573.3318	0	903.8751	576.5455	0	905.8516	574.9387	
249.8	927.1963	568.1253	0	925.0656	592.4531	0	926.1309	580.2892	
266.5	913.0575	564.0094	0	937.8382	589.5031	0	925.4479	576.7563	
283.1	928.7974	564.5473	0	946.2718	564.8596	0	937.5346	564.7034	
299.8	926.0941	574.4767	0	948.2718	578.4901	0	937.1829	576.4834	
316.5	938.7313	563.3596	0	945.2550	581.3798	0	941.9932	572.3697	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	1181.4600	483.7731	0	1201.9718	466.1419	0	1191.7159	474.9575	
16.6	1196.7537	464.4381	0	1180.6252	515.3013	0	1188.6894	489.8697	
33.2	1200.3718	470.3591	0	1196.9293	472.0961	0	1198.6506	471.2276	
49.9	1174.3621	466.9020	0	1180.5906	487.1238	0	1177.4763	477.0129	
66.6	1194.1947	477.1216	0	1174.0004	499.5895	0	1184.0976	488.3555	
83.2	1202.8564	448.8451	0	1197.6635	486.9985	0	1200.2600	467.9218	
99.9	1102.7545	562.9409	0	1068.3560	553.8481	0	1085.5552	558.3945	
116.5	949.9437	567.8039	0	945.5100	591.5487	0	947.7268	579.6763	
133.2	935.1194	606.3571	0	963.8341	592.4523	0	949.4767	599.4047	
149.8	950.6868	588.5640	0	965.3971	589.8345	0	958.0419	589.1992	
166.5	947.2669	612.4390	0	963.4282	598.1754	0	955.3475	605.3072	
183.1	942.3339	620.9702	0	965.2158	581.9845	0	953.7749	601.4774	
199.8	-1.0000	-1.0000	4	941.2521	578.8158	0	0.4902	0.4823	
216.5	-1.0000	-1.0000	4	917.4314	563.5502	0	0.4778	0.4696	
233.1	-1.0000	-1.0000	4	943.8686	554.6133	0	0.4916	0.4622	
249.7	955.8646	603.5898	0	964.5854	594.8821	0	960.2250	599.2359	
266.5	-1.0000	-1.0000	4	956.8602	580.3128	0	0.4984	0.4836	
283.1	959.1711	572.8309	0	950.1505	590.6706	0	954.6608	581.7508	
299.7	945.8119	550.6937	0	967.5034	617.4171	0	956.6577	584.0554	
316.3	946.6656	566.4613	0	946.3825	581.2639	0	946.5240	573.8626	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	938.1244	575.3458	0	926.2948	599.2477	0	932.2096	587.2967	
16.6	925.0248	594.6613	0	954.5284	582.0728	0	939.7766	588.3670	
33.2	926.0292	585.4885	0	939.6858	604.1020	0	932.8575	594.7953	
50.0	922.9157	589.2218	0	942.5982	629.0724	0	932.7569	609.1471	
66.6	934.6359	564.6637	0	914.8197	606.9413	0	924.7278	585.8025	
83.2	952.7160	605.2386	0	938.1195	601.3141	0	945.4177	603.2764	
99.9	947.0535	621.9432	0	938.9432	582.8539	0	942.9983	602.3985	
116.5	945.0203	619.6144	0	939.5802	552.0876	0	942.3003	585.8510	
133.2	942.9806	624.4593	0	943.9301	576.2457	0	943.4554	600.3525	
149.8	943.2751	613.5694	0	949.3477	599.7145	0	946.3114	606.6419	
166.5	926.8263	624.0275	0	954.2041	610.8189	0	940.5152	617.4232	
183.1	925.8187	612.1853	0	915.5606	574.5689	0	920.6896	593.3771	
199.8	936.0026	597.6523	0	913.4231	565.1480	0	924.7128	581.4002	
216.5	941.0542	617.5428	0	898.5269	552.4610	0	919.7905	585.0019	
233.1	952.5757	571.7119	0	994.1679	526.0883	0	973.3718	548.9001	
249.7	1105.6443	538.4393	0	1154.2912	470.0671	0	1129.9678	504.2532	
266.5	1146.9867	504.8962	0	1139.0625	471.5421	0	1143.0246	488.2192	
283.1	1157.1171	531.5654	0	1157.6739	474.3048	0	1157.3955	502.9351	
299.7	1163.6653	537.1404	0	1143.0449	463.9122	0	1153.3551	500.5263	
316.4	1134.9609	504.4494	0	1142.3003	449.1373	0	1138.6306	476.7933	
