Recording date:	2018/06/22
Recording time:	16:18:11
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	981.1806	597.2535	0	965.0345	594.6067	0	973.1076	595.9301	
16.6	988.4243	601.3700	0	963.3657	585.1127	0	975.8950	593.2413	
33.4	977.1879	589.2561	0	972.1312	605.7562	0	974.6595	597.5062	
50.0	982.8869	601.1212	0	972.0257	590.4155	0	977.4563	595.7684	
66.6	980.4133	596.5748	0	972.6820	583.4142	0	976.5477	589.9945	
83.2	987.2468	598.9649	0	972.3081	602.7673	0	979.7774	600.8661	
100.0	979.3155	591.0377	0	967.3127	594.4526	0	973.3141	592.7452	
116.6	968.7205	599.0407	0	966.2907	596.2191	0	967.5056	597.6299	
133.2	973.0340	596.6252	0	968.6129	598.2137	0	970.8235	597.4194	
149.9	960.9327	583.3429	0	970.3621	592.5459	0	965.6474	587.9444	
166.6	960.8989	592.7294	0	978.1600	596.9561	0	969.5294	594.8427	
183.2	971.8996	599.5597	0	968.9694	593.6279	0	970.4345	596.5938	
199.8	980.2536	607.7769	0	962.4437	599.1331	0	971.3487	603.4550	
216.6	974.2251	600.3162	0	968.7957	599.0840	0	971.5104	599.7001	
233.2	983.7185	594.9523	0	966.3256	606.8810	0	975.0221	600.9166	
249.8	983.4133	604.7790	0	983.8415	601.4265	0	983.6274	603.1027	
266.5	970.7415	603.8217	0	968.9698	601.3752	0	969.8557	602.5985	
283.2	972.4119	597.2188	0	967.4788	605.2432	0	969.9453	601.2310	
299.8	968.4141	597.3396	0	963.6173	599.9564	0	966.0157	598.6480	
316.5	969.6857	593.0228	0	964.7432	601.6761	0	967.2144	597.3494	
333.1	960.7361	588.4989	0	961.8581	598.1662	0	961.2971	593.3326	
349.7	973.0498	591.6078	0	966.3128	596.0978	0	969.6813	593.8528	
366.5	976.1798	608.2282	0	965.0445	601.9190	0	970.6121	605.0736	
383.1	970.6289	593.0162	0	964.2078	603.2392	0	967.4184	598.1277	
399.7	984.8282	594.0451	0	966.8216	596.7810	0	975.8249	595.4130	
416.3	981.7902	597.4187	0	961.0584	597.9101	0	971.4243	597.6644	
433.1	977.0035	599.6142	0	974.4929	603.6934	0	975.7482	601.6538	
449.7	978.7341	595.2640	0	964.2275	596.9944	0	971.4808	596.1292	
466.3	974.7972	599.4802	0	966.4572	600.3739	0	970.6272	599.9270	
482.9	991.3686	594.2073	0	964.3064	609.6717	0	977.8375	601.9395	
499.7	974.1152	594.1950	0	966.2172	602.4612	0	970.1662	598.3281	
516.3	970.8078	597.0235	0	966.2281	603.2774	0	968.5179	600.1505	
532.9	1017.6355	606.9728	0	1000.1028	606.6748	0	1008.8692	606.8238	
549.5	1096.4132	692.4957	0	1068.6601	690.7185	0	1082.5367	691.6071	
566.3	1140.5754	733.5850	0	1127.5473	734.5020	0	1134.0613	734.0435	
582.9	1150.8529	737.7594	0	1125.9965	729.1272	0	1138.4247	733.4433	
599.5	1138.2317	730.5815	0	1124.8377	719.4038	0	1131.5347	724.9927	
616.2	1142.3760	736.8699	0	1136.7841	742.4839	0	1139.5801	739.6769	
632.9	1132.3982	733.0053	0	1117.1051	718.5598	0	1124.7516	725.7825	
649.5	1135.1960	724.0725	0	1119.0076	739.8166	0	1127.1018	731.9445	
666.2	1108.7699	708.8391	0	1109.9401	720.3082	0	1109.3550	714.5736	
682.9	1129.4501	727.1692	0	1120.2416	727.2071	0	1124.8458	727.1881	
699.5	1144.1603	731.3032	0	1107.4776	711.8054	0	1125.8189	721.5543	
716.2	1214.3866	672.1118	0	1224.4190	669.1622	0	1219.4028	670.6370	
732.8	1357.4806	533.5670	0	1409.4573	546.1750	0	1383.4689	539.8710	
749.4	1504.8809	418.4303	0	1536.7302	406.6001	0	1520.8055	412.5152	
766.1	1553.5654	362.1877	0	1555.6954	351.5800	0	1554.6304	356.8838	
782.8	1534.5069	348.8139	0	1543.2459	341.2828	0	1538.8764	345.0484	
799.4	1532.6672	358.2963	0	1527.6230	348.1166	0	1530.1451	353.2064	
816.0	1508.5660	378.9569	0	1517.5486	368.1961	0	1513.0573	373.5765	
