Recording date:	2018/06/14
Recording time:	17:41:55
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	965.2277	654.7516	0	957.1994	650.1769	0	961.2136	652.4643	
16.6	965.0792	647.7291	0	956.4821	660.1664	0	960.7806	653.9477	
33.2	963.9464	650.5024	0	957.5721	656.6272	0	960.7593	653.5648	
50.0	962.0232	644.7592	0	963.0937	654.3859	0	962.5584	649.5726	
66.6	962.7785	645.6888	0	957.8367	648.7474	0	960.3076	647.2181	
83.2	962.1328	641.6796	0	959.4170	660.6692	0	960.7749	651.1744	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	959.6734	664.1120	0	952.7713	663.6344	0	956.2223	663.8732	
16.6	959.2526	674.7124	0	956.2924	663.4120	0	957.7725	669.0622	
33.4	963.1245	669.5412	0	964.4826	656.4124	0	963.8035	662.9768	
50.0	963.1939	661.8497	0	965.7207	662.0787	0	964.4573	661.9642	
66.6	972.1848	665.4646	0	958.4036	659.1133	0	965.2942	662.2889	
83.2	965.9775	664.5181	0	968.2214	654.0411	0	967.0994	659.2796	
100.0	959.3703	656.0690	0	958.7320	659.5500	0	959.0511	657.8095	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	962.9457	630.3461	0	956.3798	647.2521	0	959.6627	638.7991	
16.6	971.5873	636.8762	0	963.6721	634.3811	0	967.6297	635.6287	
33.2	977.9345	629.6871	0	973.3844	636.8761	0	975.6595	633.2816	
49.9	973.2454	656.1565	0	960.0686	639.3882	0	966.6570	647.7723	
66.6	969.6241	634.9999	0	950.1404	642.6054	0	959.8823	638.8026	
83.2	977.6219	633.1464	0	960.5235	631.4859	0	969.0727	632.3161	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	966.2121	639.0684	0	969.1028	646.6845	0	967.6574	642.8764	
16.6	973.8728	635.8914	0	966.6431	648.1212	0	970.2579	642.0063	
33.2	970.9070	640.7994	0	971.2228	649.1736	0	971.0649	644.9865	
49.9	978.7673	650.3786	0	969.4674	637.9384	0	974.1173	644.1585	
66.5	982.3929	637.5552	0	961.1972	630.9448	0	971.7951	634.2500	
83.2	976.3518	653.5399	0	949.9142	638.2596	0	963.1330	645.8997	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	975.5992	630.0048	0	967.1475	637.4337	0	971.3733	633.7192	
16.6	967.0917	632.3688	0	958.0605	639.5547	0	962.5761	635.9618	
33.2	969.0823	631.4321	0	961.9368	640.2561	0	965.5095	635.8441	
49.9	982.6224	628.6035	0	959.2828	639.7155	0	970.9526	634.1595	
66.6	974.6102	637.7217	0	960.8569	643.5169	0	967.7335	640.6193	
83.2	983.0989	636.3136	0	959.4670	637.8541	0	971.2830	637.0838	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	963.6481	623.9772	0	972.1050	630.4305	0	967.8765	627.2038	
16.6	961.1472	628.0988	0	970.6938	625.2322	0	965.9205	626.6655	
33.4	962.1441	620.4194	0	967.9093	631.6608	0	965.0267	626.0401	
50.0	964.1452	623.4393	0	971.2333	636.5675	0	967.6893	630.0034	
66.6	958.2397	628.2120	0	971.1618	632.6221	0	964.7008	630.4170	
83.2	966.8280	636.4390	0	969.0742	638.8178	0	967.9511	637.6284	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	974.6147	646.0948	0	959.5728	646.6390	0	967.0937	646.3669	
16.6	971.5654	645.7419	0	954.1270	647.8275	0	962.8462	646.7847	
33.2	966.5564	642.9605	0	958.7522	634.2662	0	962.6543	638.6133	
50.0	975.4294	645.7662	0	964.5004	630.0062	0	969.9649	637.8862	
66.6	976.9930	639.0776	0	963.6963	650.3126	0	970.3446	644.6951	
83.2	967.5278	649.8797	0	954.0897	646.4372	0	960.8088	648.1585	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	973.0491	655.5007	0	966.8084	663.9998	0	969.9288	659.7503	
16.6	971.2426	654.8557	0	960.9808	661.2924	0	966.1117	658.0741	
33.2	974.2521	652.3740	0	965.1192	666.1465	0	969.6857	659.2603	
50.0	967.3506	646.5292	0	961.6479	656.9558	0	964.4993	651.7425	
66.6	972.4846	652.5206	0	967.5607	665.6971	0	970.0227	659.1089	
83.2	971.1030	656.6743	0	963.5873	661.5827	0	967.3451	659.1285	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	968.7493	633.5123	0	950.5025	651.8957	0	959.6259	642.7040	
16.6	967.6700	640.7489	0	948.2896	648.0401	0	957.9798	644.3945	
33.4	971.5568	636.7828	0	955.7377	642.3709	0	963.6473	639.5768	
50.0	970.2200	638.8156	0	960.8689	652.9425	0	965.5444	645.8791	
66.6	969.3236	633.7723	0	953.4544	652.4571	0	961.3890	643.1147	
83.2	972.4980	640.6976	0	952.3911	636.7033	0	962.4445	638.7005	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	964.4161	636.8860	0	960.4832	637.1682	0	962.4496	637.0271	
16.6	964.8889	633.3664	0	958.1674	644.4115	0	961.5281	638.8889	
33.2	976.3771	628.5071	0	951.5955	640.2076	0	963.9863	634.3574	
50.0	967.9678	635.6397	0	951.8761	641.5246	0	959.9220	638.5821	
66.6	976.2568	634.5730	0	956.1933	638.1582	0	966.2250	636.3656	
83.2	963.6499	634.1988	0	953.5968	649.8782	0	958.6234	642.0385	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	966.9769	636.2954	0	963.3798	653.6882	0	965.1784	644.9918	
16.6	967.6278	643.8224	0	960.3112	644.7715	0	963.9695	644.2970	
33.2	968.5366	647.4658	0	959.1718	638.4517	0	963.8542	642.9588	
50.0	966.4520	649.3776	0	956.6560	649.4348	0	961.5540	649.4062	
66.6	972.9143	641.9581	0	954.9300	659.7105	0	963.9221	650.8343	
83.3	972.3336	644.6493	0	963.2947	647.5526	0	967.8142	646.1010	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	968.7605	643.9941	0	970.6390	656.9877	0	969.6998	650.4909	
16.6	982.1895	644.7264	0	971.7065	638.7789	0	976.9480	641.7526	
33.2	981.4978	641.5705	0	955.5525	653.1276	0	968.5251	647.3491	
50.0	973.3109	641.2858	0	955.8508	642.2208	0	964.5809	641.7533	
66.6	971.0712	637.6782	0	961.2316	649.5747	0	966.1514	643.6265	
83.2	976.0656	640.8347	0	953.4824	644.7498	0	964.7740	642.7923	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	972.0920	647.0766	0	959.9849	653.6107	0	966.0384	650.3437	
16.6	969.7022	648.3384	0	959.9653	655.3254	0	964.8338	651.8319	
33.2	967.6338	646.0263	0	961.4269	663.1921	0	964.5303	654.6092	
49.9	967.0547	646.8584	0	961.7296	664.4979	0	964.3921	655.6782	
66.6	959.1342	633.5031	0	956.2608	662.1325	0	957.6975	647.8178	
83.2	963.2691	648.7545	0	961.8567	659.6808	0	962.5629	654.2177	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	973.1545	641.6125	0	953.2081	638.5635	0	963.1813	640.0880	
16.6	971.4207	636.8869	0	957.5372	648.4068	0	964.4790	642.6469	
33.4	972.6770	635.2657	0	962.7410	632.8317	0	967.7090	634.0487	
50.0	976.4406	632.9228	0	959.0654	638.2933	0	967.7530	635.6081	
66.6	971.4047	631.3532	0	965.3785	645.7420	0	968.3916	638.5476	
83.2	967.7572	635.9056	0	962.7459	643.2794	0	965.2516	639.5925	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	969.9230	651.2440	0	969.2357	628.5954	0	969.5794	639.9197	
16.6	968.0391	650.9095	0	983.3553	634.7226	0	975.6972	642.8161	
33.2	974.5460	640.7335	0	971.7963	631.4333	0	973.1712	636.0834	
50.0	975.9127	654.5393	0	961.4560	657.4111	0	968.6844	655.9752	
66.6	967.4605	634.1374	0	961.8341	662.6730	0	964.6473	648.4052	
83.2	966.2369	641.2331	0	966.0892	650.1287	0	966.1631	645.6809	
