Recording date:	2018/07/24
Recording time:	15:52:19
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	981.0960	635.8760	0	957.2276	655.4332	0	969.1618	645.6546	
16.6	988.6105	645.6765	0	953.3907	648.6070	0	971.0006	647.1418	
33.4	987.1407	652.1116	0	951.2639	652.8815	0	969.2023	652.4966	
50.0	984.5069	661.4531	0	952.0224	673.1512	0	968.2646	667.3021	
66.6	975.9251	656.7173	0	945.5608	652.0536	0	960.7429	654.3855	
83.2	988.6454	652.4866	0	944.9036	668.6190	0	966.7745	660.5528	
100.0	975.9177	658.4889	0	940.3738	633.8446	0	958.1457	646.1668	
116.6	983.1627	642.7441	0	956.1055	654.3758	0	969.6341	648.5600	
133.2	990.0307	648.1366	0	946.8703	662.5129	0	968.4505	655.3248	
149.8	978.3187	653.0601	0	943.9206	656.1435	0	961.1196	654.6018	
166.6	974.7276	648.1641	0	954.9429	668.6985	0	964.8352	658.4313	
183.2	988.3611	647.9008	0	949.6479	663.6675	0	969.0045	655.7842	
199.8	962.6250	656.5485	0	944.7606	656.8977	0	953.6928	656.7231	
216.5	992.5357	655.9402	0	958.3688	661.6677	0	975.4523	658.8040	
233.2	982.7437	656.2604	0	945.6421	663.3694	0	964.1929	659.8149	
249.8	980.6855	647.0556	0	958.7506	647.7035	0	969.7181	647.3795	
266.5	987.7210	668.1829	0	948.1232	652.0898	0	967.9221	660.1363	
283.1	975.1330	637.6100	0	951.1583	656.9608	0	963.1457	647.2854	
299.8	991.5688	650.3440	0	952.4588	657.3604	0	972.0138	653.8522	
316.4	992.0520	649.6324	0	959.8857	652.6581	0	975.9689	651.1452	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	968.3176	655.7215	0	949.6498	645.9570	0	958.9837	650.8393	
16.8	962.2681	662.8709	0	953.4217	644.4895	0	957.8449	653.6802	
33.4	990.1131	652.4588	0	952.7259	645.8068	0	971.4195	649.1328	
50.0	984.7865	658.5377	0	951.3149	642.2964	0	968.0507	650.4170	
66.7	986.7520	655.2265	0	951.9305	638.9788	0	969.3412	647.1026	
83.4	984.7266	662.5018	0	958.2175	635.2659	0	971.4721	648.8838	
100.0	971.9801	656.5940	0	949.3821	644.3623	0	960.6811	650.4782	
116.6	972.7440	656.9178	0	958.2195	652.3312	0	965.4817	654.6245	
133.4	-1.0000	-1.0000	4	953.2979	650.8776	0	0.4965	0.5424	
150.0	975.9246	663.7220	0	950.3102	651.4352	0	963.1174	657.5786	
166.6	-1.0000	-1.0000	4	949.3648	653.5770	0	0.4945	0.5446	
183.2	979.5715	654.5406	0	955.4432	644.2490	0	967.5073	649.3948	
200.0	984.7008	659.4594	0	946.3607	633.8927	0	965.5307	646.6760	
