Subject,Session,Trial,Time,Trial_Start,Trial_End,Dots_Shown,Dots_Counted,Score,Dot_Width,Dot_Height,dl_x,dl_y
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1288,59
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,836,762
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,494,447
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,301,1044
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1317,764
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,721,831
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,76,100
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1690,386
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1195,747
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,461,414
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,955,459
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,386,986
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,396,328
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1344,140
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1194,306
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,520,83
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1590,75
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1502,672
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,18,374
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,78,178
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1256,458
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,683,726
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,229,226
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,653,212
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1592,565
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,816,641
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,521,628
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,764,892
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,654,164
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1426,704
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,673,542
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,266,966
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,114,555
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,474,475
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1366,383
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,418,618
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,934,228
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,511,385
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,290,995
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,216,167
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,974,394
spa,2,0,0.1,1531257096.946481,1531257097.052554,42,55,0.6904761904761905,8,8,1622,18
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1687,703
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,781,293
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,789,154
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,925,938
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1096,37
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,621,981
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1218,885
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1202,588
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,474,360
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1618,903
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1358,154
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,48,894
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,477,243
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,644,859
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,962,551
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1402,929
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1004,614
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,900,20
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,302,170
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1384,227
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,648,617
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1677,310
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,1319,209
spa,2,1,0.1,1531257106.575677,1531257106.676051,29,47,0.3793103448275862,8,8,499,529
