Recording date:	2018/07/12
Recording time:	15:16:14
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	977.6385	635.0762	0	963.4972	607.6079	0	970.5679	621.3421	
16.6	971.3162	625.2843	0	970.4067	604.4301	0	970.8615	614.8572	
33.4	987.0381	626.1046	0	963.3931	599.2410	0	975.2156	612.6728	
50.0	984.9757	630.5095	0	957.9106	622.6143	0	971.4431	626.5619	
66.6	969.8140	631.8696	0	963.5710	633.9869	0	966.6925	632.9283	
83.2	958.7685	633.1990	0	968.7413	619.7586	0	963.7549	626.4788	
100.0	970.7164	633.4824	0	976.7343	627.7573	0	973.7254	630.6199	
116.6	972.8221	621.5859	0	969.5656	618.9656	0	971.1938	620.2758	
133.2	971.2956	611.1604	0	954.1471	603.8766	0	962.7214	607.5185	
149.8	973.9138	632.1639	0	957.6327	607.0802	0	965.7733	619.6220	
166.6	960.9103	623.2282	0	986.0860	619.6074	0	973.4982	621.4178	
183.2	972.2723	613.0113	0	966.1200	618.4017	0	969.1961	615.7065	
199.8	969.5354	639.2872	0	967.6908	618.9683	0	968.6131	629.1277	
216.5	980.6874	623.2723	0	975.3510	627.9477	0	978.0192	625.6100	
233.2	979.3075	620.8497	0	964.2554	615.7779	0	971.7815	618.3138	
249.8	948.2336	607.9466	0	955.6534	598.3801	0	951.9435	603.1633	
266.5	945.7422	518.7666	0	935.4185	494.4101	0	940.5804	506.5883	
283.1	932.7877	410.5046	0	925.4984	376.9588	0	929.1431	393.7317	
299.8	927.2848	389.3132	0	918.5926	360.0275	0	922.9387	374.6703	
316.4	932.0825	373.4599	0	916.6563	363.0419	0	924.3694	368.2509	
333.1	927.0061	377.6922	0	907.1014	353.9571	0	917.0538	365.8246	
349.7	941.2538	381.5306	0	911.8276	342.0246	0	926.5407	361.7776	
366.4	925.6338	375.0214	0	898.7833	359.8917	0	912.2085	367.4566	
383.1	916.8754	377.0000	0	894.4775	353.4724	0	905.6764	365.2362	
