Recording date:	2018/08/03
Recording time:	14:54:28
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	1009.4615	373.1775	0	1025.3303	415.4784	0	1017.3959	394.3280	
16.6	1008.9909	362.5726	0	1022.4633	416.0443	0	1015.7271	389.3085	
33.3	995.2183	370.0684	0	1019.7413	409.3083	0	1007.4798	389.6884	
49.9	999.3367	369.8341	0	1018.4425	414.6988	0	1008.8896	392.2665	
66.6	1003.7085	368.7619	0	1013.5513	420.1122	0	1008.6299	394.4370	
83.2	1017.2676	415.2203	0	1030.5829	409.2265	0	1023.9253	412.2234	
99.9	1019.2617	415.7832	0	1024.7274	409.5910	0	1021.9946	412.6871	
116.5	1016.7257	418.7114	0	1036.4870	413.3297	0	1026.6064	416.0206	
133.2	1016.5232	409.1380	0	1033.1203	410.0843	0	1024.8218	409.6112	
149.9	1020.7349	421.1477	0	1028.2126	414.9366	0	1024.4737	418.0422	
166.5	1030.3447	427.8328	0	1034.3133	408.4382	0	1032.3290	418.1355	
183.1	1024.0620	424.0888	0	1036.9081	409.3572	0	1030.4851	416.7230	
199.8	1009.9373	421.5126	0	1035.8980	409.7050	0	1022.9177	415.6088	
216.5	1020.8799	417.5236	0	1033.1475	404.2633	0	1027.0137	410.8935	
233.1	1024.4503	417.7285	0	1030.7770	412.1662	0	1027.6136	414.9474	
249.7	1020.5039	428.2337	0	1034.1945	406.5606	0	1027.3492	417.3972	
266.5	1018.5914	436.0717	0	1033.9814	413.8920	0	1026.2864	424.9818	
283.1	1024.7990	423.4855	0	1042.3932	415.0783	0	1033.5961	419.2819	
299.7	1016.2726	426.8161	0	1028.4830	404.8499	0	1022.3778	415.8330	
316.3	1055.3627	386.3852	0	1076.9871	401.8207	0	1066.1749	394.1030	
333.1	1239.3677	367.2644	0	1243.8716	362.7751	0	1241.6196	365.0197	
349.7	1406.2703	289.5278	0	1405.8240	311.2392	0	1406.0471	300.3835	
366.3	1542.0719	324.0748	0	1539.7074	317.6703	0	1540.8897	320.8726	
382.9	1528.4434	353.2013	0	1533.2934	321.4561	0	1530.8684	337.3287	
399.7	1532.0197	340.0383	0	1532.1553	326.5596	0	1532.0875	333.2990	
416.3	1545.4980	344.2200	0	1526.7509	333.8235	0	1536.1245	339.0218	
432.9	1533.3422	323.3586	0	1525.1305	329.6863	0	1529.2364	326.5224	
449.6	1532.6302	309.4061	0	1519.4912	328.6503	0	1526.0607	319.0282	
466.3	1552.5541	315.7993	0	1517.2562	333.1905	0	1534.9052	324.4949	
482.9	1537.2597	324.0557	0	1520.3873	331.2322	0	1528.8235	327.6440	
499.5	1542.4304	328.9073	0	1519.9555	333.7910	0	1531.1930	331.3491	
516.2	1544.6827	332.8506	0	1518.6757	333.8383	0	1531.6792	333.3444	
532.9	1531.6797	324.5797	0	1518.6485	332.1076	0	1525.1641	328.3437	
549.5	1550.0201	309.7287	0	1518.6676	332.3002	0	1534.3438	321.0145	
566.2	1546.5699	341.5965	0	1525.7185	332.9209	0	1536.1442	337.2587	
582.8	1546.6119	331.4559	0	1525.3171	334.4251	0	1535.9645	332.9405	
599.5	1539.5658	339.1359	0	1519.7684	337.8414	0	1529.6671	338.4887	
616.2	1548.7166	318.7655	0	1526.1418	337.4911	0	1537.4292	328.1283	
632.8	1546.3382	347.7972	0	1520.6218	343.3106	0	1533.4800	345.5539	
649.4	1544.2056	332.2764	0	1521.0047	332.4239	0	1532.6051	332.3502	
666.2	1542.4407	329.2541	0	1519.7816	339.0506	0	1531.1111	334.1523	
682.8	1538.4135	313.5503	0	1520.8535	343.1405	0	1529.6335	328.3454	
699.4	1551.4819	347.3542	0	1524.3426	336.6963	0	1537.9122	342.0253	
716.0	1537.4877	335.6398	0	1522.7811	333.9186	0	1530.1344	334.7792	
732.8	1536.5360	338.4816	0	1519.1757	336.6448	0	1527.8558	337.5632	
749.4	1496.5500	365.8177	0	1499.4799	321.6108	0	1498.0149	343.7143	
766.0	1295.5281	348.5456	0	1327.7019	297.6284	0	1311.6150	323.0870	
782.6	1086.3194	221.1045	0	1144.4862	291.9283	0	1115.4028	256.5164	
799.4	908.4313	201.5760	0	994.8034	294.1275	0	951.6173	247.8517	
816.0	896.0057	266.3586	0	937.6402	307.8090	0	916.8229	287.0838	
832.6	890.7421	264.1988	0	945.5888	305.9655	0	918.1654	285.0821	
849.2	896.8211	278.2437	0	941.5264	309.9646	0	919.1738	294.1042	
866.0	886.4333	255.6807	0	935.4133	307.6905	0	910.9233	281.6856	
882.6	887.4208	260.6428	0	940.0853	301.9647	0	913.7530	281.3037	
899.2	900.2918	283.2653	0	943.7424	303.9236	0	922.0171	293.5945	
915.9	-1.0000	-1.0000	4	936.9318	300.1684	0	0.4880	0.2501	
932.6	886.6875	266.0922	0	939.3741	306.3155	0	913.0308	286.2039	
949.2	878.1324	257.8997	0	935.4787	309.0376	0	906.8055	283.4686	
965.8	890.4947	259.4470	0	942.5990	307.5318	0	916.5469	283.4894	
982.5	900.2264	281.1524	0	938.2710	299.4750	0	919.2487	290.3137	
999.2	906.7027	296.5699	0	930.2890	326.0549	0	918.4959	311.3124	
1015.8	915.2684	292.0790	0	933.1257	333.1168	0	924.1971	312.5979	
1032.5	899.1835	293.9498	0	932.1076	326.7312	0	915.6455	310.3405	
