Recording date:	2018/08/08
Recording time:	15:13:34
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	954.6202	606.2473	0	950.9938	608.7609	0	952.8070	607.5041	
16.6	946.8917	581.7963	0	965.2207	599.9851	0	956.0562	590.8907	
33.2	946.7786	591.9268	0	964.9208	597.2530	0	955.8497	594.5899	
50.0	951.4041	618.0303	0	972.6125	595.6096	0	962.0083	606.8200	
66.6	944.3669	631.0708	0	959.2865	604.2790	0	951.8267	617.6749	
83.2	949.9185	619.4618	0	967.3368	588.4380	0	958.6276	603.9499	
99.9	954.0549	610.9389	0	972.0095	575.2964	0	963.0322	593.1176	
116.6	960.4770	607.9326	0	971.8470	605.0015	0	966.1620	606.4670	
133.2	942.9564	605.7290	0	975.6371	610.4348	0	959.2968	608.0819	
149.8	951.5448	616.0577	0	974.3816	607.0902	0	962.9632	611.5740	
166.5	939.9047	614.3586	0	966.4863	567.5060	0	953.1955	590.9323	
183.2	972.1640	614.7430	0	972.6109	585.1591	0	972.3875	599.9510	
199.8	941.8848	618.5117	0	961.6513	597.4278	0	951.7680	607.9697	
216.5	948.4385	631.5504	0	975.6398	589.8743	0	962.0391	610.7123	
233.1	946.0290	612.5483	0	964.1451	607.7435	0	955.0870	610.1459	
249.8	938.1271	592.9440	0	971.8824	614.5313	0	955.0047	603.7376	
266.5	954.7229	599.4862	0	958.3523	596.6307	0	956.5376	598.0585	
283.1	958.5991	592.8710	0	953.3991	605.0146	0	955.9991	598.9428	
299.7	970.5650	619.1361	0	962.3944	605.2223	0	966.4797	612.1792	
316.4	952.7437	600.8295	0	960.1256	637.9243	0	956.4347	619.3769	
333.1	953.9304	596.6556	0	965.6091	612.1664	0	959.7697	604.4110	
349.7	948.6887	612.1603	0	950.2656	614.6864	0	949.4771	613.4233	
366.3	948.6723	619.5523	0	974.2730	610.7876	0	961.4727	615.1700	
383.1	967.2859	612.1145	0	966.3820	596.8714	0	966.8340	604.4929	
399.7	955.3042	620.9679	0	957.0049	618.0751	0	956.1546	619.5215	
416.3	940.5117	590.9341	0	964.8264	619.1501	0	952.6690	605.0421	
432.9	964.6239	613.0144	0	952.0294	623.6041	0	958.3267	618.3093	
449.7	946.0521	617.5286	0	960.0115	610.1995	0	953.0318	613.8641	
466.3	950.5757	591.4372	0	972.1715	596.2170	0	961.3736	593.8271	
482.9	950.2102	612.5023	0	967.8300	610.2291	0	959.0201	611.3657	
499.5	947.8547	623.0325	0	964.4921	612.8828	0	956.1734	617.9577	
516.3	926.0523	597.9941	0	960.2693	590.8567	0	943.1608	594.4254	
532.9	954.7956	615.3201	0	975.3230	595.0437	0	965.0593	605.1819	
549.5	965.8993	605.8169	0	964.2034	591.5983	0	965.0514	598.7076	
566.1	950.0891	613.7418	0	989.5538	604.1769	0	969.8214	608.9594	
582.9	954.8392	616.0286	0	969.3784	594.9000	0	962.1088	605.4643	
599.5	915.1492	605.1613	0	948.3599	620.2165	0	931.7546	612.6889	
616.1	813.9725	622.2575	0	829.6786	619.1795	0	821.8255	620.7185	
632.8	801.0458	640.1965	0	789.4232	609.5566	0	795.2345	624.8766	
649.5	785.4499	620.1847	0	793.2000	621.8320	0	789.3250	621.0083	
666.1	802.6077	646.9732	0	797.8410	616.2825	0	800.2244	631.6278	
682.8	788.6083	625.1430	0	803.9906	621.9565	0	796.2994	623.5498	
699.4	781.3168	614.7124	0	803.5695	614.6739	0	792.4431	614.6932	
716.1	791.9125	630.2362	0	818.7172	618.7600	0	805.3149	624.4981	
732.7	790.5094	629.6711	0	809.4079	620.8057	0	799.9587	625.2384	
749.4	783.9777	636.5210	0	810.0180	626.5816	0	796.9979	631.5513	
766.0	786.3991	643.8456	0	813.4729	625.1919	0	799.9360	634.5187	
782.7	793.0170	656.4185	0	806.2558	613.9137	0	799.6364	635.1661	
799.4	796.5870	635.6280	0	793.6120	637.4347	0	795.0995	636.5314	
816.0	800.8708	640.2839	0	799.2856	655.7256	0	800.0782	648.0047	
832.6	808.3046	654.9959	0	801.3770	632.7605	0	804.8408	643.8782	
849.4	800.4927	637.4307	0	809.8363	620.6431	0	805.1645	629.0369	
866.0	787.6932	631.2022	0	816.4708	632.9921	0	802.0820	632.0972	
882.6	772.6956	680.7695	0	807.7817	645.2601	0	790.2386	663.0148	
899.2	797.3004	629.6266	0	796.3769	630.5066	0	796.8386	630.0666	
916.0	798.3467	636.0812	0	808.8251	643.2095	0	803.5859	639.6453	
932.6	788.7892	631.9259	0	807.5830	648.8139	0	798.1861	640.3699	
949.2	806.0786	651.3028	0	810.0011	629.0136	0	808.0398	640.1582	
965.8	797.0832	662.6990	0	816.0415	637.7155	0	806.5623	650.2073	
982.6	790.4179	657.9163	0	826.6061	623.9915	0	808.5120	640.9539	
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	953.8081	634.4554	0	950.3074	598.5914	0	952.0578	616.5234	
16.6	950.5835	621.8809	0	971.0173	605.8178	0	960.8004	613.8493	
33.2	953.4018	596.8961	0	957.4953	597.0895	0	955.4486	596.9928	
49.9	964.8722	610.4155	0	968.8780	609.8788	0	966.8751	610.1472	
66.5	949.1589	594.1431	0	979.2334	597.8687	0	964.1961	596.0059	
83.2	962.2409	597.8656	0	967.3561	591.1931	0	964.7985	594.5294	
99.9	950.0275	595.1206	0	948.0101	578.1713	0	949.0188	586.6460	
116.5	948.1337	607.6069	0	968.8273	588.0099	0	958.4805	597.8084	
133.1	940.2435	597.7689	0	971.7258	609.5190	0	955.9847	603.6440	
149.9	959.3835	614.5203	0	955.0671	602.0963	0	957.2253	608.3083	
166.5	964.4460	631.8262	0	963.3542	590.7321	0	963.9001	611.2791	
183.1	960.3411	606.7219	0	968.7048	596.1637	0	964.5229	601.4428	
199.7	952.1159	619.8602	0	959.1191	589.7855	0	955.6175	604.8228	
