Recording date:	2018/06/13
Recording time:	15:24:45
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	949.6947	603.9793	0	973.0405	602.7959	0	961.3676	603.3876	
16.6	943.8367	593.1760	0	969.6482	604.5476	0	956.7425	598.8618	
33.4	963.3294	576.6057	0	979.3045	579.4484	0	971.3170	578.0270	
50.0	959.6571	582.2074	0	970.5924	596.8063	0	965.1248	589.5069	
66.6	966.5943	590.1854	0	970.1331	595.5855	0	968.3637	592.8855	
83.2	958.7030	585.2231	0	977.5852	597.5096	0	968.1441	591.3664	
100.0	958.0107	581.7329	0	971.7997	596.4791	0	964.9052	589.1060	
116.6	955.9560	585.2956	0	970.6809	605.0769	0	963.3184	595.1863	
133.2	954.1602	587.4431	0	974.7883	594.4892	0	964.4743	590.9661	
149.9	952.4328	581.6983	0	967.2153	596.9930	0	959.8240	589.3456	
166.6	960.6054	588.5507	0	975.6107	594.5541	0	968.1080	591.5524	
183.2	960.9256	589.2998	0	971.5457	600.9422	0	966.2357	595.1210	
199.8	956.2608	589.8408	0	966.4315	603.1059	0	961.3461	596.4734	
216.5	943.6991	598.6495	0	974.2974	603.6246	0	958.9983	601.1370	
233.2	953.4236	588.2515	0	979.6317	603.5860	0	966.5277	595.9187	
249.8	946.8771	595.3725	0	971.1661	592.8450	0	959.0216	594.1087	
266.5	955.1647	598.4146	0	981.6801	594.5140	0	968.4224	596.4643	
283.1	938.2231	595.5352	0	967.5338	602.5550	0	952.8784	599.0451	
299.8	936.1187	547.2379	0	964.9677	553.6643	0	950.5432	550.4511	
316.5	956.8137	515.1716	0	974.0583	519.3743	0	965.4360	517.2729	
333.1	947.9537	505.2283	0	974.6524	514.1440	0	961.3030	509.6861	
349.7	939.7909	501.7788	0	980.8317	507.6274	0	960.3113	504.7031	
366.5	943.1225	514.3681	0	976.7686	514.6275	0	959.9455	514.4978	
383.1	945.0479	503.0575	0	980.6168	519.4863	0	962.8324	511.2719	
399.7	949.3274	512.0505	0	978.3984	515.1341	0	963.8629	513.5923	
416.3	934.3751	495.7540	0	970.9960	516.8217	0	952.6856	506.2879	
433.1	941.2396	510.1042	0	971.3583	521.8107	0	956.2990	515.9575	
449.7	945.5081	505.3597	0	978.2342	523.5782	0	961.8712	514.4690	
466.3	945.8603	498.0728	0	978.6749	520.2211	0	962.2676	509.1470	
482.9	940.3974	504.8040	0	979.3510	523.7722	0	959.8742	514.2881	
499.7	879.5619	483.3833	0	922.8160	499.5453	0	901.1890	491.4643	
516.3	766.8494	419.5142	0	800.9587	430.9777	0	783.9041	425.2460	
532.9	672.2089	382.0946	0	703.8586	370.1030	0	688.0337	376.0988	
549.6	530.7757	310.5502	0	541.1574	272.8794	0	535.9665	291.7148	
566.3	270.2037	116.3554	0	358.7614	198.7573	0	314.4826	157.5563	
582.9	285.4244	191.2828	0	282.7214	190.0305	0	284.0729	190.6567	
599.5	274.1527	175.9725	0	279.5481	193.6951	0	276.8504	184.8338	
616.2	279.2150	180.2248	0	285.7752	195.2785	0	282.4951	187.7517	
632.9	283.4511	183.5472	0	289.8141	195.2657	0	286.6326	189.4064	
649.5	272.3941	178.0725	0	280.4507	188.2325	0	276.4224	183.1525	
666.2	281.6806	194.9454	0	300.8316	183.1120	0	291.2561	189.0287	
682.8	289.1775	184.1600	0	292.1966	188.9644	0	290.6870	186.5622	
699.5	291.3563	186.9794	0	282.9661	190.5990	0	287.1612	188.7892	
